,,Overall,,,,,,,Conf.,,,Home,,,Away,,,Points,,,Totals,,,,,,,,,,,,,,,,
Rk,School,G,W,L,W-L%,SRS,SOS,,W,L,,W,L,,W,L,,Tm.,Opp.,,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF
1,Abilene Christian,29,13,16,0.448,-11.86,-7.1,,7,11,,9,5,,4,11,,69.3,71.5,,40.7,24.9,53.6,0.464,7.14,19,0.376,12.4,18.7,0.663,7.66,31.2,14.1,7.24,2.86,14.2,21.8
2,Air Force,33,12,21,0.364,-3.06,1,,4,14,,11,7,,0,11,,73.1,75.1,,40.5,24.8,56.8,0.436,8,22.1,0.363,15.5,21.7,0.717,9.39,34.8,15,5.97,1.73,11.8,18
3,Akron,36,27,9,0.75,3.59,-1.21,,14,4,,13,2,,7,6,,77,70.8,,40,26.4,56.5,0.466,10.2,27.3,0.372,14.1,20.7,0.683,9.92,34.6,14.4,5.5,3.28,11.7,18.1
4,Alabama,34,19,15,0.559,11.29,7.47,,10,8,,11,6,,5,6,,68.5,64.7,,40.6,23.8,56.1,0.424,6.62,20.9,0.317,14.3,21.9,0.653,12.3,39,11.5,5.88,4.15,13.9,19.5
5,Alabama A&M,29,2,27,0.069,-26.99,-11.09,,2,16,,1,9,,1,18,,61.9,77.8,,40.5,21.7,53.4,0.405,4.31,15.4,0.28,14.2,21.2,0.669,10.3,31.5,11.2,3.45,1.72,13.2,18.1
6,Alabama State,31,8,23,0.258,-19.75,-10.75,,6,12,,6,5,,1,17,,65.9,74.4,,40.6,23.2,59.2,0.392,6.45,21.7,0.297,13,20.5,0.637,13.8,38.3,9.68,4.84,3.16,15.7,20.3
7,Albany (NY),35,21,14,0.6,-0.16,-4.69,,10,6,,11,5,,9,8,,71.3,65.7,,40,25.9,55.5,0.467,5.49,14.7,0.372,14,18.5,0.757,10.8,35.9,12.7,5.09,1.71,11.9,17.6
8,Alcorn State,32,18,14,0.563,-12.33,-10.95,,13,5,,11,2,,6,11,,69.4,68,,40.2,25,58.3,0.429,6.94,20.9,0.332,12.5,19.1,0.652,12.1,38.8,13.3,6.53,3.59,14.1,19.1
9,American,30,8,22,0.267,-10.3,-3.5,,5,13,,4,11,,4,11,,61.5,68.3,,40.2,23.1,51.4,0.449,5.6,17.6,0.318,9.77,15.8,0.618,6.8,28.9,11.3,6.97,2.43,13.2,18.3
