,,Overall,,,,,,,Conf.,,,Home,,,Away,,,Points,,,Totals,,,,,,,,,,,,,,,,
10,Appalachian State,30,9,21,0.3,-8.67,-1.6,,4,14,,8,6,,1,14,,73.6,76,,40.2,25,59.4,0.421,8.37,24.7,0.338,15.3,22.5,0.681,11.3,37.5,13.8,5.57,3.03,13.8,21.4
11,Arizona ,37,32,5,0.865,18.25,7.63,,16,2,,15,1,,9,1,,76.6,65.9,,40,26.4,55.4,0.477,6.59,16.9,0.39,17.2,22.4,0.765,10.3,36.7,13.5,5.43,3.22,11.2,16.9
12,Arizona State,33,15,18,0.455,4.02,7.11,,7,11,,9,7,,4,6,,78.6,81.7,,40.2,26.9,62,0.434,9.94,27.2,0.366,14.8,19.8,0.749,9.21,32.6,13,5.88,3.21,10.4,16.8
13,Arkansas ,36,26,10,0.722,14.04,8.6,,12,6,,15,3,,6,5,,79.3,73.9,,40,27.7,60.1,0.461,6.47,17.7,0.365,17.4,22.9,0.761,11.1,36.1,13.8,7.72,4.72,11.9,20.5
14,Arkansas State,32,20,12,0.625,0.87,-2.1,,11,7,,12,1,,7,9,,73.3,69.1,,40.2,25.8,56,0.461,6.88,18.1,0.38,14.8,23.2,0.638,11,36.5,12.4,5.38,2.59,12.9,20.4
15,Arkansas-Pine Bluff,32,7,25,0.219,-22.81,-10.28,,6,12,,6,6,,1,19,,61.8,72.5,,40.8,21.7,53.9,0.403,6.5,19.4,0.335,11.8,18.2,0.652,10.5,31.7,10.4,8.72,2.91,18.1,22.4
16,Army,32,13,19,0.406,-5.84,-4.1,,6,12,,9,8,,4,10,,72.6,73.1,,40.5,26.3,59.6,0.442,9.09,25.8,0.353,10.9,16.7,0.655,9.91,37.9,16.3,5.56,1.91,15.1,19.4
17,Auburn,32,18,14,0.563,8.17,7.33,,7,11,,10,5,,6,6,,80.4,79.6,,40.3,26.9,61.5,0.437,9.03,24.7,0.366,17.6,26.1,0.672,11.5,36.6,13,7.31,5.06,13.6,20.9
18,Austin Peay,30,11,19,0.367,-11,-2.32,,7,9,,5,8,,4,11,,77.7,83.8,,40.5,26.9,57.3,0.469,7.57,21.3,0.355,16.4,23.2,0.708,8.17,30.4,10.8,5.7,2.43,12.4,18.2
19,Ball State,34,21,13,0.618,-1.45,-3.57,,11,7,,11,5,,7,7,,78.7,75.5,,40.6,27.3,59.2,0.461,9.38,24.7,0.379,14.7,20.5,0.718,9.85,37.7,15.6,5.97,3.47,14.6,19.4
20,Baylor ,35,27,8,0.771,19.75,11.87,,12,6,,15,2,,6,4,,72.9,63.7,,40,26.3,55.9,0.471,6.57,18.3,0.359,13.7,18.9,0.723,12.9,38,15.5,5.14,4.74,13.4,17.6
21,Belmont,30,23,7,0.767,4.28,-1.69,,15,1,,12,1,,11,4,,76.7,69.3,,40.2,26.6,56.8,0.469,10.2,29.8,0.342,13.3,17.4,0.768,8.47,35.2,16,4.37,2.67,12.7,17.7
22,Bethune-Cookman,32,10,22,0.313,-19.44,-11.21,,6,10,,7,7,,2,13,,71.1,77.8,,41.1,26.3,63.2,0.415,7.13,22.3,0.32,11.5,17.3,0.662,12.4,35.5,14,7.66,3,12.9,20.1
23,Binghamton,32,12,20,0.375,-11.99,-5.79,,3,13,,7,7,,4,13,,68,70.9,,40.2,24,54.9,0.437,7.75,21.4,0.362,12.2,17.3,0.705,7.84,33,12.8,5.22,2.44,12.4,17
24,Boise State,32,20,12,0.625,5.52,2.72,,12,6,,11,3,,8,7,,75.1,71.2,,40,25.3,56.3,0.45,7.91,22.7,0.348,16.5,23.2,0.712,9.66,35.6,12.1,4.94,2.41,12.8,20.7
25,Boston College,32,9,23,0.281,2.2,8.08,,2,16,,8,10,,0,9,,72.5,78.4,,40,26.3,58.8,0.448,8,21.4,0.374,11.8,17.4,0.68,9.13,35,14.8,5.59,2.72,14.6,18.7
26,Boston University,32,18,14,0.563,-2.43,-3.66,,12,6,,11,5,,6,9,,73.1,70.8,,40.6,25.5,57.6,0.443,8.56,24.2,0.354,13.5,19.3,0.696,10,35.7,14,8.28,2.53,13.9,19.1
27,Bowling Green State,32,13,19,0.406,-6,-2,,7,11,,10,7,,3,12,,73.6,76.7,,40.5,26,61.2,0.425,6.88,20.1,0.342,14.7,22.1,0.667,11,36,12.2,6.91,2.72,12.8,19.5
28,Bradley,33,13,20,0.394,-2.84,2.94,,7,11,,8,7,,3,10,,65.5,70.7,,40.2,22.2,52.2,0.425,6.58,18.5,0.356,14.7,21.8,0.673,9,35,11.3,6.15,3.58,15.1,20.4
29,Brigham Young,34,22,12,0.647,8.22,1.87,,12,6,,14,4,,5,4,,80.6,74.3,,40,27.6,60.5,0.456,6.76,19.6,0.344,18.7,25.6,0.733,10.7,41.7,15.7,6.59,4.59,13.8,19.3
30,Brown,30,13,17,0.433,-8.55,-4.08,,4,10,,9,7,,4,8,,75.8,77.9,,40,24.5,55.3,0.443,8.13,22.2,0.367,18.7,24.6,0.759,9.17,31.1,13.3,7.6,1.87,14.3,19.9
31,Bryant,32,12,20,0.375,-9.69,-5.43,,9,9,,9,5,,2,15,,74.2,77.4,,41.1,26.2,59.9,0.438,7.41,21.9,0.338,14.3,19.9,0.72,10.8,35.9,14.4,6.81,2.16,13.4,21.3
32,Bucknell ,35,26,9,0.743,5.89,-2.48,,15,3,,14,2,,9,6,,76.3,67.9,,40,26.9,56,0.48,8.17,21.5,0.379,14.2,20.9,0.681,8.63,34.4,14.6,7.2,3.83,13.3,18.7
33,Buffalo,32,17,15,0.531,0.92,-1.01,,11,7,,8,4,,8,7,,77.7,74.2,,40.2,27.4,60.8,0.451,7.5,22.7,0.33,15.4,22.2,0.692,12.4,40.5,14.3,5.66,3.97,14.2,23
34,Butler ,34,25,9,0.735,17.7,10.23,,12,6,,13,3,,7,4,,76.3,68.9,,40.3,26.6,55.8,0.477,7.68,21,0.366,15.4,20.7,0.741,8.44,32.1,13.3,6.06,2.82,10.2,18.8
35,Cal Poly,31,11,20,0.355,-10.71,-4.22,,6,10,,6,6,,5,11,,67.2,72.3,,40.3,23.4,58.1,0.403,8.32,24.5,0.34,12,17.2,0.697,9.68,32.4,10.4,5.23,3.65,10.7,18.5
36,Cal State Bakersfield,35,25,10,0.714,3.21,-1.94,,12,2,,12,1,,11,6,,71.5,63.9,,40.7,25.6,58.1,0.44,6.54,18.6,0.351,13.8,21.6,0.64,12.3,38.5,14.5,8.17,3.91,14.8,22.7
37,Cal State Fullerton,32,17,15,0.531,-7.55,-6.85,,10,6,,12,4,,4,8,,73.5,71.3,,41.1,25.7,57.8,0.444,6.13,19.7,0.311,16,23.3,0.687,10.9,37.4,12.1,6.97,3.66,14.5,20.8
38,Cal State Northridge,30,11,19,0.367,-8.34,-4.13,,7,9,,7,7,,4,8,,78,81.3,,40,26.9,58.2,0.461,4.83,13.8,0.349,19.5,26.7,0.729,9.83,35.1,13.7,6.9,3,13.3,21.3
39,California,34,21,13,0.618,11.11,6.34,,10,8,,15,4,,3,6,,68.1,63.4,,40.6,23.7,56.2,0.422,6.65,19.5,0.34,14,21.2,0.661,11.6,38.9,12,4.85,4.56,12.6,19.3
40,Campbell,37,19,18,0.514,-9.68,-7.59,,7,11,,11,8,,6,9,,71.7,70.4,,40.3,24.6,53.8,0.456,7.95,21.6,0.368,14.6,19.5,0.751,7.86,32.9,11.7,6.59,4.08,12.9,17.9
41,Canisius,34,18,16,0.529,-2.82,-3.5,,10,10,,7,7,,9,8,,78.4,77.7,,40.3,27.7,60.8,0.456,9.09,24.5,0.371,13.8,18.8,0.736,10.7,32.9,17.7,6.76,1.88,13.1,19.4
42,Central Arkansas,32,8,24,0.25,-13.04,-3.76,,7,11,,5,6,,3,16,,74.8,84.1,,40.5,26.1,59.7,0.438,7.19,19.2,0.375,15.4,21.5,0.718,10.5,36,14.5,5.56,2.63,13.9,18.9
43,Central Connecticut State,29,6,23,0.207,-17.51,-7.68,,4,14,,3,9,,3,14,,63,72.8,,40.3,23.3,55.2,0.421,5.03,14.4,0.349,11.4,18.4,0.62,11.4,33.3,11.8,5.72,2.34,14.2,18.6
44,Central Michigan,32,16,16,0.5,-5.76,-2.63,,6,12,,10,5,,5,9,,88.3,87.7,,40.5,28.5,67.3,0.424,12.5,34.8,0.358,18.8,23.8,0.791,11.4,38.9,11.3,5.66,2.91,11.3,19.1
45,Charleston Southern,31,12,19,0.387,-12.28,-6.21,,7,11,,9,6,,3,12,,74.3,75.6,,40.5,26.6,60.3,0.441,7.35,21.6,0.341,13.8,20.7,0.666,10.8,35.2,11,5.68,2.87,11.5,20
46,Charlotte,30,13,17,0.433,-5.24,-0.93,,7,11,,10,5,,3,9,,76.5,80.2,,40.2,26.7,60.1,0.444,7.9,21,0.376,15.3,20.5,0.746,7.47,32.6,12,6.33,3.13,12.2,19.3
47,Chattanooga,31,19,12,0.613,1.1,-2.08,,10,8,,11,3,,7,7,,74.6,68.8,,40.2,25.8,55.4,0.466,7.45,21.5,0.346,15.5,21.8,0.71,10.4,32.4,12.2,7.77,4.68,13.3,18.4
48,Chicago State,32,6,26,0.188,-16.67,-0.19,,1,13,,3,7,,2,17,,65.3,78.5,,40.6,23.1,60.1,0.384,6.63,21.3,0.311,12.5,17.8,0.701,10.8,35.1,11.3,6.72,2.13,13.8,19.3
49,Cincinnati ,36,30,6,0.833,18.43,5.49,,16,2,,18,0,,8,3,,74.3,61.3,,40.3,26.9,58.8,0.458,7.33,21.2,0.346,13.1,19.1,0.686,12.1,36.9,15.5,7.25,4.81,10,15.7
50,Clemson,33,17,16,0.515,13.22,9.98,,6,12,,11,6,,3,7,,74.8,71.5,,40.2,26.4,58.8,0.449,7.24,20.3,0.357,14.8,20.2,0.731,11.1,34.1,12.5,7.12,3.94,10.7,15.2
51,Cleveland State,31,9,22,0.29,-6.73,-1.53,,5,13,,5,6,,2,14,,67.2,71.7,,40.6,24,59.3,0.405,7.06,22.9,0.309,12.1,17.5,0.691,10.9,33,10.5,7.13,3.03,13.1,20.5
52,Coastal Carolina,39,20,19,0.513,-3.94,-1.48,,10,8,,15,6,,3,12,,72.6,73.3,,40.3,26.2,61.9,0.423,8.15,24.7,0.33,12.1,18.4,0.658,12.3,40.3,12,6.08,2.79,13,18.2
53,Colgate,32,10,22,0.313,-8.47,-3.6,,8,10,,4,8,,6,12,,67,71,,40.8,23.3,52.9,0.44,8.47,22.9,0.37,12,17.7,0.677,8.22,32.4,12.9,5.13,2.56,14.7,18.8
54,College of Charleston,35,25,10,0.714,3.99,-0.19,,14,4,,12,2,,10,5,,69,64.6,,40.1,23,53.2,0.432,6.29,19.1,0.328,16.8,22.8,0.736,8.63,34.1,10.1,5.54,3.34,10.4,17.3
55,Colorado,34,19,15,0.559,9.12,6,,8,10,,13,4,,4,9,,75.5,72.2,,40.3,26.1,58.6,0.446,7.35,21.1,0.348,15.9,22.6,0.704,11.9,37.5,13.9,5.06,4.29,12.1,18.6
56,Colorado State,36,24,12,0.667,6.03,2.17,,13,5,,15,5,,7,5,,72.5,68,,40,24.4,57.5,0.425,7.14,21.1,0.339,16.6,22.6,0.731,11.4,38.2,11,6.06,3.42,10.9,17.2
57,Columbia,27,11,16,0.407,-5.67,-3.13,,5,9,,7,6,,4,10,,71.9,72.7,,40.4,25.9,59.4,0.437,7.81,21.6,0.361,12.2,17.2,0.708,10.1,34.9,15.5,7.04,2.93,12.9,18.7
58,Connecticut,33,16,17,0.485,7.23,6.61,,9,9,,8,6,,4,8,,67.3,66.3,,40.3,23.6,54.8,0.43,6.76,19,0.355,13.4,18.8,0.712,10.2,36.6,13.1,4.42,5.36,12.2,17.4
59,Coppin State,32,8,24,0.25,-21.51,-8.01,,7,9,,5,6,,3,16,,66.2,78.8,,40.3,22,57.7,0.382,7.03,22.1,0.318,15.1,23.3,0.65,11.5,34.8,10.5,5.69,2.25,13.8,20.8
60,Cornell,29,8,21,0.276,-8.4,-1.55,,4,10,,3,8,,4,12,,71.5,77.2,,40.2,25.7,56.8,0.453,8.41,24.8,0.339,11.7,16.7,0.698,7.55,33.7,14.4,5.17,2.69,14.4,18.2
61,Creighton ,35,25,10,0.714,17.27,8.95,,10,8,,13,4,,7,4,,81.8,72.8,,40,30.8,61.1,0.504,8.69,21.9,0.397,11.5,16.9,0.682,8.26,34.9,17.1,6.09,2.91,12.4,16.6
62,Dartmouth,27,7,20,0.259,-11.15,-3.45,,4,10,,3,9,,4,11,,67.1,74.8,,40.2,23.4,54.2,0.431,7.37,20.9,0.352,13,18.3,0.709,9.22,34,11.1,4.59,1.78,14.9,18.3
63,Davidson,32,17,15,0.531,6.45,4.26,,8,10,,8,5,,5,7,,73.8,71.6,,40.3,25.4,58.2,0.437,9.13,26.8,0.341,13.8,18.3,0.753,8.91,35.9,15.6,5.09,3.31,12.2,18.2
64,Dayton ,32,24,8,0.75,12.98,4.27,,15,3,,15,1,,7,3,,75.9,66.4,,40.2,25.6,55.1,0.465,8.06,21,0.385,16.6,24,0.69,8.66,34.3,15.6,7.78,4,11.8,18.8
65,Delaware,33,13,20,0.394,-9.97,-1.42,,5,13,,9,5,,3,12,,65.4,72.2,,40.2,23.5,55.7,0.422,5.94,19.5,0.305,12.5,18.2,0.686,9.76,35.1,11.7,5.33,3.09,12,18.9
66,Delaware State,32,10,22,0.313,-18.81,-9.37,,7,9,,4,7,,6,14,,68.3,75,,40.5,24.4,58.3,0.419,8.22,22.7,0.362,11.2,17,0.659,10.9,33,13.4,5.53,2.78,13.6,19
67,Denver,30,16,14,0.533,-2.99,-4.19,,8,8,,8,5,,7,8,,75.8,74.6,,40.3,27,56.1,0.482,7.43,18.5,0.402,14.3,19.4,0.734,9.1,35.3,15.1,5,2.13,13.5,20.1
68,DePaul,32,9,23,0.281,2.09,7.78,,2,16,,8,10,,1,9,,68.9,74.6,,40.2,24.2,56.4,0.43,5.75,17.6,0.326,14.8,20.1,0.735,10.6,33,11.4,6.66,2.88,14.1,19.8
69,Detroit Mercy,31,8,23,0.258,-10.72,-1.62,,6,12,,5,9,,3,13,,77,84.8,,40.5,26.8,60.2,0.445,8.1,21.8,0.372,15.4,23.1,0.664,10.3,33.4,12.8,6.55,2.52,14.5,23.9
70,Drake,31,7,24,0.226,-4.71,1.91,,5,13,,6,9,,1,11,,71.2,77.1,,40.5,24.5,59.9,0.409,8.71,25.2,0.345,13.5,17.8,0.756,10,34.5,13,6.06,2.42,12.5,18.2
71,Drexel,32,9,23,0.281,-7.43,-2.56,,3,15,,5,8,,4,14,,74.9,78.4,,40.6,27,62.1,0.435,8,23.2,0.345,12.8,19.3,0.666,11.9,36.8,14.7,5.84,3.06,13.3,20.1
72,Duke ,37,28,9,0.757,21.56,10.91,,11,7,,15,1,,4,6,,80.8,70.2,,40,27.5,57.9,0.475,8.41,22.2,0.378,17.4,22.8,0.762,10.5,36.2,13.1,6.11,4.65,11.4,18.2
73,Duquesne,32,10,22,0.313,-3.06,0.69,,3,15,,8,10,,1,10,,70.5,74.3,,40,24.5,57.3,0.428,7.06,21.2,0.334,14.4,21.3,0.676,10.7,36.5,12.5,4.91,3.97,14.2,18.5
74,East Carolina,33,15,18,0.455,-0.49,1.33,,6,12,,12,5,,1,11,,63.3,65.1,,40,21.7,54.5,0.398,6.48,20.2,0.32,13.4,20.4,0.657,11.2,37.9,11.9,5.09,5.18,13.9,16.7
75,East Tennessee State ,35,27,8,0.771,7.31,-2.11,,14,4,,13,2,,8,5,,79.5,69.7,,40.4,27.4,56.2,0.488,7.57,19.8,0.382,17.1,24.3,0.702,10.2,36.3,14.7,8.37,4.63,14.8,19.9
76,Eastern Illinois,29,14,15,0.483,-5.35,-5.05,,6,10,,8,6,,6,9,,74.8,71.8,,41.2,26.6,63.9,0.417,8.93,24,0.372,12.6,17.3,0.731,12,37.3,15.3,6.83,4.1,12.8,19.3
77,Eastern Kentucky,31,12,19,0.387,-8.65,-2.44,,5,11,,8,6,,3,12,,70.9,75.2,,40.8,24.2,56.5,0.428,7.58,23.6,0.321,14.9,21.1,0.705,9.23,32.8,13.6,5.97,3.65,13.9,20
78,Eastern Michigan,33,16,17,0.485,-0.18,0.16,,7,11,,10,6,,5,10,,77.8,73,,40.3,27.8,62,0.449,6.39,18.7,0.343,15.7,21.7,0.725,12.7,36.4,13.4,9.61,4.36,12.1,21.3
79,Eastern Washington,34,22,12,0.647,-2.77,-4.43,,13,5,,15,1,,6,10,,79.3,76.2,,41.5,27.9,58.1,0.479,8.26,21.8,0.379,15.3,19.9,0.77,9.09,35.2,12.4,4.65,4.76,12.2,20
80,Elon,32,18,14,0.563,0.24,-1.39,,10,8,,10,4,,6,8,,75.1,71.6,,40.9,26.6,59.7,0.445,9.63,27.1,0.355,12.3,18,0.685,9.09,37.8,14.6,5.16,2.28,11.7,16.6
81,Evansville,33,16,17,0.485,1.45,2.42,,6,12,,13,4,,2,9,,69.3,68.5,,40.5,24.2,53.4,0.454,3.85,10.5,0.366,17,23.8,0.713,9.03,34.4,13.4,5.21,3,11.8,20
82,Fairfield,31,16,15,0.516,-4.75,-3.85,,11,9,,7,6,,8,8,,72.6,73.5,,40.3,26.5,60,0.442,8.45,25.2,0.335,11.1,16.3,0.682,8.87,36,15,5.35,2.97,13.4,18.3
83,FDU,30,11,19,0.367,-9.28,-5.31,,9,9,,7,4,,3,14,,72.8,75,,40.2,25.1,57.1,0.44,6.7,20.2,0.332,15.8,20.7,0.765,9.7,33.1,12.2,6.3,2.6,13.3,21.2
84,Florida ,36,27,9,0.75,22.4,11.01,,14,4,,9,1,,8,4,,77.9,66.5,,40.4,26.5,58.8,0.45,7.72,21.6,0.358,17.2,23.6,0.729,11.6,37,12.5,7.56,4.64,12,18.4
85,Florida A&M,30,7,23,0.233,-20.88,-11.85,,5,11,,4,10,,3,11,,71.8,78.8,,40.7,25.4,60,0.423,6.23,17.9,0.348,14.7,22.4,0.659,10.2,34.9,12.6,6.57,3.3,13.6,18.9
86,Florida Atlantic,30,10,20,0.333,-7.95,-1.98,,6,12,,5,9,,5,8,,70.3,74,,40.5,25.2,61.3,0.411,6.8,21.3,0.319,13.1,18.6,0.703,10.5,35.5,12.3,5.7,3.1,11.6,19
87,Florida Gulf Coast ,34,26,8,0.765,2.26,-3.42,,12,2,,16,3,,10,3,,79.4,69.3,,40.3,29.6,59.3,0.499,6.5,18.7,0.347,13.7,19.5,0.702,11.1,37.3,15.5,6.09,3.41,12.4,18.7
88,Florida International,31,7,24,0.226,-8.1,-3.27,,3,15,,6,9,,1,13,,70.3,73.6,,41,26,57.2,0.454,5.84,17.6,0.332,12.5,16.6,0.75,10.2,33.9,11.2,5.97,2.16,13.3,18.4
89,Florida State ,35,26,9,0.743,18.87,8.87,,12,6,,18,0,,3,6,,82.1,72.1,,40,29.6,61.3,0.483,6.66,19.2,0.347,16.2,23.5,0.689,11.7,37.8,14.6,7.4,5.14,11.9,19.5
90,Fordham,32,13,19,0.406,-1.97,1.36,,7,11,,8,9,,5,8,,65.3,67.7,,40.6,23.2,55.7,0.416,8.25,24.7,0.334,10.8,14.8,0.726,8.16,28.5,13.4,9.81,2.84,13.1,19.1
91,Fresno State,33,20,13,0.606,4.37,2.31,,11,7,,13,2,,6,10,,73.5,70.2,,40.9,25.8,56.7,0.455,6.33,18,0.352,15.5,23.1,0.672,9.52,35.6,12.5,8.39,3.85,13.5,21.8
92,Furman,35,23,12,0.657,1.46,-3.75,,14,4,,11,3,,12,8,,74,66.3,,40.3,26.2,55.5,0.473,9.11,23.7,0.385,12.4,17.8,0.697,9.06,34.6,15,7,2.34,12.9,17.5
93,Gardner-Webb,33,19,14,0.576,-3.08,-5.71,,11,7,,9,5,,8,8,,77.2,70.3,,40.8,27.7,57.7,0.479,6.33,16.7,0.379,15.5,24.8,0.624,11.3,38.2,14.7,8.82,3.58,14.4,20.3
94,George Mason,34,20,14,0.588,3.01,1.28,,9,9,,10,7,,7,5,,74.1,71.7,,40.7,25.9,57.7,0.448,5.35,15.9,0.336,17,22.8,0.747,11.2,40.3,11.7,4.97,2.82,12.9,16.8
95,George Washington,35,20,15,0.571,2.37,2.11,,10,8,,14,3,,5,8,,69.9,69.7,,40,23.5,55.4,0.424,7.89,21.2,0.371,15.1,20.3,0.745,11.3,36.5,13.3,5.49,3.89,12.9,15.5
96,Georgetown,32,14,18,0.438,11.18,9.31,,5,13,,9,8,,3,7,,74,72.2,,40.3,25.3,54.8,0.461,6.44,18.4,0.349,17.1,23.3,0.733,9.53,35.7,15,5.47,4.59,14.2,21
97,Georgia,34,19,15,0.559,11.13,10.28,,9,9,,12,6,,5,7,,71.6,70.4,,40.3,24.6,56,0.439,5.15,15.8,0.325,17.3,22.9,0.757,9.71,37,12.6,5.35,3.71,13.1,18.6
98,Georgia Southern,33,18,15,0.545,-3.63,-2.83,,11,7,,10,4,,6,11,,75.5,73.3,,40.2,25.5,57.8,0.441,9.18,25.4,0.362,15.4,23.1,0.664,9.7,34.8,10.4,6.79,3.09,11.8,19.4
99,Georgia State,33,20,13,0.606,-0.33,-2.17,,12,6,,11,3,,6,9,,74,70.1,,40.2,26.8,57.2,0.469,7.45,20.9,0.357,12.9,19.9,0.647,10.1,35.6,12.1,7.15,4.24,14,20.4
100,Georgia Tech,37,21,16,0.568,7.82,8.21,,8,10,,16,4,,3,10,,67.5,66.8,,40.1,24.6,56.2,0.438,4.62,13.9,0.331,13.6,20,0.682,9.62,35.9,15.4,6.62,5.97,13.4,16
101,Gonzaga ,39,37,2,0.949,25.26,4.13,,17,1,,15,1,,9,0,,82.6,61.5,,40,29.5,58.5,0.504,7.33,19.2,0.382,16.4,22.8,0.717,9.69,40.7,15.3,6.79,4.69,11.5,16.9
102,Grambling,33,16,17,0.485,-17.29,-11.89,,10,8,,11,2,,4,12,,71.5,73.1,,40.6,25.5,58.9,0.433,5.58,17.6,0.317,15,22.6,0.663,12.1,33.6,11.2,8.85,2.3,13.6,19.9
103,Grand Canyon,31,22,9,0.71,-0.16,-4.22,,11,3,,15,3,,5,6,,73.6,67.8,,40.3,25.5,58.5,0.436,6.61,20,0.331,16,24.1,0.665,10.8,37.6,13.6,7.52,2.55,12.8,17.4
104,Green Bay,32,18,14,0.563,-2.77,-2.83,,12,6,,10,3,,7,9,,80.2,77.5,,40.5,28.5,64.4,0.443,6.16,19.1,0.322,16.9,24.6,0.689,12.1,41,13.9,7.72,4.16,14,19.8
105,Hampton,31,14,17,0.452,-13.23,-9.92,,11,5,,9,4,,5,11,,69.3,71.6,,40.3,24.2,59.5,0.407,6.32,20,0.316,14.5,20.4,0.712,12,36.9,11.7,4.9,3.65,14,20.4
106,Hartford,32,9,23,0.281,-15.85,-5.56,,4,12,,6,8,,3,15,,66.8,77,,40.5,22.8,56.7,0.402,8.22,24.3,0.338,12.9,18.5,0.699,9.13,32.7,11.5,7.13,3.69,14.4,18.8
107,Harvard,28,18,10,0.643,2.3,-2.24,,10,4,,11,3,,7,5,,71.9,65.8,,40,25,55.9,0.447,8.18,23,0.355,13.8,18.5,0.743,10.1,35.9,14.4,6.29,4.75,12.8,19
108,Hawaii,30,14,16,0.467,-6.19,-4.92,,8,8,,11,8,,3,5,,68.1,68.3,,40.3,23.3,55,0.423,7.13,21.9,0.325,14.4,20.1,0.715,9.57,32.2,13.9,5,1.9,13.8,19
109,High Point,31,15,16,0.484,-9.06,-6.28,,9,9,,8,8,,7,7,,68.8,68.9,,40.6,23.6,54.6,0.432,6.32,16.8,0.377,15.3,20.5,0.744,9.9,35.1,12.5,5.94,3.1,13.1,17.4
110,Hofstra,32,15,17,0.469,-2.35,-1.9,,7,11,,7,7,,6,7,,77.3,76.7,,40.3,26.4,59.6,0.443,9.09,24.8,0.367,15.3,22.4,0.684,11.6,36.4,13.1,4.44,2.56,10.7,17
111,Holy Cross,32,15,17,0.469,-5.26,-3.51,,9,9,,9,5,,6,12,,60.4,62.1,,40.2,20.7,48.5,0.427,7.38,21.4,0.345,11.6,16.7,0.693,5.91,25.3,13.3,9.44,2.38,11,16.1
112,Houston,32,21,11,0.656,12.2,3.42,,12,6,,12,4,,6,5,,73.7,64.9,,40.2,26.6,59.4,0.447,8.38,21.3,0.394,12.2,17,0.717,11.3,35.6,12.7,5.31,3.53,9.84,18.8
113,Houston Christian,31,17,14,0.548,-7.3,-4.44,,12,6,,13,1,,4,12,,78.7,77.4,,40,28.1,62.1,0.453,6.29,18.5,0.34,16.3,23.3,0.699,13.7,38.7,14.7,6.29,2.61,13.2,19.3
114,Howard,34,10,24,0.294,-16.97,-7.97,,5,11,,6,6,,2,16,,63.7,71.6,,40,21.3,54.6,0.39,5.06,17.4,0.291,16.1,24.5,0.657,12.4,37,9.03,5.26,3.71,14.7,18.7
115,Idaho,33,19,14,0.576,-5.34,-5.89,,12,6,,12,3,,6,10,,73.1,71.1,,40.9,24.5,56.7,0.433,7.73,21,0.367,16.3,22.6,0.723,11,36.8,12.8,4.97,2.45,12.8,21.1
116,Idaho State,31,5,26,0.161,-15.1,-3.37,,3,15,,4,7,,1,16,,69.8,80.2,,40.3,23.9,55.1,0.434,7.65,21.3,0.359,14.3,20.9,0.684,7.52,29.7,10.2,7.23,2.35,12.9,18.6
117,Illinois,35,20,15,0.571,10.54,9.25,,8,10,,14,5,,3,7,,71.7,69.1,,40.1,25.7,57.7,0.445,7.71,20.9,0.369,12.6,18.4,0.687,9.77,34.8,13.5,5.63,2.37,12.4,18.3
