,,Overall,,,,,,,Conf.,,,Home,,,Away,,,Points,,,Totals,,,,,,,,,,,,,,,,
20,Baylor ,30,28,2,0.933,24.83,7.4,,13,1,,11,0,,7,1,,82.9,65.5,,40.2,30.6,62.9,0.486,9.97,24.1,0.413,11.8,16.7,0.708,12.5,36,16.9,8.9,3.7,11.5,17.1
21,Bellarmine,22,14,8,0.636,-1.76,-5.56,,10,3,,6,4,,7,2,,74.3,66.2,,40,28,55,0.508,6.5,17.3,0.375,11.9,15.7,0.757,7.77,30.3,15.5,7.27,2.27,11.1,15.5
22,Belmont,30,26,4,0.867,3.46,-8.71,,18,2,,11,1,,10,2,,81.3,69.1,,40.2,29.8,61,0.489,9.03,26.2,0.344,12.7,17.2,0.738,8.8,35.7,18.2,7.73,2.9,12,14.6
23,Binghamton,18,4,14,0.222,-12.24,-5.35,,4,10,,1,9,,3,5,,65.4,72.3,,40.8,23.9,57.7,0.414,8.67,26.2,0.331,9,13.4,0.672,10.6,35.7,11.1,5,3.06,13.9,17.1
24,Boise State,28,19,9,0.679,9.75,1.71,,14,6,,11,1,,6,6,,75.8,66.7,,40.2,26.5,58.4,0.455,7.86,22.7,0.346,14.9,20.2,0.735,9.04,35.5,13.5,6.54,2.86,11.7,17.1
25,Boston College,20,4,16,0.2,0.82,8.97,,2,11,,3,5,,0,7,,71.3,79.5,,40.3,25,59.3,0.422,9,27.3,0.33,12.3,17.6,0.702,9.15,33.3,11.5,7.2,3.85,13.7,16.2
26,Boston University,18,7,11,0.389,-3.71,0.84,,6,10,,2,6,,5,5,,69.4,73.9,,40,25.1,57.5,0.436,6.94,21.8,0.318,12.3,16.4,0.75,10.1,35.3,10.6,5.39,3.11,12.5,16.9
27,Bowling Green State,26,14,12,0.538,-0.17,-2.37,,10,8,,4,7,,10,3,,77.5,74.6,,40.4,27.8,66.6,0.418,8.19,25.7,0.319,13.6,18.5,0.736,12.5,38.3,12.6,7.08,2.19,9.85,17
28,Bradley,28,12,16,0.429,0.32,1.17,,6,12,,8,6,,2,9,,69.6,66.6,,40.4,26.3,58.4,0.45,6.86,21.5,0.318,10.1,14,0.723,10.1,36.9,13.6,5.14,3.57,12.4,16.3
29,Brigham Young ,27,20,7,0.741,15.19,7.23,,10,3,,11,2,,7,2,,78.1,68.6,,40.6,28.7,59.6,0.483,8.74,23.4,0.373,11.9,16.4,0.725,9.44,39.2,16.1,4.59,2.81,13.2,18
30,Bryant,22,15,7,0.682,-1.37,-7.27,,10,4,,10,1,,5,5,,83.8,75.6,,40,29,62.4,0.465,9.45,24.8,0.381,16.3,21.5,0.761,10.2,39.8,15.3,6.91,3.55,15.1,16.6
31,Bucknell,12,5,7,0.417,-7.78,-5.36,,4,6,,2,3,,3,4,,74.9,77.3,,40,25.9,56.9,0.455,7.33,22.3,0.33,15.8,20.7,0.762,6.5,33.5,12,5.83,3.5,12.7,17.4
32,Buffalo,25,16,9,0.64,6.5,-1.58,,12,5,,8,3,,5,3,,81.4,72.9,,40.4,30.6,66.5,0.461,7,20.7,0.338,13.1,19.5,0.671,14.8,43.8,15.9,7.96,4.12,13.9,17.7
33,Butler,25,10,15,0.4,4.76,9.92,,8,12,,8,4,,1,9,,63.5,68.7,,40.6,22.9,55.7,0.411,7.16,22.2,0.323,10.6,16.4,0.646,9.2,32.3,12.3,5.56,2.04,11.4,16.2
34,Cal Poly,24,4,20,0.167,-13.69,-1.56,,1,15,,3,8,,0,11,,61.5,70.8,,40.2,21.6,54.8,0.395,6.54,20.5,0.32,11.7,16.2,0.722,7.79,32.4,12.4,6.21,3.5,13.9,18.6
35,Cal State Bakersfield,26,15,11,0.577,-0.13,-2.38,,11,7,,9,2,,6,8,,69.7,64,,40.2,26.3,58.9,0.447,5.62,15.9,0.353,11.4,16,0.714,13.4,36.9,14,6.42,3,13,19.2
36,Cal State Fullerton,16,6,10,0.375,-6.32,-3.05,,5,9,,5,4,,1,5,,77,78.6,,40.3,26.9,59.4,0.452,8.19,21.3,0.384,15.1,20.4,0.739,8.75,32.9,13.6,6.69,2,12.8,16.9
37,Cal State Northridge,22,9,13,0.409,-8.69,-1.97,,5,9,,4,7,,4,4,,72.1,77.7,,40.2,25.5,60.1,0.423,7.73,22.9,0.338,13.5,18.5,0.727,9.45,33.2,13.3,6.36,2.14,11.9,17.4
38,California,29,9,20,0.31,4.89,9.75,,3,17,,6,8,,1,11,,65.4,69.2,,40,22.8,53,0.43,7.03,21.4,0.328,12.8,18.3,0.697,8.1,31.6,11.9,4.34,2.24,12.8,17.8
39,California Baptist,23,13,10,0.565,-5.25,-5.04,,6,6,,11,4,,2,5,,79.1,72.8,,40.2,27.6,58,0.475,9.35,23.8,0.393,14.7,19.9,0.737,9.61,37.1,17.5,5.04,2.48,13.5,19.7
40,Campbell,27,17,10,0.63,-6.82,-7.34,,11,6,,9,3,,6,7,,71,68.1,,40.6,25.9,52.2,0.496,7.22,19.3,0.375,12,17.7,0.678,6.11,28.4,14.3,6.11,2.26,12.1,17
41,Canisius,13,7,6,0.538,-8.61,-7.84,,7,5,,3,1,,4,4,,70.4,71.2,,40,24.7,60.5,0.408,7.46,25.2,0.297,13.5,19.1,0.71,10,34.6,12.7,5.62,3.46,12,18
42,Central Arkansas,24,5,19,0.208,-14.86,-1.99,,4,12,,4,5,,1,14,,70.9,80.5,,40,25.3,57.8,0.437,7.08,19.5,0.363,13.3,18.5,0.717,10.3,37,13.4,5.04,2.67,17.5,18
43,Central Connecticut State,21,5,16,0.238,-15.12,-6.27,,5,13,,3,6,,2,9,,68.5,77.4,,40,24.9,58.6,0.424,7.14,22,0.324,11.7,16.6,0.704,8.52,31.6,12.9,6.9,2.57,14.2,17.1
44,Central Michigan,23,7,16,0.304,-12.34,-4.19,,3,13,,5,7,,2,9,,76.8,79.8,,40,27.4,61.6,0.445,6.61,20.1,0.329,15.3,22.7,0.673,10.5,36.2,10.7,8.17,2.91,13.3,17.2
45,Charleston Southern,21,3,18,0.143,-16.72,-6.22,,2,15,,1,9,,2,8,,65.5,73.8,,40.2,22.9,56.3,0.406,7.62,24.1,0.316,12.1,17,0.714,10.2,37,10.4,6.14,3.86,16.5,18.3
46,Charlotte,25,9,16,0.36,-5.68,-2.43,,5,11,,6,7,,3,8,,63.5,66.7,,41,21.8,50.4,0.432,5.72,17.6,0.324,14.2,19.4,0.731,6.88,31.1,11.3,5.44,2.92,13.4,14.6
47,Chattanooga,26,18,8,0.692,-1.54,-2.92,,9,7,,9,3,,9,4,,72.6,69.3,,40.4,25.7,58.5,0.438,8.38,23.3,0.359,12.9,16.5,0.783,8.35,33.9,12.3,6.85,1.85,11.1,14.2
48,Chicago State,9,0,9,0,-31.82,1.41,,,,,,,,0,7,,55.4,88.7,,40,20,55.2,0.362,5.67,22.6,0.251,9.78,14,0.698,6,26,9.89,5.44,1.44,15.6,19.8
49,Cincinnati,23,12,11,0.522,3.99,7.21,,8,6,,5,5,,5,5,,68.9,72.1,,40,24.6,58.2,0.423,7.09,22.8,0.311,12.6,19.2,0.656,10.7,36.2,15,6.74,3.78,14.6,18.9
50,Clemson ,24,16,8,0.667,12.49,9.49,,10,6,,11,1,,2,5,,64.9,61.9,,40.2,23.4,55.1,0.425,8.25,23.9,0.345,9.83,12.8,0.769,8.58,32.6,13.3,6.08,2.88,12.6,15.6
51,Cleveland State ,27,19,8,0.704,-5.12,-4.82,,16,4,,9,2,,8,5,,70.9,71.2,,40.9,26,57.7,0.45,6.37,19.8,0.321,12.6,18.8,0.671,10.5,34.6,13.7,6.96,2.56,12.9,19.4
52,Coastal Carolina,26,18,8,0.692,-2.74,-7.6,,9,5,,12,1,,3,5,,79.5,68.2,,40.4,28.2,61.7,0.456,8.5,23.8,0.358,14.7,20.5,0.717,13.5,43.5,15.5,8.19,3.96,15.2,16.7
53,Colgate ,16,14,2,0.875,13.66,-1.9,,11,1,,8,1,,6,0,,85.2,69.6,,40.3,30.9,62.8,0.493,9.25,22.9,0.403,14.1,19.4,0.723,9.5,39.9,17.6,7.06,3.44,10.8,16.2
54,College of Charleston,19,9,10,0.474,-4.96,-3.13,,6,4,,8,6,,1,3,,70.6,69.9,,41.1,25.3,56.1,0.451,8.32,22.2,0.374,11.6,16.4,0.711,8.21,32.8,10.6,5.26,2.79,10.4,17.1
55,Colorado ,32,23,9,0.719,18.88,9.57,,14,6,,11,1,,6,6,,73.1,63.8,,40,25.9,56.7,0.456,7.69,20.7,0.372,13.7,16.7,0.819,9.75,34.8,13.6,5.22,2.75,11.4,16.4
56,Colorado State,28,20,8,0.714,8.06,1.06,,14,4,,10,1,,6,4,,74,66.8,,40,25.5,54.9,0.465,8.39,23.8,0.353,14.5,18.4,0.792,7.57,34.5,14.6,5.86,2.68,13.5,16.6
57,Connecticut ,23,15,8,0.652,15.77,8.59,,11,6,,7,3,,6,3,,71.7,64.6,,40.2,26.2,60.3,0.434,6.74,20.1,0.335,12.7,17.5,0.722,13.5,38.2,12.9,6.17,5.26,11.7,18.8
58,Coppin State,22,9,13,0.409,-12.37,-6.06,,8,4,,5,3,,4,9,,72.8,79.1,,40,24,58.5,0.411,8.77,28.9,0.303,16,25.6,0.622,7.45,36.2,13,8.55,3.23,15.8,17.9
59,Creighton ,31,22,9,0.71,16.28,8.54,,14,6,,11,3,,7,4,,76,68.2,,40.3,28.3,60.1,0.472,9.45,26.2,0.361,9.87,15.4,0.64,8.35,35.7,15.6,6.97,3.32,11,15.4
60,Davidson,22,13,9,0.591,9.02,3.4,,7,4,,7,4,,4,2,,71.8,64.1,,40.2,26,55.2,0.472,9.82,27,0.364,9.86,14.4,0.687,8.95,34.5,15.1,5.14,2.59,10.7,14.9
61,Dayton,24,14,10,0.583,6.31,4.35,,9,7,,8,3,,4,6,,69.8,67.8,,41,24.7,51.6,0.478,8,21.5,0.372,12.4,17.4,0.713,6.71,33,13.5,4.5,1.96,14.4,15.4
62,Delaware,15,7,8,0.467,-5.19,-5.04,,5,4,,6,3,,1,4,,67.5,67.5,,40,23.1,52.9,0.438,7.13,21.4,0.333,14.1,19.8,0.714,8.73,35.1,12.5,4.6,3.6,14.3,17.5
63,Delaware State,19,3,16,0.158,-24.09,-6.33,,1,11,,3,6,,0,10,,70.8,85.7,,40.3,24.6,62.3,0.396,8,25.9,0.309,13.5,18.8,0.72,10.8,35.7,11.4,6.47,3.63,16.9,21.3
64,Denver,21,2,19,0.095,-16.4,-5.8,,1,13,,2,10,,0,9,,69.8,79.1,,40.5,24.7,55.8,0.443,6.71,19.1,0.351,13.7,19,0.721,7.43,30.3,11.9,5.71,2.57,14.8,20.5
65,DePaul,19,5,14,0.263,2.67,8.83,,2,13,,2,8,,2,5,,65.8,71.9,,40.5,25.3,60.7,0.417,5.42,17.2,0.315,9.74,14.4,0.678,12.1,37.7,11.4,6.84,3.89,15.8,19.7
66,Detroit Mercy,22,12,10,0.545,-3.66,-6.21,,10,6,,7,5,,5,5,,76.5,74,,40.2,27.2,58.6,0.464,10.2,26.1,0.391,11.9,14.8,0.804,8.95,32.7,14.3,6.82,2.45,11.5,14.3
67,Drake ,31,26,5,0.839,9.42,-0.48,,15,3,,14,1,,9,2,,75.9,64.5,,40.3,29.3,60.6,0.483,7.03,19.2,0.367,10.3,14.5,0.713,10.2,36.1,13.6,6.97,2.97,10.3,15.7
68,Drexel ,20,12,8,0.6,-0.97,-3.92,,4,5,,3,2,,4,5,,70.3,67.4,,40,25.7,55,0.467,7.25,19.6,0.371,11.7,15,0.78,8.7,33.9,14.9,4.55,2.4,12.8,14.9
69,Duke,24,13,11,0.542,13.04,8.33,,9,9,,8,5,,3,6,,76,71.3,,40.4,28.8,61.6,0.468,8.38,23.8,0.352,9.96,14.4,0.691,11.2,35.5,16.3,8.21,4.54,12.8,17.1
70,Duquesne,18,9,9,0.5,2.32,2.49,,7,7,,5,2,,2,5,,66.9,67.1,,40,24.3,57.8,0.421,6.39,21.4,0.299,11.9,18.3,0.65,11.4,36.3,13.4,6.72,4.44,13.3,17.2
71,East Carolina,19,8,11,0.421,1,3.83,,2,10,,7,6,,1,4,,66.8,67.9,,40.3,23.6,57.6,0.41,5.74,18.9,0.304,13.8,19.1,0.724,9.95,34.4,15.9,6.16,3.11,12.6,17.1
72,East Tennessee State,25,13,12,0.52,1.65,0.3,,8,7,,8,4,,3,5,,69.4,66.2,,40.2,24.8,56.6,0.438,8.04,23,0.35,11.8,16.9,0.697,10.1,35.9,11.8,7.36,2.52,13.6,17.2
73,Eastern Illinois,27,9,18,0.333,-12.71,-7.19,,6,14,,5,7,,4,11,,69.4,74.9,,40.6,26.2,60.1,0.436,6.89,21.3,0.324,10.1,15.4,0.657,10.6,35,13.3,7.15,3.26,14.2,16.1
74,Eastern Kentucky,29,22,7,0.759,-2.68,-8.24,,15,5,,10,2,,9,4,,81.8,73.7,,40.7,30,67.1,0.448,9.62,26.8,0.359,12.1,17.1,0.706,10.6,35.6,15.9,10.3,3.55,12.9,18.4
75,Eastern Michigan,18,6,12,0.333,-14.23,-1.23,,3,11,,5,4,,1,8,,70.4,75.7,,40,24.9,59.8,0.416,7.11,22.8,0.311,13.5,18.1,0.745,9.39,33,11,8.83,2.39,12.3,15.2
76,Eastern Washington ,24,16,8,0.667,4.03,-3.15,,12,3,,7,2,,6,5,,78.3,70.4,,40,27.8,59.4,0.468,8.5,23.9,0.355,14.2,18,0.791,7.42,35.3,15.2,4.79,2.92,11.5,17
77,Elon,19,10,9,0.526,-5.32,-4.43,,4,7,,4,2,,3,6,,65.7,65,,40,23.6,57,0.415,8.11,24.9,0.325,10.4,14,0.741,8.74,34.3,10.8,5.68,2.05,11.5,18.9
78,Evansville,25,9,16,0.36,-4.85,-0.01,,7,11,,8,4,,1,10,,64.8,69.6,,40.6,22.8,52,0.44,9.6,25.5,0.377,9.48,13.2,0.718,5.96,26.8,11.6,4.88,2.24,11,15.1
79,Fairfield,27,10,17,0.37,-11.46,-6.57,,7,11,,4,8,,3,8,,61.8,66.7,,40.4,21.5,53.9,0.398,6.04,19.1,0.315,12.8,18.4,0.696,9.81,35.1,10,4.63,2.3,12.9,17.8
80,FDU,24,9,15,0.375,-10.17,-6.46,,8,10,,4,6,,5,9,,75,78.8,,40.4,26.9,59.7,0.45,8.08,21.5,0.375,13.2,18.5,0.712,10.2,33.9,12,7.58,3.88,14.2,18.3
81,Florida ,25,15,10,0.6,13.7,9.82,,9,7,,6,3,,5,5,,74.2,70.3,,40.2,26.5,56.3,0.471,6.76,19,0.356,14.4,19.1,0.753,9.8,35.3,11.7,7.2,5.24,15,18.6
82,Florida A&M,20,8,12,0.4,-12.35,-9.55,,7,5,,4,1,,4,10,,65.7,68.5,,40,25,56.3,0.444,4.75,15.2,0.314,10.9,16.8,0.652,10.3,35.3,13.3,6.5,2.5,16.9,18.2
83,Florida Atlantic,23,13,10,0.565,-2.05,-4.94,,7,5,,7,1,,4,7,,78.1,66.8,,40.2,28.3,61.3,0.463,9.7,25.5,0.38,11.7,17.7,0.661,12.5,40.4,14.6,7.61,2.74,13.8,18
84,Florida Gulf Coast,18,10,8,0.556,-9.63,-7.13,,4,5,,7,4,,2,2,,71.8,69,,40,26.8,62.6,0.429,8.11,27.7,0.293,10,15.1,0.664,11.4,38.9,13.7,7.44,4.28,14.7,15.6
85,Florida International,26,9,17,0.346,-11.2,-3.24,,2,15,,7,8,,2,9,,73.6,76.3,,40.6,26.5,61.7,0.43,10.5,31.4,0.335,10,15.1,0.666,9.69,32.6,15,8.42,4.04,14.6,17.8
86,Florida State ,25,18,7,0.72,17.12,9.16,,11,4,,12,1,,3,4,,77.2,69.2,,40.4,27.7,58.4,0.474,7.68,20.4,0.376,14,19,0.741,10.9,36.7,14.5,7.28,5.08,14.4,18.4
87,Fordham,14,2,12,0.143,-11.69,3.09,,2,11,,2,5,,0,6,,51.8,66.6,,40,18.4,51.1,0.359,5.64,21,0.269,9.43,14.1,0.67,6.79,29.6,10.9,6.21,2,13.4,15.8
88,Fresno State,24,12,12,0.5,-3.57,0.07,,9,11,,7,5,,4,6,,66.3,67.4,,40.2,23,53.7,0.428,6.83,20.8,0.329,13.5,20.2,0.666,10.7,35.5,10.4,6.58,2.92,14.3,17.8
89,Furman,25,16,9,0.64,5.99,-1.69,,10,5,,11,1,,5,7,,79.6,68.9,,40.2,29.2,60,0.487,9.68,28.3,0.342,11.5,15.9,0.724,8.92,35.2,16.6,8.2,3.36,12.5,17.1
90,Gardner-Webb,26,11,15,0.423,-3.87,-6.14,,10,10,,7,4,,4,11,,70.7,68.4,,40,25,56.3,0.444,8.92,24.7,0.361,11.7,16.9,0.69,9.19,34.4,13,5.88,4.81,11.7,18.9
91,George Mason,22,13,9,0.591,1.91,0.48,,8,6,,7,3,,3,4,,71.3,69.9,,41.1,26.3,61.2,0.429,7.27,22.1,0.329,11.5,17.9,0.642,11.5,37.9,13,7.23,4.32,12.8,16
92,George Washington,17,5,12,0.294,-5.75,-1.57,,3,5,,3,6,,1,5,,68.1,72.3,,40.3,24.2,54.6,0.443,6,18.5,0.324,13.8,19.7,0.699,8,34.2,11.4,6.29,2.71,13.7,14.5
93,Georgetown ,26,13,13,0.5,10.13,10.36,,7,9,,7,6,,2,6,,71.4,71.7,,40.2,24.8,58.5,0.423,8.31,22.8,0.365,13.6,18,0.753,11.5,39.8,12.8,5.88,3.88,15.2,15.9
94,Georgia,26,14,12,0.538,6.62,8.02,,7,11,,12,5,,2,6,,77.5,78,,40.2,28.2,61.7,0.458,6.35,19.6,0.324,14.7,21.3,0.689,12.2,37.4,15,8.46,2.46,16.7,18.6
95,Georgia Southern,26,13,13,0.5,-10.22,-6.26,,7,9,,9,4,,4,8,,71.5,67.8,,41.2,26.4,59.1,0.447,7.46,23.4,0.319,11.3,17.8,0.635,11.8,37.1,12.5,8.08,3.88,14.4,17.1
96,Georgia State,22,16,6,0.727,-1.7,-4.6,,8,4,,9,1,,5,4,,80.3,72.7,,40.9,29.5,63,0.468,8.09,22.6,0.358,13.2,19.3,0.685,11.4,37.5,16.8,7.14,4.41,11.6,16.6
97,Georgia Tech ,26,17,9,0.654,12.79,7.91,,11,6,,11,3,,4,5,,74.9,70,,41,27.8,58.2,0.477,7.38,21.2,0.348,12,16.5,0.726,7.88,30.3,15.8,9.08,3.46,11.2,15.8
98,Gonzaga ,32,31,1,0.969,27.2,5.92,,15,0,,12,0,,7,0,,91,69.7,,40.2,33.7,61.4,0.549,7.5,20.4,0.368,16,22,0.73,9.03,37.2,18.8,7.94,2.81,12,16.3
99,Grambling,24,12,12,0.5,-14.27,-12.49,,9,6,,6,4,,5,7,,67.4,68.7,,40.2,23.4,54.7,0.428,5.21,15.7,0.332,15.3,23,0.665,8.63,34.5,14,8.13,3.04,15.5,18
100,Grand Canyon ,24,17,7,0.708,5.11,-3.46,,9,3,,10,3,,5,1,,75.5,62.1,,40,28.2,57.7,0.488,6.79,20.7,0.329,12.4,18.1,0.684,10.6,39.9,16.3,4.83,3,12.8,17.2
101,Green Bay,25,8,17,0.32,-10.15,-5.23,,8,12,,6,6,,2,11,,71.6,76.5,,41.2,26.2,60.3,0.435,6.8,20.4,0.333,12.3,16.4,0.749,9.12,32.7,14.1,5.52,3.6,10.8,16.2
102,Hampton,25,11,14,0.44,-13.67,-9.27,,9,9,,5,7,,6,7,,68.8,73.2,,40,24.8,57.5,0.431,7.4,22.3,0.332,11.9,16.4,0.725,7.84,33.8,11.7,6.08,5.96,12.7,17
103,Hartford ,24,15,9,0.625,-3.45,-4.95,,8,6,,10,1,,5,6,,65.4,63.9,,40,23.4,54.4,0.431,7.46,23.1,0.323,11.1,15.5,0.716,7.96,33.3,11,6.92,2.25,13.1,16.1
104,Hawaii,21,11,10,0.524,-2.98,-2.72,,9,9,,7,5,,4,4,,71.6,69.1,,40.7,25.4,57.5,0.442,7.81,21.7,0.36,12.9,17.9,0.721,10.3,35.8,11.7,5.67,1.52,13.9,16.7
105,High Point,24,9,15,0.375,-10.78,-7.58,,6,11,,5,5,,4,10,,66.7,69.9,,40.2,23.5,56.5,0.416,4.79,16.5,0.29,14.9,21.7,0.687,11.6,35.5,12.2,6.54,3.79,12.6,17.8
106,Hofstra,23,13,10,0.565,-2.77,-2.94,,8,6,,7,3,,5,6,,73.2,73,,40.2,25.9,58.3,0.443,7.57,22.9,0.33,13.8,19.3,0.716,10.5,35.5,12.7,6.61,2.96,12.1,16
107,Holy Cross,16,5,11,0.313,-4.99,0.45,,5,11,,2,7,,3,4,,70.6,76.1,,40.3,26.4,59.5,0.444,6.94,19.6,0.354,10.8,15.5,0.698,9.38,32.7,12.1,6.88,3.94,12.9,19.1
108,Houston ,32,28,4,0.875,21.66,5.37,,14,3,,15,0,,5,3,,76.1,58.2,,40,26.7,61.3,0.435,9.09,25.7,0.354,13.6,18.6,0.731,14.3,40.5,13.9,7.97,4.66,10.7,18
109,Houston Christian,25,6,19,0.24,-16.72,-5.72,,4,11,,4,6,,1,12,,71,80.3,,40.2,25.4,59.4,0.428,8.08,23.5,0.344,12.2,16.6,0.733,9.12,34,14.2,7.04,3.68,16.7,17
110,Howard,5,1,4,0.2,-14.26,-2.51,,,,,1,1,,,,,72.6,84.8,,40,24.6,56.6,0.435,7.6,24.6,0.309,15.8,22,0.718,8.2,35.4,14.8,5.2,5,14.4,17.8
111,Idaho,22,1,21,0.045,-18.32,-2.91,,1,17,,1,9,,0,11,,61,76.5,,40.5,22.2,51.5,0.432,5.55,16.3,0.341,11,15.2,0.725,6.91,29.9,12.1,4.95,1.95,16.4,18.9
112,Idaho State,24,13,11,0.542,-8.39,-5.71,,8,6,,8,3,,5,5,,68.2,61.7,,40.4,23.3,52.5,0.443,6.92,20.8,0.333,14.7,20.7,0.712,10.1,35.9,11.4,4.5,3.46,14.9,18.4
113,Illinois ,31,24,7,0.774,23.25,11.34,,16,4,,11,2,,9,3,,80.5,68.6,,40.5,29.3,58.7,0.5,6.55,17.5,0.373,15.4,22.3,0.69,10.4,40,16.3,5.68,2.81,13,17.7
114,Illinois State,25,7,18,0.28,-5.45,0.38,,4,14,,3,8,,3,9,,72,74.8,,40.6,27.2,59.1,0.46,7.8,22.6,0.345,9.84,14.9,0.661,8.24,35.2,13.8,6,3.36,13.8,16.4
115,Illinois-Chicago,22,9,13,0.409,-12.06,-7.42,,6,10,,7,4,,2,9,,67.7,72.3,,40.5,25.4,59.1,0.429,8.09,24.7,0.327,8.86,13.5,0.659,8.32,34.8,13.5,3.68,3.09,13.2,18.6
116,Incarnate Word,22,8,14,0.364,-15.91,-8.33,,5,9,,5,7,,3,6,,68,71.7,,40.2,23.8,53.5,0.445,7.64,20.4,0.374,12.7,18,0.703,7.77,31.1,12.2,5.36,1.86,14,18
117,Indiana,27,12,15,0.444,12.79,12.45,,7,12,,6,6,,3,7,,69.7,69.4,,41.3,24.2,55.9,0.433,5.85,18.1,0.324,15.4,23.2,0.665,8.96,34.6,13.9,5.74,3.74,11.9,17.7
