,,Overall,,,,,,,Conf.,,,Home,,,Away,,,Points,,,Totals,,,,,,,,,,,,,,,,
Rk,School,G,W,L,W-L%,SRS,SOS,,W,L,,W,L,,W,L,,Tm.,Opp.,,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF
1,Abilene Christian ,29,24,5,0.828,6.27,-6.37,,13,2,,13,0,,5,4,,75.7,60.4,,40,27.1,60.4,0.449,7.62,22.2,0.344,13.9,20.5,0.678,11.3,36.1,17.7,9.72,2.97,13.6,19.1
2,Air Force,25,5,20,0.2,-12.98,0.22,,3,17,,3,8,,1,10,,58.7,71.9,,40,20.9,46.8,0.446,6.96,21.1,0.33,10,14.4,0.693,4.4,23.2,12.3,7.08,2.48,14.4,16.6
3,Akron,23,15,8,0.652,1.85,-1.96,,12,6,,9,1,,5,5,,78.2,72.2,,40.4,27.3,61.5,0.444,9.43,28.3,0.333,14.1,18.7,0.758,11.4,38.9,13.3,4.91,3.65,11.8,18
4,Alabama ,33,26,7,0.788,19.58,10.01,,16,2,,12,1,,7,3,,79.7,70.1,,40.2,28,64.4,0.435,10.5,30,0.352,13.1,18.5,0.708,12.4,40.7,14.1,8.48,4.33,13.9,18.3
5,Alabama A&M,15,6,9,0.4,-18.86,-14.99,,4,9,,5,2,,1,7,,63.3,67.2,,40.7,23.1,57.9,0.4,5.53,19.1,0.29,11.5,18.4,0.627,10.7,38.5,10.9,5.47,3.6,15.3,18.1
6,Alabama State,18,4,14,0.222,-24.28,-16.95,,4,14,,3,6,,1,8,,64.2,71.6,,40,21.3,56.1,0.38,6.17,19.4,0.317,15.5,23.9,0.647,11.4,36.3,9.72,6.11,2.39,16.2,19.1
7,Albany (NY),16,7,9,0.438,-4.53,-5.22,,6,6,,4,5,,2,4,,69.4,68.7,,40,24.7,55.2,0.447,6.38,18.9,0.337,13.6,18.8,0.724,6.88,30,11.7,6.13,1.81,12.6,17.8
8,Alcorn State,19,6,13,0.316,-19.58,-10.06,,6,7,,4,3,,2,9,,66.1,75.6,,40,22.9,58.3,0.393,5.95,19.8,0.301,14.4,19.8,0.726,10.8,32,9.32,7.58,1.58,14.5,20.7
9,American,10,4,6,0.4,-6.32,-1.82,,4,5,,2,2,,2,4,,69.1,73.6,,42,24.8,55.7,0.445,9,23.8,0.378,10.5,14.9,0.705,7.8,32.6,12.8,7.3,4.7,15.8,19.3
10,Appalachian State ,29,17,12,0.586,-5.84,-5.72,,7,8,,9,4,,4,7,,70.3,64.1,,40.9,23.8,58.2,0.409,8.03,25.4,0.316,14.7,19.8,0.742,11,36.3,11.9,7.93,3.69,11.8,13.6
11,Arizona,26,17,9,0.654,15.02,8.18,,11,9,,12,4,,5,5,,75.4,68.6,,40.4,25.7,57.4,0.447,6.69,18,0.372,17.4,24,0.727,11.7,38.3,15.5,5.85,4,11.9,17.8
12,Arizona State,25,11,14,0.44,7.48,10.24,,7,10,,7,6,,2,6,,74.3,77.1,,40.4,26.2,60.6,0.433,7.16,21.5,0.333,14.7,20.2,0.728,7.84,31.9,13.1,7.28,3.28,11,19.1
13,Arkansas ,32,25,7,0.781,17.8,7.18,,13,4,,16,1,,5,4,,81.4,70.8,,40.2,29.2,64.7,0.451,7.28,21.9,0.332,15.7,21.2,0.74,11.8,39.7,14.6,7.84,4.94,12.9,16.9
14,Arkansas State,24,11,13,0.458,-7.97,-5.87,,7,8,,9,3,,1,9,,72.5,69.5,,40.2,25.9,57.9,0.447,6.42,16.8,0.383,14.4,19.9,0.722,11,37.2,14.5,6.58,2.83,13,16
15,Arkansas-Pine Bluff,25,4,21,0.16,-22.67,-7.79,,3,12,,2,3,,2,17,,62,76.8,,40.4,21,54.2,0.386,4.92,16,0.308,15.1,20.9,0.723,9.6,32.3,9.6,6.4,3.8,15.8,18.2
16,Army,22,12,10,0.545,0.06,0.63,,7,7,,5,5,,5,3,,71.7,69.5,,40.2,26.7,58.5,0.456,7.82,24,0.326,10.5,16.5,0.637,8.09,34.6,14.4,6.27,1.45,12.5,15.5
17,Auburn,27,13,14,0.481,10.02,9.28,,7,11,,8,5,,3,8,,77.2,76.4,,40.4,26.3,60.3,0.437,9.07,27.8,0.326,15.4,21.8,0.708,12.9,39.4,14.8,6.22,6.04,16.2,17.9
18,Austin Peay,27,14,13,0.519,-6.66,-8.22,,10,10,,8,5,,4,6,,74.3,70,,40.4,27.1,59.9,0.453,7.19,21.2,0.339,12.9,17.1,0.751,12.6,34.5,13.2,6.78,2,14.7,17.5
19,Ball State,23,10,13,0.435,-1.96,-1.22,,8,9,,7,4,,3,8,,74.7,75.5,,40.4,26.7,60.2,0.443,8.48,24.8,0.342,13,17.3,0.751,9.96,36.9,13.8,5.48,2.39,14.3,19.2
