,,Overall,,,,,,,Conf.,,,Home,,,Away,,,Points,,,Totals,,,,,,,,,,,,,,,,
Rk,School,G,W,L,W-L%,SRS,SOS,,W,L,,W,L,,W,L,,Tm.,Opp.,,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF
1,Abilene Christian,31,13,18,0.419,-13.93,-7.53,,8,10,,10,5,,2,12,,71.3,73.3,,40.3,24.9,55,0.452,6.74,18.4,0.367,14.8,21.1,0.701,8.68,32,13.6,7.52,2.52,13.5,22
2,Air Force,32,14,18,0.438,-5.51,0.66,,5,13,,12,5,,2,13,,68.4,72.8,,40.6,23.5,54.9,0.428,6.31,18.6,0.339,15.1,22.1,0.683,8.91,34.6,13.1,6.13,1.81,13.2,19.3
3,Akron,35,26,9,0.743,5.55,-1.24,,13,5,,15,0,,6,8,,76.6,68,,40.1,26,60.3,0.432,11.7,30.5,0.383,12.9,18.8,0.684,10.7,37.4,14.5,5.43,3.91,10.9,17.7
4,Alabama,33,18,15,0.545,7.14,8.62,,8,10,,10,4,,5,8,,66.5,67.9,,40.3,22.4,53,0.422,7.85,23.1,0.339,13.9,21.6,0.643,9.91,34.6,10.5,5.82,5.3,13.3,19.1
5,Alabama A&M,29,11,18,0.379,-13.47,-10.75,,6,12,,6,5,,4,12,,68.1,70.4,,40.5,23.5,56.3,0.417,6.03,20.7,0.292,15.1,22.1,0.684,11.4,34.5,12.6,5.62,2.1,11.7,19.3
6,Alabama State,31,14,17,0.452,-13.11,-9.35,,9,9,,8,3,,5,12,,71.5,74.5,,40.6,25.4,61.9,0.411,6.94,20.9,0.332,13.7,20.1,0.684,12.6,37.2,12,5.84,3.45,12,20.8
7,Albany (NY),33,24,9,0.727,0.93,-7.57,,13,3,,14,1,,10,8,,75.6,66.1,,40.5,25.7,56.1,0.458,5.7,17.8,0.32,18.5,24.7,0.751,11.7,38.7,12.4,6.55,1.58,12.5,17.6
8,Alcorn State,30,15,15,0.5,-16.01,-9.94,,13,5,,9,2,,6,9,,67.1,72.1,,40.8,23,56.4,0.408,5.8,18.9,0.307,15.3,22.5,0.678,12.8,35.7,9.07,4.47,3.7,14.3,18.3
9,American,31,12,19,0.387,-14.18,-6.08,,9,9,,5,7,,7,12,,57.6,65.7,,40.3,20.4,48,0.424,6.29,18.5,0.341,10.6,15.2,0.696,7.03,28.2,11.2,5.68,2.23,13.8,18.3
10,Appalachian State,31,9,22,0.29,-7.91,-1.1,,7,13,,6,7,,2,12,,70.5,77.4,,40,23.2,57.9,0.401,8.26,23.2,0.356,15.9,22.6,0.703,12.7,36.8,11.5,4.1,3.32,14.9,21.5
11,Arizona ,34,25,9,0.735,18.79,7.23,,12,6,,17,1,,5,5,,80.4,68.9,,40.9,27.8,57.9,0.48,6.5,17.1,0.381,18.3,25.4,0.721,11.6,40.2,14.3,4.82,4.74,13,18.3
12,Arizona State,32,15,17,0.469,8.28,8.96,,5,13,,11,6,,3,9,,73.3,74,,40.3,24.9,60,0.415,7.94,23.7,0.336,15.6,22.7,0.687,12.3,36.8,12.7,5.31,2.69,12,20.3
13,Arkansas,32,16,16,0.5,10.23,6.76,,9,9,,13,4,,3,8,,78.2,74.7,,40.8,27.6,62.3,0.443,6.75,17,0.397,16.2,23.4,0.694,11.7,37.1,16.2,7.28,5.16,11.2,21.5
14,Arkansas State,31,11,20,0.355,-7.48,-2.37,,7,13,,9,6,,2,14,,73.6,75.9,,40.6,24.8,59.8,0.415,5.81,18.4,0.316,18.1,24.7,0.734,10.8,40.1,12.3,5.06,4.39,12.8,19.8
15,Arkansas-Pine Bluff,33,8,25,0.242,-19.31,-5.52,,6,12,,3,6,,4,17,,56.6,70.4,,40.2,20.4,52.2,0.391,6.12,20.2,0.303,9.61,15.7,0.611,9.76,30.4,9.61,7.12,3.73,15.6,21.9
16,Army,33,19,14,0.576,-7.32,-8.13,,9,9,,7,8,,11,6,,76.9,75,,40.9,27.1,63.2,0.429,8.91,26.6,0.335,13.8,19.9,0.694,12.4,40.5,15.2,4.94,3.73,13.6,19
17,Auburn,31,11,20,0.355,0.15,7.54,,5,13,,8,7,,2,11,,70.7,78.1,,40.2,23.4,58.7,0.398,8.77,25.8,0.34,15.2,24.1,0.633,11.2,36.6,11.4,5.35,4.06,13.8,21.2
18,Austin Peay ,36,18,18,0.5,-6.04,-2.98,,7,9,,7,7,,7,9,,76.1,76.8,,40.6,26.3,56.9,0.461,6.19,17.9,0.346,17.4,26,0.67,11.7,36.8,13.3,6.94,2.81,13.9,17.6
19,Ball State,35,21,14,0.6,0.11,-2.98,,10,8,,13,6,,6,8,,70.8,66.8,,40.9,24.4,54.8,0.446,8.71,23.4,0.373,13.3,19.1,0.693,9.43,36.4,14.6,5.46,3.6,13.3,19
20,Baylor ,34,22,12,0.647,16.13,9.76,,10,8,,15,5,,6,5,,77.1,69.6,,40.4,27.4,58.9,0.466,6.18,16.8,0.367,16,22.1,0.725,13.7,37.3,17.7,7.91,3.97,12.7,19.4
21,Belmont,32,20,12,0.625,1.19,-2.1,,12,4,,11,1,,8,10,,82.4,78.4,,40.2,28.6,57.8,0.494,10.6,29.1,0.363,14.8,20.3,0.726,8.47,34.5,17,4.53,2.53,14.1,20
22,Bethune-Cookman,32,14,18,0.438,-14.35,-9.18,,10,6,,9,2,,5,13,,70.6,72.8,,40.5,25,60.4,0.414,7.78,24.6,0.316,12.8,18.7,0.688,12.7,37.1,11.6,6.16,5.97,13,18.8
