,,Overall,,,,,,,Conf.,,,Home,,,Away,,,Points,,,Totals,,,,,,,,,,,,,,,,
23,Binghamton,30,8,22,0.267,-14.08,-6.35,,5,11,,5,9,,3,13,,60.9,68.6,,40.2,21,53.8,0.39,5.7,20,0.285,13.3,19.5,0.682,9.1,34.1,11.1,5.37,2.27,14,18.6
24,Boise State,32,20,12,0.625,7.23,3.13,,11,7,,14,2,,5,7,,77.5,70.2,,40.3,26.3,58.1,0.453,8.16,24.6,0.331,16.7,23.6,0.709,9.84,34.7,13.4,6.53,2,11.6,19.4
25,Boston College,32,7,25,0.219,-1.61,7.67,,0,18,,6,11,,0,10,,61.2,70.5,,40.2,22.4,54.7,0.409,7.22,22.3,0.324,9.19,14.1,0.65,7.59,31,12.8,5.66,2.91,13.5,18.1
26,Boston University,34,19,15,0.559,-6.79,-6.37,,11,7,,9,6,,10,9,,73,72.5,,40.4,25.3,55.7,0.454,8,22,0.364,14.5,20.2,0.717,9.15,35.8,13.4,6,3.79,13.8,18.9
27,Bowling Green State,34,16,18,0.471,-5.88,-1.85,,5,13,,7,8,,7,8,,70.6,72.3,,40,25,56.3,0.444,5.97,16.6,0.361,14.7,22.4,0.656,10.1,36.4,11.7,6.15,3.32,12.6,19.3
28,Bradley,32,5,27,0.156,-10.91,3.7,,3,15,,4,11,,1,12,,56,69.9,,40.3,18.9,49.9,0.38,5.16,18.4,0.28,13,19.6,0.662,8.63,33.8,9.13,4.44,2.72,17.1,23.3
29,Brigham Young,37,26,11,0.703,12.36,2.36,,13,5,,17,2,,6,6,,83.6,72.8,,40.1,29.6,64,0.463,8.92,23.3,0.382,15.4,22.4,0.69,11.9,40.9,16.5,6.92,4.35,11.7,18.6
30,Brown,28,8,20,0.286,-8.05,-2.82,,3,11,,7,6,,1,13,,72.9,77,,40.7,24.9,58,0.429,8.04,22.8,0.352,15,21.4,0.702,9.71,36.4,14.8,5.36,4.07,13.4,19.4
31,Bryant,31,8,23,0.258,-18.58,-6.71,,5,13,,4,10,,4,13,,65.1,76.2,,40.3,24.4,58,0.42,6.39,19.8,0.322,10,15.5,0.643,9.68,33.8,13.4,5.68,2.68,13.5,19.1
32,Bucknell,31,17,14,0.548,-2.09,-5.89,,14,4,,8,7,,9,7,,79,73.8,,40.8,26.8,57.7,0.465,7.52,20.6,0.365,17.8,25,0.714,10.2,36.7,15.8,6.58,3.23,13.6,21.2
33,Buffalo ,35,20,15,0.571,1.34,0.9,,10,8,,10,5,,5,9,,77.4,75.3,,40.3,26.1,59.9,0.437,7.51,22.2,0.339,17.6,24.8,0.71,12.1,38.9,12.6,6.86,3.54,13.6,21.4
34,Butler ,33,22,11,0.667,16.46,7.55,,10,8,,13,3,,5,5,,79.9,71,,40.2,27.8,59.7,0.466,7.15,18.2,0.393,17.2,23.5,0.731,11.1,36,14.2,6.88,3.24,10.2,19.6
35,Cal Poly,30,10,20,0.333,-3.49,0.9,,4,12,,5,7,,3,12,,72.4,75.2,,40.7,25.2,60.4,0.417,7.93,22.7,0.349,14.1,20.9,0.676,11.7,36.5,14.2,5.43,3.2,10.3,20.1
36,Cal State Bakersfield ,33,24,9,0.727,2.58,-5.15,,11,3,,14,1,,7,7,,72.9,63.8,,40.3,26.5,58.8,0.451,5.42,15.9,0.342,14.4,22,0.656,12.5,38.3,15.6,7.97,5,12.3,21.4
37,Cal State Fullerton,30,10,20,0.333,-7.12,-0.76,,3,13,,5,8,,5,9,,70.1,74.2,,40.2,23.3,56.8,0.41,6.43,19.4,0.332,17.2,24.8,0.693,11.2,37.2,10.1,4.9,1.6,13.1,20.3
38,Cal State Northridge,30,10,20,0.333,-6.85,-0.85,,5,11,,5,7,,4,12,,71.4,75.4,,40.8,24.8,57.4,0.432,4.2,14.2,0.296,17.6,24.5,0.717,10.1,36.2,14.1,6.77,3.2,14,20.1
39,California ,34,23,11,0.676,15.39,7.87,,12,6,,18,0,,4,7,,74.9,67.3,,40.4,26.2,56.8,0.461,6.94,19.1,0.363,15.6,23.7,0.656,11.4,39.7,12.6,4.09,4.68,12.3,20.8
40,Campbell,30,12,18,0.4,-11.07,-6.67,,5,13,,7,9,,5,8,,73.6,73.4,,40.2,24.8,55.7,0.445,7.47,22.5,0.332,16.5,23,0.717,8.07,32.2,11.5,7.13,2.4,11.8,19.4
41,Canisius,33,14,19,0.424,-5.62,-3.77,,8,12,,7,7,,4,11,,76.5,78.4,,41.1,25.6,61,0.42,8.64,25.3,0.341,16.7,22.5,0.741,11.9,33.8,14.1,6.03,2.67,11.2,19.4
42,Central Arkansas,28,7,21,0.25,-15.17,-6.81,,6,12,,4,6,,2,14,,75.4,83.7,,40,26.2,59.1,0.443,6.61,17.8,0.372,16.3,24.8,0.659,11.8,37.3,13.2,5.43,3.71,14.5,20.5
43,Central Connecticut State,29,4,25,0.138,-22.35,-9.24,,3,15,,3,11,,1,14,,65.1,78.2,,40.5,23.5,58.8,0.4,5.66,16.6,0.342,12.4,18.3,0.679,11.6,36.1,11.8,4.38,3.69,13.9,17.4
44,Central Michigan,33,17,16,0.515,-0.67,-1.3,,10,8,,13,4,,4,8,,75.6,72.8,,40.2,26.3,59.5,0.441,9.82,27.8,0.353,13.2,18.4,0.719,9.85,34.9,13.4,4.7,2.73,9.18,18.4
45,Charleston Southern,30,9,21,0.3,-10.92,-2.59,,5,13,,6,8,,3,12,,71.5,75.1,,40.3,25.8,60.3,0.428,9.33,27,0.346,10.6,17.1,0.621,10.3,35.1,12.6,5.1,2.1,12.6,19.2
46,Charlotte,33,14,19,0.424,-3.14,-1.72,,9,9,,8,7,,5,8,,78.3,79.7,,40.6,27.9,62.6,0.445,8.06,21.1,0.382,14.5,20.8,0.698,11.3,36.2,14.6,6.18,2.21,12,17.8
47,Chattanooga ,35,29,6,0.829,3.24,-3.46,,15,3,,13,1,,10,4,,75.8,67.5,,40.3,25.6,56.1,0.457,7.49,20.8,0.359,17,23.2,0.735,10.9,35.5,14.4,7.77,4.71,12.5,17
48,Chicago State,32,4,28,0.125,-17.52,-1.38,,0,14,,4,9,,0,15,,66.9,77.4,,40,23.9,62.3,0.383,7.13,23.4,0.304,12,17.9,0.67,12.9,36.6,11.7,7.69,3.06,14.3,21.8
49,Cincinnati ,33,22,11,0.667,15.19,5.25,,12,6,,14,3,,6,6,,73.3,63.3,,41.1,25.8,60,0.43,7.64,22,0.348,14.1,19.9,0.705,13.4,39.1,15.4,7.79,5.82,11,15.5
50,Clemson,31,17,14,0.548,12.03,6.87,,10,8,,13,4,,3,8,,69.6,64.5,,40.3,24.3,55.6,0.437,7.68,21.9,0.351,13.4,18.5,0.723,10.3,34.7,13.3,5.77,5.23,10.2,16.5
51,Cleveland State,32,9,23,0.281,-9.17,0.09,,4,14,,5,9,,3,10,,60.8,67.8,,40.2,22,54.6,0.403,5.44,16.8,0.324,11.4,16.8,0.678,10.6,33.2,10.2,6.13,2.72,14.3,20.9
52,Coastal Carolina,33,21,12,0.636,-1.85,-4.22,,12,6,,14,4,,7,5,,73,66.5,,40.2,25.9,57.8,0.447,7.39,21.7,0.341,13.9,20.9,0.665,11.4,39.4,12,5.91,3.42,12.3,17.2
53,Colgate,30,13,17,0.433,-8.61,-6.06,,9,9,,8,4,,5,13,,69.8,71.5,,40.7,24.9,55.8,0.447,8.9,23.9,0.372,11.1,16.3,0.68,9.33,31.7,13.3,6.13,2.4,12.2,19.4
54,College of Charleston,31,17,14,0.548,2.37,0.04,,8,10,,10,5,,6,8,,65.4,62,,40.3,23.3,55.4,0.42,6.65,19.2,0.346,12.2,18.3,0.667,10.8,35.2,11.6,7.16,2.42,12.7,20
55,Colorado ,34,22,12,0.647,12.04,7.64,,10,8,,16,1,,4,7,,75.8,70.8,,40.3,25.4,59.7,0.426,7.41,19,0.389,17.5,23.8,0.735,13.1,42.2,13.6,5.21,4.91,13.4,18.8
56,Colorado State,34,18,16,0.529,2.31,1.53,,8,10,,12,5,,3,8,,79.4,77.2,,41.2,25.8,60.8,0.425,9.59,26.4,0.364,18.2,25.3,0.718,13,40,13.4,3.85,2.26,11.6,19.3
57,Columbia,35,25,10,0.714,3.45,-2.55,,10,4,,18,4,,7,6,,76.3,68.5,,40.4,25.7,56.7,0.453,9.6,25.5,0.376,15.3,21.3,0.719,10.5,35.4,14.8,6.29,3.46,10.8,18.5
58,Connecticut ,36,25,11,0.694,15.89,6.28,,11,7,,14,3,,6,4,,73.1,63.5,,40.6,26.2,57.7,0.454,7.08,19.4,0.365,13.6,17.1,0.793,9.39,36.1,13.6,5.83,5.06,10.7,18.3
59,Coppin State,31,9,22,0.29,-15.75,-6.06,,6,10,,5,7,,3,14,,72.3,80.5,,41.3,23.9,62.4,0.383,7.68,23.1,0.333,16.8,23.8,0.706,13.1,36.9,11.2,5.61,2.94,13.2,21.5
60,Cornell,28,10,18,0.357,-9.55,-1.04,,3,11,,5,8,,5,10,,71.1,78.3,,40.4,25.1,59.8,0.42,8.32,24.4,0.342,12.6,19.4,0.651,8.71,32.5,10.8,7.75,3.82,13.3,20.1
61,Creighton,35,20,15,0.571,13.69,6.44,,9,9,,14,5,,4,9,,79.6,72.4,,40,28,59.5,0.47,8.09,23,0.352,15.6,22.3,0.7,9.54,37.1,15.3,6.03,3.09,11.6,18.9
62,Dartmouth,28,10,18,0.357,-5.58,-3.29,,4,10,,8,6,,2,12,,71.1,71,,40.4,25,57.4,0.436,5.57,16.4,0.341,15.6,21.5,0.723,12,35.9,13.1,6.86,1.71,14.3,20.3
63,Davidson,33,20,13,0.606,5.74,5.14,,10,8,,15,1,,3,10,,79,78.1,,40.2,27.1,61.3,0.442,9.61,27,0.355,15.2,20,0.761,9.45,35,15.1,4.67,3.09,10.2,17.2
64,Dayton ,33,25,8,0.758,11.34,4.76,,14,4,,14,3,,8,2,,72.5,65.9,,40.5,25.3,55.6,0.455,6.7,19.5,0.344,15.2,22.7,0.668,9.91,38.3,14.5,5.94,4.39,12.9,19
65,Delaware,30,7,23,0.233,-8.62,0.85,,2,16,,5,7,,2,15,,66.2,75.7,,40.2,22.3,55.4,0.402,5.6,17.2,0.325,16,23.4,0.685,11,37.7,10.6,3.6,2.9,12,17.8
66,Delaware State,32,7,25,0.219,-20.88,-6.85,,5,11,,6,7,,1,17,,61.9,73,,40.3,22.2,56.7,0.391,7.19,21.8,0.33,10.3,16.8,0.616,10.6,33.3,11.5,5.41,2.91,13.9,19.8
67,Denver,31,16,15,0.516,-3.34,-3.24,,7,9,,8,7,,6,6,,65.2,65.3,,40,22.2,46.7,0.476,7.58,19.8,0.383,13.2,17.1,0.77,5.42,25.2,14.3,6.39,2.29,13,19.1
68,DePaul,31,9,22,0.29,0.83,8.34,,3,15,,5,9,,3,10,,67.5,75,,40.2,24.3,54.5,0.445,5.42,15.8,0.343,13.5,19.9,0.68,10.2,34.2,11.8,4.84,3.06,14.8,22.2
69,Detroit Mercy,31,16,15,0.516,-2.44,-0.82,,9,9,,11,4,,4,10,,83.7,82.8,,40.2,29,62.2,0.466,7.87,21,0.375,17.9,25.6,0.698,12,37.7,13.2,6.87,4.29,13.6,22.8
70,Drake,31,7,24,0.226,-5.15,0.92,,2,16,,5,9,,0,12,,67.5,71.9,,40.5,23.7,52.9,0.449,6.94,18,0.385,13.1,18.1,0.722,8.16,33.6,12.2,3.74,2.1,13.6,18
71,Drexel,31,6,25,0.194,-5.42,1.88,,3,15,,3,9,,2,12,,63.2,70.4,,40.2,21.8,55.5,0.393,5.48,16.7,0.329,14,20.5,0.685,10.5,33,12.4,4.55,3.48,11.1,21.8
72,Duke ,36,25,11,0.694,19.23,10.59,,11,7,,15,3,,5,4,,81.1,72.5,,40.3,27.3,59.3,0.46,9.11,23.6,0.385,17.4,24.1,0.723,11.8,36,13.3,6.28,4.28,9.83,16.8
73,Duquesne,34,17,17,0.5,1.41,1.35,,6,12,,10,6,,4,8,,79.5,78.7,,40.3,27.9,60.5,0.462,9.47,26,0.365,14.2,20.5,0.691,10.2,39.2,15.6,4.68,3.76,13.9,20.3
74,East Carolina,32,12,20,0.375,-0.38,3.22,,4,14,,8,8,,3,10,,68.3,71.9,,40.8,23.8,55.9,0.425,7.25,21.3,0.34,13.5,19.4,0.697,10,34.2,15.2,5.72,2,13.3,16.8
75,East Tennessee State,36,24,12,0.667,-1.49,-2.29,,14,4,,13,2,,8,8,,78.1,74.6,,40.4,27.3,59.3,0.461,8.19,21.6,0.379,15.3,21.5,0.711,10.4,36.1,12.4,6.67,3.78,12.8,20.1
76,Eastern Illinois,30,13,17,0.433,-8.35,-3.52,,9,7,,9,5,,4,9,,71.5,73.8,,40.7,25.5,57.9,0.44,7.73,22.1,0.349,12.8,19.6,0.656,9.97,33.4,13.9,5.9,2.27,12.1,19.4
77,Eastern Kentucky,31,15,16,0.484,-3.53,-3.86,,6,10,,10,6,,5,10,,80.5,79.1,,40,27.9,56.8,0.491,8.32,21.1,0.395,16.5,22.6,0.73,8.84,32.4,16,7.03,3.06,14.7,21.5
78,Eastern Michigan,33,18,15,0.545,-0.14,1.24,,9,9,,14,3,,4,11,,77.4,74.5,,40.3,26.5,59.4,0.446,5.67,18.2,0.311,18.7,25.9,0.721,11.7,36.2,11.5,9.45,3.7,12.9,20.4
79,Eastern Washington,34,18,16,0.529,-4.47,-6.03,,10,8,,11,2,,5,12,,81.4,77,,40,28.3,58.5,0.483,10.5,27.2,0.385,14.4,21.1,0.683,9.38,33.3,13.2,5.94,3.79,11.2,19.4
80,Elon,32,16,16,0.5,-0.67,0.66,,7,11,,8,8,,8,7,,75.9,75.4,,40.2,27,60.7,0.445,9.47,27.7,0.342,12.4,18.7,0.661,10.5,37,15.3,5.5,2.25,12.8,19
81,Evansville,34,25,9,0.735,8.1,-0.39,,12,6,,13,3,,8,4,,74.3,65.3,,40.3,25.9,52.8,0.49,4.65,13.2,0.353,17.9,24.8,0.724,7.65,35.4,17.5,5.24,4.32,12.5,17.7
82,Fairfield,33,19,14,0.576,-3.84,-3.14,,12,8,,11,5,,7,7,,76.4,77.1,,40.8,26.5,60.3,0.439,8.88,25.1,0.354,14.5,19.7,0.737,9.03,34.7,15.2,6.45,4.09,12.9,19.2
83,FDU ,33,18,15,0.545,-10.9,-8.31,,11,7,,9,6,,9,8,,77.5,78.8,,40.5,28.2,61.5,0.458,7.21,19.9,0.362,14,20.1,0.697,10.5,33.6,14.3,7.58,2.64,12.8,21.8
84,Florida,36,21,15,0.583,14.69,9.19,,9,9,,12,4,,6,9,,74.4,68.9,,40.1,25.8,60.7,0.425,7.17,22.5,0.319,15.5,24,0.648,13.1,39.9,13.3,6.53,4.22,11.3,19.4
85,Florida A&M,29,8,21,0.276,-21.74,-10.67,,4,12,,6,6,,1,14,,64.2,73.4,,41,22.2,55.4,0.401,5.79,19.1,0.303,14,23.8,0.589,10.1,34.8,11,6.62,2.24,16.1,19.5
86,Florida Atlantic,33,8,25,0.242,-10.3,-1.72,,5,13,,5,7,,2,14,,66.3,74.1,,40.2,22.8,56,0.407,6.94,20.5,0.338,13.8,18.9,0.731,8.55,32.5,11.7,5.3,4.24,12.2,19.1
87,Florida Gulf Coast ,35,21,14,0.6,-0.79,-3.82,,8,6,,16,4,,4,8,,77.2,70.7,,41,28.8,60.2,0.479,5.31,15.1,0.353,14.3,22.2,0.644,11.9,40.6,13.8,6.57,4.03,12.5,19.3
88,Florida International,32,13,19,0.406,-5.25,-4.81,,7,11,,7,9,,5,8,,71.2,70.1,,40.6,26.1,55.6,0.469,5.66,15.6,0.363,13.4,20.2,0.664,10.3,37.4,12.2,5.06,4.63,12.9,18.7
89,Florida State,34,20,14,0.588,12.16,8.16,,8,10,,11,4,,4,8,,78,74,,40.1,27.9,60.1,0.464,6.47,19,0.341,15.8,22.7,0.695,11.4,37,13.3,7.15,4.09,13,19.3
90,Fordham,31,17,14,0.548,1.87,-0.09,,8,10,,14,5,,3,7,,71.2,68.6,,40.5,25.2,56.3,0.448,7.84,22.6,0.346,12.9,18.9,0.681,10.3,34.2,15.7,8.48,3.9,14.1,19.7
91,Fresno State ,35,25,10,0.714,5.27,2.24,,13,5,,16,2,,6,7,,75.1,70.7,,40.6,26.5,60.7,0.436,6.26,18.2,0.343,16,23,0.694,11.7,36.9,13.3,8.43,3.94,10.8,21.8
92,Furman,35,19,16,0.543,-2.83,-4.2,,11,7,,14,2,,3,12,,71.1,66.7,,40,24.2,53.3,0.454,7.23,22.4,0.322,15.4,22.2,0.695,11.1,35.7,12.1,6.2,3.29,13.5,17.8
93,Gardner-Webb,33,17,16,0.515,-6.92,-3.96,,10,8,,9,4,,5,11,,75,74.3,,40.5,26.4,61.8,0.427,8.36,24.5,0.342,13.9,21.2,0.653,13.2,38.1,13.4,8.03,3.42,13.3,20.2
94,George Mason,32,11,21,0.344,-1.79,3.62,,5,13,,7,8,,2,11,,66.9,72.3,,40.3,23.9,59,0.406,5.38,18.4,0.292,13.6,20.3,0.671,13.1,42.5,10.3,2.88,3.72,12.7,17.8
95,George Washington,38,28,10,0.737,11.43,4.24,,11,7,,16,3,,8,5,,75.7,68.5,,40.3,25.8,57.7,0.447,7.08,19.1,0.371,17,22.6,0.753,11.9,37.9,14.1,6.05,3.29,11.2,16.3
96,Georgetown,33,15,18,0.455,10.31,8.49,,7,11,,9,8,,4,8,,73.6,71.8,,40.5,24.8,56.3,0.441,7.91,23.3,0.339,16,21.3,0.751,9.58,35.8,14.9,5.45,4.42,13.4,22.9
97,Georgia,34,20,14,0.588,9.41,8.47,,10,8,,15,4,,3,9,,70.6,69.7,,40.3,23.5,55.6,0.422,6.47,17.6,0.368,17.1,24.2,0.708,11.6,38.8,12.5,4.82,5.12,13.2,20.7
98,Georgia Southern,31,14,17,0.452,-5.65,-3.14,,10,10,,10,4,,4,12,,75.9,74.4,,40.3,25.2,61.4,0.41,9.1,26.9,0.338,16.4,23.5,0.699,12.1,36.5,11.1,7.48,2.35,11.6,22.3
99,Georgia State,30,16,14,0.533,-2.8,-2.19,,9,11,,12,3,,4,10,,65.7,65,,40.7,23.5,53.2,0.441,4.97,14.5,0.342,13.7,19.9,0.689,8.1,30.8,11.7,6.67,3.03,11.7,19.3
100,Georgia Tech,36,21,15,0.583,12.51,9.95,,8,10,,14,5,,5,8,,73.3,70.7,,40.1,26.8,59.7,0.449,5.92,16.6,0.357,13.7,18.9,0.722,13,38.8,13.5,4.39,4.19,11.2,17.9
101,Gonzaga ,36,28,8,0.778,16.92,4.23,,15,3,,11,4,,9,2,,78.9,65.6,,40.1,28.1,57.8,0.486,7.81,20.5,0.381,14.9,19.7,0.758,10.6,39.6,13.9,5.11,3.08,11.6,17.3
102,Grambling,31,7,24,0.226,-19.62,-8.48,,4,14,,5,7,,2,15,,62.1,68.1,,40.3,21.2,51.8,0.41,4.9,17.9,0.273,14.7,22.8,0.646,9.13,32.7,9.61,6.77,1.68,14.3,19.8
103,Grand Canyon,34,27,7,0.794,1.43,-5.6,,11,3,,18,2,,7,5,,75.9,68.1,,40.1,26.4,58.2,0.453,6.18,17.1,0.36,17,24.6,0.693,11.7,38.3,14.8,6.18,2.65,12,18.4
104,Green Bay ,36,23,13,0.639,1.16,-0.67,,11,7,,11,3,,8,9,,83.7,80,,40.4,29.1,65.3,0.446,7.08,20.3,0.349,18.4,28,0.657,12.7,38.5,13.9,9.94,4.61,12.3,20.1
105,Hampton ,32,21,11,0.656,-8.74,-8.45,,13,3,,9,2,,8,7,,73.8,74.1,,40.8,25.3,61.5,0.412,6.44,21.2,0.304,16.8,25.5,0.659,14,41.3,11.9,5.28,3.66,13.8,20.3
106,Hartford,33,10,23,0.303,-14.29,-5.69,,4,12,,4,12,,6,11,,70.8,78.4,,40.8,23.5,57.8,0.408,9.67,27.3,0.354,14,18.8,0.748,6.97,30.1,12.4,6.7,1.91,11.7,21.3
107,Harvard,30,14,16,0.467,-0.96,-0.25,,6,8,,8,5,,4,10,,66.7,66.2,,40.2,24.5,54.9,0.445,7.33,19,0.387,10.4,17.5,0.595,10.6,37.3,15.1,5,5,14.5,17.9
108,Hawaii ,34,28,6,0.824,9.03,-1.04,,13,3,,16,3,,7,2,,77.1,66.7,,40.1,26.3,57.2,0.459,6.97,21.7,0.322,17.6,25.7,0.684,10.6,37.4,15.4,7.56,3.65,13,20.4
109,High Point,32,21,11,0.656,-0.52,-4.24,,13,5,,12,3,,8,7,,77.3,70.6,,40.3,27.6,57.9,0.477,5.84,15.2,0.384,16.2,21.3,0.762,10.5,33.6,15.4,8,2.94,10.7,17.5
110,Hofstra,34,24,10,0.706,5.02,0.77,,14,4,,11,2,,9,5,,78.9,73.8,,40.9,26.9,60.3,0.446,8.5,23.9,0.356,16.6,24.1,0.689,11.8,39,15,6.32,3.18,11.9,15.9
111,Holy Cross ,35,15,20,0.429,-11.2,-6.11,,5,13,,8,6,,5,13,,64.8,69.9,,40.7,22.1,53.7,0.412,7.17,22,0.326,13.3,19.4,0.687,7.97,30.1,13.7,6.26,2.46,11,16.7
112,Houston,32,22,10,0.688,10.3,2.17,,12,6,,15,3,,6,5,,77.4,69.3,,40.8,28,60.2,0.466,6.72,19.3,0.348,14.6,20.7,0.705,12.8,37.6,12.9,5.97,3.81,10.4,19
113,Houston Christian,34,17,17,0.5,-10.39,-5.26,,10,8,,12,3,,4,11,,76.6,75.9,,40,26.4,56,0.472,6,16.5,0.364,17.7,24.7,0.718,10.3,36.7,13.9,5.35,3.94,14.8,18.9
114,Howard,32,12,20,0.375,-14.43,-8.33,,6,10,,8,7,,2,12,,72.2,76,,40.6,23.4,57.7,0.406,4.5,15.2,0.296,20.8,28.6,0.73,12.6,38.1,8.59,6.16,3.19,14.9,19.8
115,Idaho,34,21,13,0.618,-5.19,-5.88,,12,6,,11,4,,8,7,,69.8,66.2,,40.1,23.5,53.3,0.442,6.56,17.4,0.377,16.1,22.8,0.709,11.4,37,12.6,5.24,2.59,14.9,21.6
116,Idaho State,31,16,15,0.516,-9.83,-6.69,,11,7,,10,3,,5,10,,74.1,76,,40,24.8,57,0.435,8.06,22.2,0.364,16.4,22.6,0.727,9.16,34.8,12.3,7.29,2.9,13.2,18.9
