,,Overall,,,,,,,Conf.,,,Home,,,Away,,,Points,,,Totals,,,,,,,,,,,,,,,,
Rk,School,G,W,L,W-L%,SRS,SOS,,W,L,,W,L,,W,L,,Tm.,Opp.,,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF
222,Ohio State ,32,20,12,0.625,14.17,9.08,,12,8,,13,3,,5,6,,72.8,67.7,,40.3,25.6,54.4,0.471,7.84,21.5,0.365,13.8,18.2,0.757,9,34.6,12.5,4.5,4.75,11.2,16.4
223,Oklahoma,35,19,16,0.543,14.12,10.1,,7,11,,12,6,,3,8,,69.1,65,,40.6,25.3,53.1,0.476,7.6,21.9,0.347,10.9,14.6,0.747,7.66,31.8,14,7.37,1.89,14.7,15.5
224,Oklahoma State,30,15,15,0.5,13.28,10.58,,8,10,,10,6,,3,8,,68.4,65.7,,41,25.1,57.9,0.434,5.37,18.2,0.295,12.7,19.1,0.667,11.6,37.1,12.7,8.53,5.43,15.1,17.4
225,Old Dominion,32,13,19,0.406,-1.32,-0.09,,8,10,,10,4,,3,11,,66.5,67,,40.2,24.6,56.6,0.434,4.41,15,0.294,12.9,19.3,0.672,11.4,37.3,12.3,6.41,3.28,11.9,15.9
226,Omaha,30,5,25,0.167,-16.99,-2.27,,4,14,,5,9,,0,15,,69.6,83.5,,40,25.2,58.4,0.431,7.07,19.9,0.355,12.2,16.7,0.731,8.73,32.8,10.9,4.8,2.57,13.7,19.2
227,Oral Roberts,31,19,12,0.613,-0.84,-4.49,,12,6,,10,5,,8,6,,83.3,74.4,,40.3,30.2,66.2,0.457,11.6,30.6,0.38,11.2,15.4,0.73,10.7,40.2,11.7,5.52,4.19,9.9,15.4
228,Oregon,35,20,15,0.571,10.05,8.05,,11,9,,12,5,,6,6,,72.3,69.7,,40.3,26.7,59.3,0.451,7.11,21.4,0.333,11.7,17.3,0.679,10.5,35.1,12.2,6.8,3.49,11.7,16.6
229,Oregon State,31,3,28,0.097,-1.44,8.4,,1,19,,3,13,,0,12,,68.3,78.1,,40.6,25.6,57.9,0.443,5.68,17.8,0.319,11.3,16,0.709,9.03,30.8,12.1,5.97,3.03,12.5,17.5
230,Pacific,30,8,22,0.267,-8.02,0.41,,3,11,,7,7,,0,13,,65.9,72.7,,40.2,23.7,57,0.415,6.07,19.1,0.318,12.5,18.2,0.686,8.07,32.8,11.4,6.4,2.57,12.3,16.5
231,Penn State,31,14,17,0.452,8.72,9.1,,7,13,,10,5,,1,10,,64.6,65,,40.5,23.9,55.2,0.432,8.03,23.5,0.342,8.84,12,0.735,9.26,35.3,11.9,5.29,2.16,11.8,15.4
232,Pennsylvania,28,12,16,0.429,-3.93,-0.5,,9,5,,6,3,,5,10,,72,75.5,,40.4,26.7,59.9,0.446,8.07,24.1,0.335,10.5,14.5,0.728,8.82,34.5,12.6,5.5,2.25,11.8,17.3
233,Pepperdine,32,7,25,0.219,-7.04,3.42,,1,15,,7,9,,0,13,,68.2,77.5,,40.3,25.3,60.5,0.418,7.25,21.3,0.34,10.3,14.4,0.718,9.88,34.5,14.8,5.66,2.34,14.7,17.9
234,Pittsburgh,32,11,21,0.344,0.45,6.98,,6,14,,8,11,,3,9,,61.5,68.1,,40,21.1,50.9,0.414,5.38,17.1,0.314,14,20.1,0.696,9.91,33.8,11,5.38,3.84,13.6,15.3
235,Portland,34,19,15,0.559,-1.71,-1.11,,7,7,,11,4,,6,9,,74.2,72.2,,40.1,25.2,57.7,0.437,7.76,22.2,0.35,16,20.2,0.791,8.24,36.2,14.3,5.06,2.53,13.2,16.4
236,Portland State,31,14,17,0.452,-7.7,-5.67,,10,10,,7,7,,5,9,,73.5,72.2,,40.3,26.5,61.5,0.43,6.16,20.6,0.298,14.5,19.5,0.742,10.3,33.9,11.4,9.32,3.29,12.4,19.8
237,Prairie View,27,8,19,0.296,-10.47,-3.66,,8,8,,5,4,,3,13,,69.5,76.3,,40.6,24,56.1,0.428,6.33,18.3,0.345,15.2,21.6,0.703,11,35,11.4,8.48,3.07,17.4,21.2
238,Presbyterian,32,12,20,0.375,-8.47,-3.65,,4,12,,7,7,,3,12,,67.8,67.9,,41.4,24.8,58.8,0.422,5.72,21.2,0.27,12.5,18.5,0.674,12.2,35.6,12.6,7.91,2.72,13.6,19.1
239,Princeton,30,23,7,0.767,2.65,-3.95,,12,2,,13,1,,8,4,,79.8,70.1,,40.5,30.3,62.2,0.488,10.9,28.2,0.387,8.27,12.9,0.639,8.93,35.5,15.5,6.2,1.8,10.2,14
240,Providence ,33,27,6,0.818,13.08,7.75,,14,3,,16,1,,7,2,,71.5,66.2,,40.8,24.5,56.3,0.435,7.36,21.4,0.344,15.2,20.8,0.728,10.5,37.6,13.2,5.03,3.67,11.4,16
241,Purdue ,37,29,8,0.784,19.15,8.23,,14,6,,16,1,,5,5,,79.4,68.4,,40.4,27.7,56.6,0.49,8.51,22.2,0.384,15.4,21.6,0.711,11.1,38.7,16.2,4.65,3.46,11.8,14.5
242,Purdue Fort Wayne,33,21,12,0.636,-5.59,-6.69,,15,6,,14,2,,6,7,,73.5,69.6,,40.6,26.2,57.2,0.458,9.42,25.4,0.371,11.7,15.6,0.748,7.52,30.9,14.1,8.76,2.48,13.4,15.2
243,Quinnipiac,31,14,17,0.452,-5.56,-4.2,,7,13,,8,7,,4,9,,71.8,71.5,,40.2,25.5,59,0.431,8.9,25.8,0.345,12,15.7,0.765,9.87,35.4,14.4,6.35,2.13,13,16.7
244,Radford,29,11,18,0.379,-9.23,-3.9,,7,9,,8,4,,3,12,,63.2,67.4,,40.5,23,55.4,0.414,6.93,22.6,0.307,10.3,15.4,0.669,10.1,33.3,10.9,6.62,1.52,13.8,17.9
245,Rhode Island,31,15,16,0.484,2.92,1.22,,5,12,,10,5,,3,9,,67.1,65,,40,24.8,54.4,0.456,5.35,15.9,0.337,12.2,19.6,0.62,9.65,36.3,13.5,7.39,6,14.3,17.2
246,Rice,33,16,17,0.485,-2.74,-1.19,,7,11,,10,5,,4,8,,74.1,73.4,,40.6,26.3,57.3,0.459,9,24.3,0.37,12.5,17.5,0.715,8.85,35.6,15.5,5.12,1.82,12.5,13.9
247,Richmond ,37,24,13,0.649,7.07,4.48,,10,8,,11,4,,7,5,,71,68.4,,40.3,25.2,57.1,0.442,7.84,23.8,0.329,12.7,17.7,0.718,7.57,32.3,14.5,7.59,2.35,9.76,13.9
248,Rider,33,14,19,0.424,-5.87,-3.56,,8,12,,7,6,,4,11,,67.8,69.3,,40.5,25,60.5,0.414,5.58,17.3,0.322,12.2,16.5,0.736,10.9,37.1,12.7,6.85,2.45,11.8,17.1
249,Robert Morris,32,8,24,0.25,-12.5,-5.47,,5,16,,4,10,,4,14,,69.4,74.7,,40.3,25.7,55.5,0.463,6,17.7,0.339,11.9,15.7,0.759,8.94,32.6,12.7,6,3.81,14.3,15.5
250,Rutgers ,32,18,14,0.563,8.78,6.81,,12,8,,14,3,,4,9,,68.5,66.5,,40.6,25.8,58,0.445,6.22,18.3,0.339,10.7,15.2,0.7,10.2,35.7,15.2,7.03,4,11.5,15.8
251,Sacramento State,29,11,18,0.379,-12.06,-5.36,,6,14,,5,8,,4,9,,65.4,70.2,,40.2,24,55.7,0.431,6.76,18.8,0.359,10.7,15.8,0.678,7.76,31.1,11,5.97,2.83,11.1,17.2
252,Sacred Heart,30,10,20,0.333,-13.41,-8.79,,6,10,,6,7,,4,13,,72.7,75.1,,40.3,26.9,60.4,0.445,8.07,23.5,0.343,10.8,14.9,0.725,11.2,36.2,14.5,5.47,2.2,13.9,15.6
253,Saint Francis (PA),30,9,21,0.3,-14.57,-7.91,,5,13,,4,8,,5,13,,68.6,73.5,,40.5,25.5,60.3,0.423,5.9,18.7,0.315,11.8,18.2,0.648,11.9,36.6,13,6.57,2.77,12.6,14.7
254,Saint Joseph's,30,11,19,0.367,1,2.46,,5,13,,9,7,,1,10,,67.6,69.1,,40.3,24.9,59.1,0.421,8.93,26.6,0.336,8.87,13.6,0.654,9.73,37.6,13.5,4.93,2.47,13.5,16.1
255,Saint Louis,35,23,12,0.657,9.83,3.45,,12,6,,14,5,,5,6,,76.2,67.9,,40.4,27.4,59.7,0.458,6.74,18.3,0.369,14.7,19.3,0.763,11.9,38.6,14.8,6.43,3.11,12.9,17.9
256,Saint Mary's (CA) ,34,26,8,0.765,14.82,6.58,,12,3,,16,0,,6,4,,69.7,60.6,,40,26.1,56.3,0.464,7.24,20.5,0.353,10.2,13.5,0.758,8.62,33.7,13.5,6.91,2.53,11.2,15.6
257,Saint Peter's ,34,22,12,0.647,2.96,-0.47,,14,6,,9,4,,7,7,,67,62.5,,40.3,23.4,54.9,0.427,5.82,16.6,0.35,14.3,20.4,0.701,10.8,35.8,12.3,7.06,5,13.4,19.7
258,Sam Houston,33,19,14,0.576,0.07,-1.16,,13,5,,11,2,,5,8,,68.8,63.1,,40.2,25.6,60.1,0.426,8.7,25.4,0.343,8.88,14.7,0.605,10.5,37.4,14.1,7.61,2.45,12.6,18
259,Samford,32,21,11,0.656,-3.01,-1.76,,10,8,,13,2,,5,8,,74.7,73.8,,40.3,26.8,60,0.446,8.78,26.1,0.336,12.4,17,0.73,10.6,35.6,12.8,7.44,2.94,13.8,17.6
260,San Diego,31,15,16,0.484,-3.32,1.48,,7,9,,8,6,,5,8,,65.8,67.3,,40.3,24.8,58,0.428,5.48,16.4,0.335,10.7,14.9,0.715,9.58,35.9,9.94,5.06,3.68,12.5,15.9
261,San Diego State ,32,23,9,0.719,13.13,5.85,,13,4,,14,1,,5,5,,65.4,58.1,,40.5,23.8,55,0.432,6,16.9,0.354,11.8,17.1,0.692,9.84,35,11.9,7.47,4.75,12.8,17.5
262,San Francisco ,34,24,10,0.706,14.12,5.24,,10,6,,14,4,,7,2,,77.4,67.8,,40.1,27.8,60.7,0.457,9.62,27.5,0.35,12.2,17.6,0.694,10.6,37.9,13,7.68,4.65,12.8,18.1
263,San Jose State,31,8,23,0.258,-7.01,3.79,,1,17,,7,9,,1,13,,64.3,72.3,,40.2,23.7,55.4,0.427,8.81,25,0.352,8.13,12.4,0.658,7.61,31.1,13,5.23,3.16,13.2,16.3
264,Santa Clara,33,21,12,0.636,8.98,3.61,,10,5,,14,4,,5,6,,77.3,71.9,,40.2,28.8,59.4,0.484,7.21,19.1,0.378,12.5,16.4,0.762,7.45,35.5,15.1,5.97,3.76,11.5,15
265,Seattle,32,23,9,0.719,1.96,-4.1,,14,4,,17,2,,6,6,,74.8,66.6,,40.2,25.9,62.2,0.417,9.66,28.4,0.34,13.3,17.4,0.766,9.97,37.6,13.6,6.91,3.63,11.6,20.5
266,Seton Hall ,32,21,11,0.656,12.75,8.52,,11,8,,13,3,,6,5,,71.9,66.4,,40.2,25.3,60.2,0.42,7.31,21.6,0.338,14.1,18.8,0.753,12.1,38.5,10.3,7.06,5.41,12.1,15.6
267,Siena,29,15,14,0.517,-6.4,-3.5,,12,8,,8,5,,7,8,,66.3,69.2,,40.5,23.8,55.9,0.426,6.76,19,0.356,11.9,16.2,0.733,8.28,32.9,10,6.21,4,12.6,16
268,South Alabama,33,21,12,0.636,0.23,-3.59,,9,7,,15,3,,4,8,,71.6,64,,40.3,26.2,56.9,0.46,6.79,20.2,0.337,12.5,18,0.692,9.7,34.5,11.9,6.97,4.88,12.6,16.4
269,South Carolina,31,18,13,0.581,7.14,8.37,,9,9,,12,4,,4,7,,71,70.3,,40.2,26.2,61.7,0.424,6.81,21.5,0.316,11.8,17.6,0.671,12.9,38.3,14,7.84,5.06,15.2,19.4
270,South Carolina State,31,15,16,0.484,-13.04,-8.39,,7,7,,8,5,,5,8,,71.8,72.5,,40.5,25.7,65.5,0.393,6.35,21.2,0.3,14.1,20.4,0.689,15.2,41.8,12.2,6.65,3.58,14.8,19.8
271,South Carolina Upstate,32,15,17,0.469,-9.01,-4.11,,10,6,,6,7,,8,9,,71.5,73.2,,40.3,25.5,57,0.447,8.03,22,0.365,12.5,16.5,0.756,7.59,32.5,13.7,6.34,3.31,12.7,19.1
272,South Dakota,31,19,12,0.613,-4.43,-5.61,,11,7,,11,4,,6,7,,75.1,70.9,,40.3,26.7,57.4,0.466,7.13,19.1,0.374,14.5,19.4,0.75,8.77,34.4,11.9,4.42,2.29,9.97,17.6
273,South Dakota State ,35,30,5,0.857,6.6,-3.77,,18,0,,14,0,,10,3,,85.9,73.2,,40.1,30.8,59.1,0.521,9.31,20.9,0.445,14.9,19.7,0.758,7.37,35.5,15.1,6.09,2.54,11,15.3
274,South Florida,31,8,23,0.258,-3.05,4.4,,3,15,,6,10,,2,9,,57.5,64.9,,40,21.6,57.7,0.374,4.45,17.6,0.252,9.77,14.7,0.666,11.3,35.9,10.9,6.23,3.74,12.5,17.1
275,Southeast Missouri State,32,14,18,0.438,-7.19,-4.69,,8,9,,8,5,,5,10,,75.6,77.3,,40.2,25.6,58.5,0.437,8.78,25.5,0.344,15.7,21.4,0.732,9.06,33.3,13.9,6.47,2.66,13.1,20.3
