,,Overall,,,,,,,Conf.,,,Home,,,Away,,,Points,,,Totals,,,,,,,,,,,,,,,,
Rk,School,G,W,L,W-L%,SRS,SOS,,W,L,,W,L,,W,L,,Tm.,Opp.,,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF
1,Abilene Christian,31,10,21,0.323,-17.2,-6.34,,4,14,,7,6,,1,14,,63.7,70.5,,40,22.4,54.3,0.413,7.48,19.7,0.38,11.4,15.7,0.727,8.84,28.9,12.7,6.55,1.23,12.9,21.3
2,Air Force,31,14,17,0.452,-1.85,-0.71,,6,12,,11,5,,1,11,,65.7,65.1,,40.2,23.9,50.5,0.474,7.48,20.2,0.371,10.4,15.7,0.659,8.55,30,15.6,6.29,2.1,11.8,17.8
3,Akron,35,21,14,0.6,3.65,-0.47,,9,9,,15,3,,2,9,,68.1,62.9,,40.2,23.5,56.6,0.416,9.37,26.8,0.35,11.6,17.6,0.658,12,35.7,12.4,6.57,4.43,12.1,18.7
4,Alabama,34,19,15,0.559,10.52,8.09,,8,10,,14,5,,4,8,,67.1,64.1,,40.3,22.4,50.7,0.441,6.5,20.5,0.317,15.9,22.1,0.717,9.56,33,10.3,6.44,3.68,12,19.2
5,Alabama A&M,29,9,20,0.31,-17.15,-9.62,,8,10,,4,7,,5,12,,62,68.6,,40.2,21,52.9,0.397,5.72,19.9,0.288,14.3,22.2,0.645,12.7,34.4,12.2,5.69,2.34,14.2,19.8
6,Alabama State,29,19,10,0.655,-8.97,-12.71,,14,4,,9,3,,8,5,,72.1,66.8,,40.2,26.2,59.9,0.438,5.93,16.6,0.358,13.7,21,0.65,13.4,39.7,13.6,6.34,4.21,13.7,17.9
7,Albany (NY) ,33,24,9,0.727,-0.34,-5.18,,15,1,,12,3,,12,5,,65.3,60.5,,40.2,22.1,50.5,0.438,6.21,17.3,0.358,14.9,19.7,0.758,10.1,33.7,10.6,5.67,1.61,11.5,16.5
8,Alcorn State,32,6,26,0.188,-20.75,-9.95,,4,14,,4,7,,1,15,,64.6,74.3,,40,22.6,58.3,0.388,4.84,17.3,0.28,14.5,22,0.658,11.8,32.4,8.91,5.97,2.69,11.5,17.8
9,American,33,17,16,0.515,-3.56,-3.71,,8,10,,8,3,,7,13,,58.7,58.6,,40.6,20.7,44.8,0.462,6.45,17.3,0.373,10.9,15.4,0.705,5.7,25.1,12.4,5.94,2.55,11.2,14.7
