,,Overall,,,,,,,Conf.,,,Home,,,Away,,,Points,,,Totals,,,,,,,,,,,,,,,,
Rk,School,G,W,L,W-L%,SRS,SOS,,W,L,,W,L,,W,L,,Tm.,Opp.,,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF
1,Abilene Christian,30,13,17,0.433,-2.79,0.9,,5,11,,9,5,,4,8,,75,71.1,,40.3,27.1,60,0.451,7.03,20.4,0.344,13.8,19.1,0.723,10.2,32.4,15.7,8.8,2.37,12.6,20.6
2,Air Force,32,14,18,0.438,2,2.12,,5,13,,10,9,,4,9,,66.9,67.1,,40.5,23.6,51.1,0.462,8.16,22.9,0.356,11.5,16,0.722,6.66,29.6,15.3,5.75,3.97,12.2,17
3,Akron,33,22,11,0.667,4.19,-1.65,,13,5,,15,1,,5,6,,74.6,66.9,,40.3,25.6,57.5,0.445,9.09,25.6,0.355,14.4,19.5,0.739,10.2,35.7,13.4,6.03,2.64,11.2,16
4,Alabama ,37,31,6,0.838,23.19,9.65,,16,2,,15,0,,9,3,,81.8,68.3,,40.8,27.6,62.5,0.442,9.89,29.5,0.335,16.6,22.9,0.725,13.1,44.6,15,6.05,5.11,13.8,18.7
5,Alabama A&M,33,15,18,0.455,-10.78,-7.71,,10,8,,9,8,,5,8,,69.6,70.9,,40.5,24.9,56.6,0.441,6.85,18.5,0.37,12.9,19.7,0.655,10.1,32.7,12.7,8,4.03,15.1,18.9
6,Alabama State,31,8,23,0.258,-16.33,-6.29,,6,12,,5,5,,2,18,,63.3,72.6,,40.2,22,58.7,0.375,5.97,19.5,0.306,13.3,18.8,0.705,12.5,36,9.97,5.87,3.55,13.4,18
7,Albany (NY),31,8,23,0.258,-14.36,-4.53,,3,13,,5,6,,2,16,,67.3,75.2,,40.2,23.4,56.6,0.414,7.65,23.4,0.327,12.8,17.7,0.722,10.2,33.3,11.7,5.74,1.65,13.4,18.6
8,Alcorn State,32,18,14,0.563,-8.74,-5.81,,15,3,,7,2,,10,10,,67.7,70.6,,40.7,23.8,58.4,0.408,5.13,17.3,0.296,14.8,20.6,0.721,12,34,9.88,8.03,2.5,12.6,18.9
9,American,32,17,15,0.531,-8.26,-7.73,,7,11,,8,6,,9,9,,65.4,65.9,,40.6,24.5,50.9,0.482,6.38,18.4,0.346,9.97,14.2,0.701,8.09,30.3,13.6,7.44,3.94,14,15.1
10,Appalachian State,32,16,16,0.5,-1.5,-0.98,,9,9,,10,7,,6,7,,70.3,64.6,,40.3,25.6,57.9,0.442,7.59,22.7,0.335,11.5,17,0.676,9,35.7,13,6.38,4.56,11,13.8
11,Arizona ,35,28,7,0.8,19.08,8.34,,14,6,,15,2,,6,4,,81.9,71.1,,40,29.2,59.2,0.494,8.43,22.3,0.378,15,21.2,0.708,10.2,39.3,18.9,6.09,3.14,13.4,16.9
12,Arizona State ,36,23,13,0.639,11.29,8.18,,11,9,,10,5,,7,6,,71.1,68,,40.4,25.3,60.1,0.421,7.61,23.6,0.322,12.9,18.8,0.689,11,36.5,14.3,7.08,4.72,11.7,18.6
13,Arkansas ,36,22,14,0.611,15.99,9.87,,8,10,,14,3,,2,8,,74.1,67.9,,40.1,26.7,57.3,0.466,4.97,15.9,0.313,15.7,22.5,0.698,10.4,35.3,12.8,8.39,5.06,12.7,19.3
14,Arkansas State,33,13,20,0.394,-8.07,-3.3,,4,14,,10,8,,2,11,,65.7,67.6,,40.2,23.5,54.5,0.432,6.33,18,0.352,12.3,18.2,0.677,9.85,33.6,13.1,6.67,3.27,11.7,16.8
15,Arkansas-Pine Bluff,31,10,21,0.323,-12.99,-5.36,,6,12,,8,5,,2,16,,66.9,69.7,,40.3,22.6,57.8,0.391,7.9,25,0.316,13.8,18.9,0.727,10.1,34.5,12.8,8.06,2.77,15.3,19.7
16,Army,33,17,16,0.515,-7.13,-7.58,,10,8,,10,5,,7,8,,73.1,70.4,,40.3,26.8,56.2,0.478,7.64,21.8,0.351,11.8,17.3,0.684,8.48,34.3,13.1,5.09,2.12,12.9,16.1
17,Auburn ,34,21,13,0.618,14.35,9.29,,10,8,,14,2,,4,8,,72.8,67.7,,40.1,25.7,58.6,0.439,6.5,20.6,0.315,14.8,21.3,0.696,11.6,36.2,14.1,7.74,5.06,12.2,19.3
18,Austin Peay,31,9,22,0.29,-12.17,-2.6,,3,15,,7,8,,1,13,,66.7,72.3,,40.2,24,57.7,0.415,7.16,22.3,0.322,11.6,16,0.725,10.1,31.4,12.5,7.1,3.03,11.7,16.9
19,Ball State,32,20,12,0.625,-1.2,-3.5,,11,7,,12,2,,6,7,,76.4,71.6,,40.2,26.3,55.8,0.471,7.5,20.3,0.369,16.3,23.7,0.689,10.5,35.8,13.2,5.5,3.84,12.2,16.4
20,Baylor ,34,23,11,0.676,17.3,10.54,,11,7,,14,3,,5,5,,77,70.3,,40.1,25.9,57.6,0.45,9.5,25.8,0.368,15.8,21.2,0.744,11.5,34,14.2,6.56,2.41,12.1,17.4
21,Bellarmine,33,15,18,0.455,-7.42,-1.35,,9,9,,8,6,,6,12,,66.3,67.2,,40.3,24.2,52.7,0.459,8,22.8,0.351,9.97,13.2,0.755,6.58,29.1,14.2,5.58,1.36,11.2,15.8
22,Belmont,32,21,11,0.656,1.88,-1.93,,14,6,,12,2,,7,7,,76.5,71.8,,40.3,28.1,59.4,0.472,9.59,24.7,0.388,10.8,14.8,0.726,8.34,33,15.3,7.03,3.16,11.4,15.6
23,Bethune-Cookman,32,12,20,0.375,-17.15,-7.82,,8,10,,8,5,,3,13,,67.9,75,,40.2,24.1,58.2,0.414,6.84,18.9,0.361,12.8,18.3,0.698,10,32.4,11.3,7.22,2.81,12.9,17.3
24,Binghamton,31,13,18,0.419,-10.44,-5.51,,8,8,,8,7,,5,11,,68.8,71.5,,40.6,25.6,56.9,0.45,5.55,17.2,0.323,12,16.9,0.713,9.71,35,11.6,4.65,3.16,13,18
25,Boise State ,34,24,10,0.706,12.78,6.21,,13,5,,14,1,,6,6,,72.1,64.6,,40.4,25.8,57,0.453,7.79,21.6,0.362,12.6,17.3,0.733,9.03,35.7,11.3,5.03,2.85,11.1,16.3
26,Boston College,33,16,17,0.485,1.09,4.73,,9,11,,9,7,,4,7,,66.6,70.2,,40.3,24.8,56.8,0.437,5.7,17.9,0.319,11.2,15.5,0.725,9.33,33.1,12.5,6.36,3.58,12.3,15.8
27,Boston University,32,15,17,0.469,-8.1,-6.52,,8,10,,9,4,,6,11,,67.1,67.2,,40.6,23.8,57.7,0.412,7.44,22.6,0.33,12.1,16.4,0.739,10.3,35.5,10.5,6.41,2.47,12,17.5
28,Bowling Green State,31,11,20,0.355,-8.46,-3.81,,5,13,,7,9,,4,11,,76,78.5,,40,27.1,60,0.452,7.23,21.2,0.34,14.5,20.1,0.725,10.5,35.8,13.8,6.06,3,12.2,17.7
29,Bradley,35,25,10,0.714,6.51,-0.67,,16,4,,15,1,,8,6,,70.7,62.7,,40.1,26.2,56.8,0.461,7.89,22.2,0.355,10.4,15.6,0.665,9.74,35.4,13.3,6.8,3.89,11.7,16.1
30,Brigham Young,34,19,15,0.559,9.43,5.4,,7,9,,12,4,,2,7,,75.5,69.9,,40.1,26.9,59.1,0.455,8.12,23.9,0.34,13.7,19.1,0.717,11,37.4,14.7,7.38,3.97,14.1,19.4
31,Brown,27,14,13,0.519,-2.47,-2.69,,7,7,,7,5,,7,8,,69.6,69.3,,40.2,25.3,57.7,0.438,8,23,0.347,11,17.2,0.642,8.93,34.9,13.8,7.19,3.22,13.4,16.2
32,Bryant,30,17,13,0.567,-3.59,-4.52,,8,8,,9,4,,7,8,,79.4,73.1,,40.2,28.3,60.7,0.466,8.1,23.8,0.34,14.7,20.1,0.734,10.6,39.3,13.4,6.67,3.53,13.4,17.3
33,Bucknell,32,12,20,0.375,-9.93,-6.96,,5,13,,7,7,,3,13,,67.5,68.5,,40.3,24.9,54.7,0.456,7.34,20.6,0.356,10.4,14.5,0.717,8.13,33.9,13.4,5.5,3.78,13.3,15.6
34,Buffalo,32,15,17,0.469,-2.97,0.67,,9,9,,11,4,,3,9,,77.5,77.7,,40.2,28.3,62.5,0.453,7,21.8,0.322,13.9,19.8,0.704,11.8,37.8,14.7,7.94,3.19,14.1,18.8
