,,Overall,,,,,,,Conf.,,,Home,,,Away,,,Points,,,Totals,,,,,,,,,,,,,,,,
Rk,School,G,W,L,W-L%,SRS,SOS,,W,L,,W,L,,W,L,,Tm.,Opp.,,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF
112,Houston,33,17,16,0.515,2.68,4.62,,8,10,,12,4,,3,9,,71.1,73,,40.2,25.2,55.5,0.454,6.42,17.5,0.367,14.2,21.2,0.667,10.9,34.6,14.7,5.42,5.52,12.8,18.3
113,Houston Christian,31,6,25,0.194,-17.39,-5.39,,2,16,,5,8,,1,15,,67.5,76.5,,40.3,23.8,55.9,0.425,5.06,14.7,0.344,14.8,21.7,0.682,11.3,35.8,12.4,5.06,2.16,15.6,21.4
114,Howard,33,8,25,0.242,-16.77,-5.22,,5,11,,4,6,,2,17,,61.2,71,,40.5,19.4,51.2,0.378,5.3,15.7,0.337,17.2,25.3,0.679,11.7,33.2,7.91,6.27,3.97,16.4,22
115,Idaho,34,16,18,0.471,-6.42,-3.72,,7,9,,7,6,,5,9,,72.4,74.6,,40.4,24.5,54.9,0.447,6.35,17.9,0.355,17,24.8,0.688,10.5,34.1,11.3,4.29,1.71,11.4,20.6
116,Idaho State,29,11,18,0.379,-6.42,-4.72,,8,12,,9,4,,2,13,,70.8,70.2,,40.5,23.9,53.3,0.449,5.72,15.6,0.366,17.2,24.2,0.713,12,34.9,11.8,7.24,2.69,12.4,18.1
117,Illinois,35,20,15,0.571,10.33,8.28,,7,11,,10,6,,6,7,,64.2,62.2,,40.1,22.8,55.5,0.411,6,18.9,0.317,12.7,17.3,0.733,10.7,33.7,10,6.14,3.63,10.4,16.8
118,Illinois State,34,18,16,0.529,1.08,1.77,,9,9,,14,3,,3,11,,68.3,68.5,,40.4,22.6,55.5,0.407,7.18,23,0.312,16,22.8,0.704,9.94,34.7,12,7.71,4.71,12.4,20.5
119,Illinois-Chicago,31,6,25,0.194,-7.17,0.63,,1,15,,2,12,,2,11,,66.8,72.5,,40,23,54.7,0.421,5.55,16.9,0.328,15.2,21.3,0.714,10.8,34,11.2,5.52,1.77,12.5,21.7
120,Incarnate Word,27,21,6,0.778,-8.47,-10.74,,9,5,,14,1,,7,5,,82.1,71.7,,40.2,28.6,58.6,0.488,7.52,19.3,0.389,17.4,25.5,0.685,11.1,39.6,15.8,6.56,4.26,13.9,17.8
121,Indiana,32,17,15,0.531,11.32,6.64,,7,11,,14,4,,2,8,,72.3,67.6,,40.2,24.4,54.4,0.448,5.5,16,0.344,18,24.7,0.73,12.4,38.8,11.5,5.94,4.31,15.1,18.3
122,Indiana State,34,23,11,0.676,3.29,1.19,,12,6,,11,2,,8,7,,71.1,68.5,,40,23.9,53.2,0.45,6.44,18.5,0.348,16.7,23.1,0.723,8.94,33.2,12.9,5.82,3.44,11.2,19
123,Iona,33,22,11,0.667,5.96,-0.1,,17,3,,11,2,,9,8,,83.6,77.6,,40.2,28.7,58.9,0.487,10.2,25.8,0.396,16,22.4,0.714,8.73,33.2,17.5,6.64,3.7,10.6,17.7
124,Iowa ,33,20,13,0.606,18.58,7.43,,9,9,,13,4,,4,6,,81.5,70.3,,40.6,27.8,60.1,0.463,5.79,16.5,0.35,20,27.2,0.735,13.5,40.4,16.1,7.09,4.97,11.2,18.3
125,Iowa State ,36,28,8,0.778,18.52,9.88,,11,7,,15,1,,4,6,,83,74.4,,40.7,29.5,62.2,0.474,8.36,23.3,0.358,15.7,22.6,0.693,10.4,38.5,18.4,5.94,2.94,10.6,17.3
126,IU Indy,32,6,26,0.188,-14.33,-1.36,,1,13,,5,10,,1,13,,66.4,74.5,,40.1,24.4,55.8,0.438,4.38,14.1,0.311,13.2,17.8,0.742,8.16,31.1,10.4,5.03,3.06,11.1,16.1
127,Jackson State,31,11,20,0.355,-11.62,-8.72,,7,11,,6,6,,5,13,,65.8,68.7,,40.4,22.9,55.1,0.417,3.9,13.3,0.293,16.1,22.2,0.724,11.8,35.2,9.55,6.06,3.23,15,22.9
128,Jacksonville,30,12,18,0.4,-11.86,-4.86,,8,10,,10,5,,2,13,,74.4,79.5,,40,25.2,57.6,0.437,6.27,18.4,0.34,17.7,25,0.709,12.1,34.2,13.1,7.33,3.5,13.6,18.8
129,Jacksonville State,31,10,21,0.323,-11.97,-5.14,,4,12,,7,6,,2,14,,65,70.2,,40,22.1,52.7,0.419,5.65,17.5,0.323,15.1,22.4,0.675,10.8,30.6,11.8,6.29,3.55,11.3,19.4
130,James Madison,31,11,20,0.355,-7.65,-2.2,,6,10,,5,5,,4,12,,63.3,68.7,,40.2,20.9,51,0.409,4.87,17.8,0.273,16.6,24.2,0.685,10.1,33.7,8.77,5.87,3.1,12.2,19.6
131,Kansas ,35,25,10,0.714,20.25,11.4,,14,4,,14,1,,5,6,,79,70.1,,40.3,27.3,55.3,0.493,5.4,15.9,0.34,19,26.7,0.711,11.9,38.2,14.9,5.83,5.6,13.2,20.9
132,Kansas City,30,10,20,0.333,-9,-1.93,,7,9,,5,9,,5,10,,69.5,76.5,,40,24.3,56.6,0.43,5.57,18.4,0.303,15.3,24.2,0.634,9.67,32.7,11.6,7.23,2.33,13.2,20.7
133,Kansas State ,33,20,13,0.606,12.14,8.47,,10,8,,15,2,,2,7,,69.1,65.4,,40.5,24.2,55.8,0.434,6,18.1,0.331,14.7,22.5,0.656,12.3,35.8,15.2,6.21,2.97,12.2,21.6
134,Kennesaw State,31,6,25,0.194,-16.16,-4.05,,3,15,,4,11,,2,14,,65,74.3,,40,22.8,54.1,0.422,6.19,18,0.343,13.2,20.3,0.65,11.2,32.9,11.1,5.87,3.06,15.9,21.7
135,Kent State,32,16,16,0.5,-1.81,-1.94,,7,11,,11,7,,5,9,,69.6,68.4,,40.3,23.9,55.8,0.429,7.25,20.9,0.346,14.5,20.6,0.703,10.7,33.6,11.3,6.22,3.41,12.2,20.9
136,Kentucky ,40,29,11,0.725,18.07,9.9,,12,6,,16,2,,5,5,,74.8,66.6,,40.4,25.1,55.3,0.454,5.08,15.3,0.332,19.5,28.6,0.682,14.1,40.2,11.2,4.72,5.9,11.7,18.3
137,La Salle,31,15,16,0.484,4.1,4.75,,7,9,,8,5,,4,8,,67.7,68.4,,40.7,23.2,56.2,0.413,5.71,17.5,0.325,15.6,22,0.708,11.9,35.5,12.4,5.58,3.42,11.6,16
138,Lafayette,31,11,20,0.355,-7.64,-3.38,,6,12,,6,7,,5,13,,71.4,74.7,,40.3,25.2,53.6,0.47,7.45,18.7,0.398,13.5,18.2,0.744,8.16,29.9,12.9,5.23,2.13,12.1,17.9
139,Lamar,30,4,26,0.133,-16.61,-6.04,,3,15,,2,11,,1,14,,66.7,77.3,,40,23.7,54.3,0.437,3.23,10.5,0.308,16.1,21.6,0.744,9.23,31.5,12,5.33,2.87,14,18.5
140,Lehigh,32,14,18,0.438,-6.52,-3.83,,7,11,,9,5,,4,11,,66.3,69,,40.7,23.7,54.9,0.432,6.22,17.3,0.359,12.7,17.9,0.707,8.75,33.3,13,4.97,3.5,12,17.9
141,Liberty,32,11,21,0.344,-10.26,-7.47,,5,11,,7,8,,2,12,,70.3,69.8,,40,25.5,55.7,0.458,5.63,15.7,0.359,13.7,19.4,0.704,12.6,37.1,13.2,4.69,3.44,13.3,17.6
142,Lipscomb,30,15,15,0.5,-8.2,-5.13,,10,8,,7,5,,8,10,,75.9,78.5,,40.3,24.2,56.1,0.432,9.17,25.9,0.353,18.2,26.7,0.684,9.77,33,13.9,6.73,1.9,12.5,22
143,Little Rock,32,15,17,0.469,-5.39,-1.09,,9,9,,7,6,,6,9,,71.5,74.1,,41.3,24.5,57.6,0.425,5.13,15.8,0.325,17.4,23.6,0.737,11.5,36.7,11.8,5.94,3.91,13.2,21.5
144,Long Beach State,32,15,17,0.469,1.44,2.71,,10,6,,9,4,,5,9,,69.9,70.5,,40.5,25.7,59.5,0.432,5.97,19.2,0.312,12.5,19,0.661,13.4,36.8,12.7,5.81,2.5,12.2,17.8
145,Long Island University,29,9,20,0.31,-13.66,-5.55,,4,12,,5,6,,4,11,,71.7,79.8,,40.2,24.4,57,0.428,7.52,21.8,0.345,15.4,21.6,0.717,11.2,34.5,14,4.31,2.28,12.8,17.6
146,Longwood,32,8,24,0.25,-20.31,-5.56,,3,13,,5,9,,3,12,,69.8,80.3,,40,25.4,57.7,0.44,5.63,16,0.351,13.5,18.5,0.729,9.66,31.2,13.4,6.75,1.81,12.8,19.5
147,Louisiana ,35,23,12,0.657,2.91,-0.28,,11,7,,13,2,,6,9,,81,75.2,,40.9,28.2,60.8,0.465,7.03,19.1,0.367,17.5,26.1,0.671,13.3,38,13.5,7.14,4.11,13.1,21
148,Louisiana State,34,20,14,0.588,10.05,6.61,,9,9,,13,3,,4,9,,74.7,71.3,,40.4,27,60.8,0.444,6.79,19.9,0.342,13.9,20.8,0.669,13.1,39.2,14.1,7.68,5.85,13.6,18.7
149,Louisiana Tech,37,29,8,0.784,12.44,-1.2,,13,3,,14,1,,10,5,,81,66.5,,40.1,27.9,61.7,0.453,7.73,23.5,0.329,17.4,25.6,0.679,12.9,39.1,15.7,9.16,5.08,11.5,19.1
150,Louisiana-Monroe,27,10,17,0.37,-5.21,0.02,,7,11,,6,6,,4,10,,64.4,68.6,,40.7,23.3,54.4,0.427,5.3,16.7,0.318,12.6,19.9,0.632,10.3,34.9,12.6,5.7,3.48,12.5,18.4
151,Louisville ,37,31,6,0.838,24.69,4.8,,15,3,,16,2,,9,2,,81,61.1,,40,28.4,60.3,0.471,7.78,21.2,0.368,16.4,24.9,0.661,13.6,37.7,15.4,10,4.68,10.6,19.5
152,Loyola (IL),32,10,22,0.313,-4.75,-1.14,,4,14,,8,6,,0,14,,65.8,68.7,,40.6,23.3,50.3,0.462,5.97,17.1,0.35,13.3,18.9,0.703,8.31,30.4,13.1,5.5,2.56,13.3,19.4
153,Loyola (MD),30,11,19,0.367,-10.58,-3.23,,6,12,,7,7,,4,12,,65.2,71.9,,40.5,22.7,54.7,0.414,4.83,15.1,0.321,15.1,22.6,0.667,11,31.2,11.2,7.87,4.27,11.9,19.5
154,Loyola Marymount,32,13,19,0.406,-0.49,4.03,,4,14,,6,6,,3,10,,73.3,77.1,,39.6,26.2,60.1,0.436,4.41,15,0.294,16.5,21.7,0.762,12,34,12.7,7.13,3.75,12.2,20.2
155,Maine,29,6,23,0.207,-17.58,-4.72,,4,12,,4,9,,1,12,,72.1,82.9,,40.2,26.2,59,0.443,6.28,18.7,0.335,13.5,19.9,0.678,9.34,33.3,14.4,7.59,2.28,15.1,20.9
156,Manhattan ,33,25,8,0.758,6.04,-0.9,,15,5,,9,3,,12,4,,77,70,,40.9,25.1,55.7,0.451,6.3,17.1,0.369,20.5,30.9,0.663,12.6,37.4,13.1,8.27,6.06,14.2,24.2
157,Marist,31,12,19,0.387,-4.94,-1.27,,9,11,,9,4,,3,11,,68.4,72,,40.6,22.9,56,0.408,6.48,18.7,0.347,16.1,22.6,0.714,10.8,34.1,11,6.52,3.94,12.4,18.8
158,Marquette,32,17,15,0.531,10.08,6.61,,9,9,,12,4,,4,8,,72.2,68.7,,41.3,25,56.3,0.444,4.81,15,0.321,17.4,25.2,0.69,11.8,36.5,14.8,6.31,3.13,12,19.7
159,Marshall,33,11,22,0.333,-4.42,-1.32,,4,12,,8,8,,2,12,,72.3,72,,40.3,25.4,58.7,0.432,6.12,19.8,0.308,15.4,24.8,0.622,12.8,37,12,6.39,3.76,12.9,19.9
160,Maryland,32,17,15,0.531,11.33,8.08,,9,9,,12,4,,2,8,,70.9,67.7,,40.5,24.8,57.6,0.43,7.06,20.6,0.342,14.4,21.2,0.679,12,37.5,11.7,6.31,4.34,12.8,19.8
161,Maryland-Baltimore County,30,9,21,0.3,-14.21,-6.55,,5,11,,8,5,,1,16,,65.6,72.8,,41,22.3,55.6,0.401,5.77,19,0.304,15.2,23.3,0.655,11.4,33.9,11.8,8,2.8,15,23.4
162,Maryland-Eastern Shore,30,6,24,0.2,-17.03,-6.61,,4,12,,5,8,,1,15,,66.5,75,,40,21.9,54.6,0.401,6,18.6,0.323,16.8,23.3,0.721,11.3,32.6,11.3,6.53,2.07,12.3,19.5
163,Massachusetts ,33,24,9,0.727,10.61,6,,10,6,,11,2,,7,4,,75.8,71.2,,40.2,27.3,59.5,0.459,5.36,15.5,0.346,15.9,23.3,0.683,12.2,38.4,15.1,6.85,5.39,13.5,19.7
164,Massachusetts-Lowell,28,10,18,0.357,-13.71,-4.53,,8,8,,6,6,,4,12,,61.4,69.2,,40.2,20.4,51.7,0.394,6.86,21,0.327,13.8,19.6,0.704,9.57,31.4,12,5.93,2.61,13.5,18.5
165,McNeese State,31,11,20,0.355,-13.15,-4.01,,9,9,,7,3,,3,14,,68.1,76.1,,40.3,23.5,59.9,0.393,6.55,21.5,0.305,14.5,20.9,0.696,13.2,36.8,11.9,6.81,3.77,12.8,17.9
166,Memphis ,34,24,10,0.706,13.02,7.14,,12,6,,15,2,,5,5,,76.9,70.5,,40.3,28.2,59.1,0.477,5.35,16.2,0.33,15.2,23.6,0.644,12.6,37.3,17.4,8.65,4.68,13.2,18
167,Mercer ,36,27,9,0.75,5.33,-3.42,,14,4,,17,1,,9,7,,78.8,66.9,,41.4,27.3,57.3,0.476,8.06,21,0.384,16.2,22,0.736,11.3,37.2,16.3,5.86,4.08,11.7,18.5
168,Miami (FL),33,17,16,0.515,7.6,5.63,,7,11,,8,8,,6,6,,61.5,59.5,,40.8,21.6,51.2,0.421,5.64,17.5,0.323,12.7,18.5,0.687,11,34.5,10.5,4.88,3.76,10.2,15.8
169,Miami (OH),31,13,18,0.419,-4.37,0.13,,8,10,,8,6,,5,11,,65.3,69.7,,40.3,23.3,53.7,0.434,4.71,16,0.294,14,18.5,0.754,8.58,31.2,12.5,8.61,2.35,13.5,17.3
170,Michigan ,37,28,9,0.757,18.52,9.65,,15,3,,13,2,,7,4,,73.9,65.1,,40.3,25.5,53.6,0.477,8.62,21.5,0.402,14.2,18.7,0.763,8.54,31.4,14.2,5.16,2.38,9.08,14.2
171,Michigan State ,38,29,9,0.763,19.35,9.38,,12,6,,12,4,,7,3,,75.5,65.6,,40.4,26.9,56.8,0.474,8.08,20.6,0.392,13.6,19.2,0.707,10.4,36.8,16.8,6.82,4.58,11.3,19
172,Middle Tennessee,33,24,9,0.727,4.77,-0.78,,13,3,,14,2,,8,5,,70.9,62.6,,40.3,24.7,54.4,0.455,5.39,15.8,0.342,16,24.1,0.665,12.1,36.7,13.1,7.09,4.79,12.6,20.1
173,Milwaukee ,35,21,14,0.6,-1.53,-0.44,,7,9,,7,6,,10,6,,70.4,70.5,,40.4,23.1,53.9,0.428,7,21.5,0.325,17.3,23.5,0.734,9.8,33.8,13.6,5.71,2.43,13.4,18
174,Minnesota,38,25,13,0.658,11.75,8.34,,8,10,,18,3,,4,7,,71.4,67.7,,40.7,24.2,54,0.447,7.16,20.3,0.352,16,21.5,0.742,10.4,33.7,13.9,7.61,4.08,11.7,19.1
175,Mississippi,33,19,14,0.576,7.84,5.36,,9,9,,12,5,,4,8,,75.2,72.7,,40.5,25.3,60.7,0.417,7.82,23.1,0.339,16.7,24,0.696,13,36.7,12.5,7.45,5.52,11.2,19.4
176,Mississippi State,33,14,19,0.424,-0.86,2.75,,3,15,,11,7,,0,10,,67.7,71.3,,40.3,23.8,53.8,0.442,4.67,15.2,0.307,15.5,23.3,0.663,9.85,32.9,12.2,7.73,2.67,13.9,17.3
177,Mississippi Valley State,32,9,23,0.281,-21.08,-8.35,,5,13,,6,4,,1,17,,71.7,80.7,,40,25.3,60.4,0.418,6.34,20.2,0.314,14.8,22.1,0.67,11.7,34.8,11.2,7.66,1.84,14.7,22.5
178,Missouri,35,23,12,0.657,10.06,6.86,,9,9,,16,3,,3,7,,72.9,69.7,,40.4,23.5,51.6,0.457,5.77,16.8,0.344,20.1,27.1,0.742,10.9,36.9,10.1,5.03,3.26,12.6,19.1
179,Missouri State,33,20,13,0.606,0.81,1.22,,9,9,,14,3,,4,8,,68.5,68.2,,40.5,23.1,53.5,0.431,6.97,19.5,0.357,15.5,21.8,0.708,9.18,32.7,12.2,4.85,3,10.9,19.8
180,Monmouth,32,11,21,0.344,-6.96,-2.9,,5,15,,8,8,,3,12,,69,73.1,,40.5,24.3,57.7,0.42,5.53,16.5,0.336,15,23.4,0.64,12.9,37,12.1,6.94,3,14.4,21.8
181,Montana,30,17,13,0.567,-4.52,-5.23,,12,8,,11,3,,6,9,,70.8,69,,40.8,23.4,49.2,0.477,7.4,19.8,0.374,16.5,22.3,0.739,7.1,27.1,11.3,5.07,2.53,9.97,20.7
182,Montana State,31,14,17,0.452,-10.7,-5.83,,9,11,,9,5,,5,10,,68,69.8,,40.2,23.7,53.6,0.443,5.97,16.8,0.354,14.6,20.5,0.711,8.61,31.2,10.5,6.55,1.61,11.5,18.1
183,Morehead State,34,20,14,0.588,-1.88,-3.1,,10,6,,9,5,,9,7,,76.6,73,,40.7,25.3,56.7,0.447,5.53,18.5,0.299,20.4,29.2,0.699,14.1,38.5,13.4,7.97,3.06,15.6,23.5
184,Morgan State,31,15,16,0.484,-5.81,-5.03,,11,5,,7,4,,5,9,,71.5,72.2,,40.8,25.8,60.3,0.428,4.52,17.3,0.261,15.3,25,0.612,14.4,38.4,12.7,6.16,5.06,13,20.9
185,Mount St. Mary's ,33,16,17,0.485,-6.32,-4.44,,9,7,,10,3,,6,13,,75.9,77.8,,40.3,25.5,58.3,0.438,8.97,25.3,0.355,15.8,21.4,0.739,9.94,31.9,11.8,7.03,3,11.8,18.7
186,Murray State,34,23,11,0.676,0.98,-3.58,,13,3,,17,1,,6,9,,77.9,71.9,,40.3,26.5,55.8,0.475,7.41,19.7,0.376,17.4,26,0.672,11.7,36.3,13.1,5.97,4.35,12.4,18.5
187,Navy,30,9,21,0.3,-11.95,-5.46,,4,14,,7,6,,2,15,,60.7,65.2,,40.5,22,54.8,0.401,6.7,20.4,0.328,9.97,15.7,0.635,11.2,33.5,12.7,6.5,3.3,12.5,18.9
188,NC State ,36,22,14,0.611,9.02,7.44,,9,9,,13,6,,6,6,,71.1,69.6,,40.6,26.4,57.2,0.461,4.44,14.6,0.305,13.9,21.2,0.657,11.7,34.4,12.9,4.81,4.14,10.4,18.6
189,Nebraska ,32,19,13,0.594,10.13,8.5,,11,7,,15,1,,3,8,,66.8,65.2,,40,22.5,52.6,0.427,5.88,17.6,0.333,16,22.3,0.717,8.69,33.1,9.5,6.94,3.09,10.9,20.6
190,Nevada,32,15,17,0.469,1.98,3.48,,10,8,,7,8,,8,6,,72.4,73.9,,41.3,24.9,57.3,0.434,6.69,19.8,0.338,15.9,21.8,0.73,11,34.8,10.8,5,4.5,10.4,18.9
191,Nevada-Las Vegas,33,20,13,0.606,8.55,2.76,,10,8,,12,7,,6,5,,71.4,65.6,,40.3,25.3,57.7,0.438,5.91,17.9,0.329,14.9,22.8,0.654,12.6,39.8,13.2,4.85,6.45,11.1,15.8
192,New Hampshire,30,6,24,0.2,-13.97,-5.9,,4,12,,3,11,,3,12,,57.8,64.8,,40.2,19.5,51.8,0.376,7.03,21.3,0.33,11.9,17.1,0.693,9.53,34.2,9.73,4.03,3.3,13.1,19.4
193,New Mexico ,34,27,7,0.794,12.72,4.84,,15,3,,13,2,,8,2,,74,66.1,,40.6,24.9,54.4,0.458,5.79,17.4,0.332,18.4,25.4,0.724,10.6,38.1,15.4,4.76,5.06,10.6,17
194,New Mexico State ,36,26,10,0.722,6.16,-2.58,,12,4,,14,1,,8,7,,77,67.1,,40.4,26,53.3,0.488,5.39,14.5,0.371,19.6,28.5,0.686,11.9,37.4,13.2,4.69,6.22,12.7,17.1
195,New Orleans,26,11,15,0.423,-15.03,-5.53,,8,10,,6,6,,5,9,,71.5,76.4,,40,23.7,55.2,0.429,5.23,15.5,0.338,18.9,27.8,0.681,13.1,37.2,12.2,6.62,3.23,16.8,21
196,Niagara,33,7,26,0.212,-8.16,-1.34,,3,17,,4,9,,1,14,,75.3,82.1,,40,25.3,59.1,0.429,5.03,16.8,0.3,19.6,28.7,0.682,12.4,34.3,10,6.97,2.15,13.6,23.8
197,Nicholls State,29,14,15,0.483,-13.13,-7.67,,10,8,,9,2,,4,12,,68.5,72.9,,40.3,24.4,55,0.444,6.14,20.1,0.306,13.5,21.3,0.633,10.1,31.7,13.2,5.79,2.86,12.1,23.6
198,NJIT,29,13,16,0.448,-12.52,-7.48,,,,,7,6,,6,10,,72.7,71.1,,40.3,25.1,56.5,0.444,7.45,19.9,0.374,15,20.8,0.721,9.79,34.1,13.6,6.45,3.59,13.1,20.2
199,Norfolk State,34,19,15,0.559,-7.82,-7.17,,11,5,,7,4,,7,8,,71.4,70.5,,40.3,25.5,54.8,0.465,5.5,15.6,0.352,15,21.6,0.693,12.3,35.1,13.7,6.09,3.97,13.4,19.7
200,North Carolina ,34,24,10,0.706,15.24,8.42,,13,5,,15,3,,6,5,,76.6,69.8,,40.3,28,60.5,0.463,4.29,12.8,0.336,16.2,25.9,0.626,14.2,39.7,15.4,7.32,4.74,11.9,20.3
201,North Carolina A&T,32,9,23,0.281,-16.43,-7.4,,5,11,,7,5,,1,17,,65.3,73.2,,40.5,19.4,50.8,0.383,5.34,17.6,0.303,21.1,30.1,0.699,12.1,36.2,9.28,4.72,4.03,15.3,23.2
202,North Carolina Central ,34,28,6,0.824,3.97,-8.03,,16,1,,14,0,,11,5,,73.9,59.5,,40.6,24.9,53.9,0.462,5.41,16,0.338,18.7,25.6,0.728,11.9,35.2,14.7,7.71,4.03,11.4,19.4
203,North Dakota,34,17,17,0.5,-6.84,-3.78,,12,8,,11,3,,4,11,,74.3,74.6,,40,26.1,57.4,0.456,5.88,18,0.327,16.1,23.4,0.688,11.1,31.5,12.3,8.44,2.65,11.1,20.3
204,North Dakota State ,33,26,7,0.788,6.31,-0.02,,12,2,,12,1,,10,5,,75.5,65.6,,40.2,26.9,53.3,0.505,5.33,14.6,0.364,16.4,21.8,0.751,9.3,32.8,11.6,6.24,4.39,9.85,17.8
205,North Florida,32,16,16,0.5,-7.52,-3.32,,10,8,,9,5,,7,11,,72.4,74.3,,40.2,24.7,55.8,0.442,7.09,19.8,0.359,16,22.8,0.705,12,37,12.5,5.22,3.94,15.1,18.8
206,North Texas,32,16,16,0.5,-4.67,-1.53,,6,10,,9,7,,6,6,,69.6,72.3,,40.5,24.2,57.7,0.42,4.91,14.9,0.33,16.3,24,0.68,11.3,37,10.1,6.56,3.56,12.7,20.2
207,Northeastern,32,11,21,0.344,-3.11,-0.3,,7,9,,4,8,,4,9,,65.9,68.7,,40.5,22.9,52.9,0.434,4.88,15,0.324,15.2,23.5,0.645,11.3,34.9,11.6,5.41,3.44,13.1,17.3
208,Northern Arizona,32,15,17,0.469,-6.6,-4.37,,12,8,,9,4,,6,10,,67,68.4,,40.3,24.3,53.6,0.454,5.31,15.2,0.351,13.1,18.3,0.713,10.8,33,10.8,6.19,3.94,12.6,17.6
209,Northern Colorado,32,18,14,0.563,-4.33,-6.09,,11,9,,13,3,,4,11,,73.9,70.3,,40.5,27,54.8,0.493,5.94,15.4,0.386,13.9,20.3,0.685,10.8,32,12.1,5.72,2.28,11.4,19.6
210,Northern Illinois,32,15,17,0.469,-3.54,-1.28,,8,10,,10,7,,5,9,,62.3,62.9,,40.8,20.2,51.6,0.391,4.28,15.4,0.277,17.7,25.8,0.684,13.4,37.5,8.47,6.59,3.34,14.7,20.1
211,Northern Iowa,31,16,15,0.516,5.29,2.85,,10,8,,11,2,,3,10,,72.8,69.3,,40.3,24.6,54.6,0.45,8.52,23.6,0.361,15.1,20.8,0.724,8.77,33,14.1,5.65,2.9,10.6,18.3
212,Northern Kentucky,30,9,21,0.3,-10.53,-4.97,,5,13,,7,7,,2,12,,68.1,73.7,,40.5,23.5,53.9,0.435,7.6,21.8,0.349,13.6,19.3,0.706,9.53,31.3,11.1,5.43,2.97,11.6,20.8
213,Northwestern,33,14,19,0.424,4.72,8.57,,6,12,,8,9,,5,7,,59.5,63.4,,40.3,20.2,50.9,0.396,6.58,21.5,0.306,12.6,18.1,0.7,7.55,32.5,11,4.3,3.67,10.9,18.5
214,Northwestern State,31,17,14,0.548,-3.59,-4.66,,12,6,,10,3,,6,10,,86.6,83.8,,40.6,30.9,65.7,0.47,5.68,17,0.334,19.2,25.9,0.741,12.7,38.1,16.5,8.71,5.32,13.5,20.5
215,Notre Dame,32,15,17,0.469,8.19,6.78,,6,12,,13,6,,1,9,,72,70.6,,40.8,26.2,57.6,0.455,7.13,19.9,0.358,12.4,17.3,0.718,10.8,33.8,15.1,5.84,3.03,10.3,16.2
216,Oakland,33,13,20,0.394,-2.23,2.78,,7,9,,10,5,,3,11,,74.4,77.4,,40.4,24.9,57.3,0.434,8.45,22.8,0.37,16.2,22.2,0.73,9.03,31.1,15.8,6.94,1.85,11.1,19.9
217,Ohio,37,25,12,0.676,2.7,-1.17,,11,7,,14,7,,10,4,,71.5,67,,39.6,25.3,55.2,0.459,7.41,21,0.353,13.5,18.9,0.714,9.49,33.8,15.1,6.43,4.24,12.8,19.1
218,Ohio State ,35,25,10,0.714,17.84,8.12,,10,8,,17,3,,5,5,,69.5,59.8,,40.3,24.1,53.6,0.45,5.71,17.6,0.324,15.6,22.7,0.689,9.89,33.9,12,7.71,4.49,11.3,16.5
219,Oklahoma ,33,23,10,0.697,14.91,8.97,,12,6,,14,3,,5,4,,81.9,76,,40.5,27.5,61.6,0.447,8.64,22.8,0.379,18.2,24.3,0.749,12.1,37.6,14.6,6.79,3.27,11.4,18.9
220,Oklahoma State ,34,21,13,0.618,19.02,8.34,,8,10,,13,3,,3,7,,80.2,69.6,,40.9,26.4,57.1,0.463,7.03,19.3,0.364,20.4,28.4,0.719,9.76,35.4,13.6,7.65,4.71,10.5,20
221,Old Dominion,36,18,18,0.5,-1.12,-0.81,,9,7,,12,6,,5,9,,64.2,64.5,,40.3,22.9,53.5,0.428,5.28,16.2,0.326,13.1,21.1,0.621,11.9,35.6,10.6,6.28,3.94,13.2,19.7
222,Omaha,32,17,15,0.531,-1.19,-2.78,,5,9,,11,4,,6,11,,79.9,75.1,,40.3,27.7,61.5,0.45,6.84,20.3,0.337,17.8,23.3,0.765,10.6,34.4,15.4,8.31,2.72,12.6,18.6
223,Oral Roberts,33,17,16,0.515,-2.94,-4.43,,10,8,,9,4,,5,11,,71.4,69.3,,40.3,25.2,54.7,0.46,4.76,13.5,0.351,16.3,22.6,0.72,11,35.4,12.1,5.21,4.45,11.4,19.5
224,Oregon ,34,24,10,0.706,15.75,8.05,,10,8,,15,3,,5,5,,81.9,74.1,,40.7,27.3,58.1,0.469,7.62,19.6,0.389,19.6,25.4,0.772,10.5,34.1,14.5,7.74,3.32,11.4,21.3
225,Oregon State,32,16,16,0.5,6.03,5.87,,8,10,,12,5,,3,9,,75.8,75.6,,40.5,25.8,52.8,0.488,5.53,14.1,0.392,18.7,26.9,0.695,9.75,34.3,13.4,4.84,4.75,13.5,19
226,Pacific,34,18,16,0.529,1.74,3.25,,6,12,,10,5,,5,9,,73.1,74.2,,40.1,24.8,55.6,0.446,6.35,17.6,0.36,17.2,22.4,0.765,11,34.6,12.4,5.09,1.79,12.2,22.6
227,Penn State,34,16,18,0.471,7.68,7.06,,6,12,,10,8,,4,8,,70.9,70.2,,40.4,24.1,56.3,0.428,6.18,19.4,0.319,16.4,22.2,0.741,10.5,35.2,11.3,4.53,4.68,10.6,20.9
228,Pennsylvania,28,8,20,0.286,-6.59,-0.01,,5,9,,6,8,,2,12,,68.3,74.8,,40.2,24.4,54.2,0.451,5,15.6,0.321,14.4,21.2,0.678,9.57,33.5,14.6,5.82,3.46,16.1,22.6
