,,Overall,,,,,,,Conf.,,,Home,,,Away,,,Points,,,Totals,,,,,,,,,,,,,,,,
Rk,School,G,W,L,W-L%,SRS,SOS,,W,L,,W,L,,W,L,,Tm.,Opp.,,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF
1,Air Force,32,18,14,0.563,4.06,4.16,,8,8,,13,2,,3,11,,70,67.8,,40.2,24.8,52.8,0.47,8.5,22.3,0.382,11.8,16.6,0.714,7.5,27.8,15.9,6.44,1.72,11.9,17.4
2,Akron ,33,26,7,0.788,8.12,0.18,,14,2,,15,1,,7,4,,71.8,62.8,,40.6,25.8,56.8,0.455,6.94,20.9,0.332,13.2,20.5,0.643,12.9,34.7,14.7,7,5.73,13.9,17.5
3,Alabama,36,23,13,0.639,9.82,5.96,,12,6,,16,4,,4,8,,63,58.4,,40.4,22.4,52.4,0.428,5.47,16.3,0.335,12.6,18,0.702,10.6,29.2,10.6,8.17,4.44,12.5,17.2
4,Alabama A&M,31,11,20,0.355,-18.41,-9.82,,6,12,,7,6,,3,12,,63.1,69.7,,40.5,22.5,56.3,0.399,5,17,0.294,13.2,21,0.63,12.2,32,11.8,5.87,3.29,14.3,17.7
5,Alabama State,32,10,22,0.313,-17.9,-9.03,,8,10,,7,5,,3,14,,61.8,69.7,,40.3,22.9,56.3,0.408,5.25,17.4,0.302,10.7,18,0.597,12.4,32,11.6,6.31,3.22,15,18.7
6,Albany (NY) ,35,24,11,0.686,-0.86,-4.51,,9,7,,11,4,,11,5,,64.3,60.7,,40.1,21.7,49.9,0.435,6.09,16.4,0.37,14.7,20,0.737,9.86,29.2,11.3,5.49,2.03,13.4,16.1
7,Alcorn State,34,10,24,0.294,-14.27,-7.11,,8,10,,5,8,,4,14,,60.4,66.1,,40.2,21.4,55.5,0.385,4.85,16.5,0.294,12.9,20.7,0.621,10.1,30.1,9.06,6.5,3.82,15.1,19.9
8,American,30,10,20,0.333,-8.55,-2.52,,5,9,,7,6,,3,14,,57.8,63.9,,40.5,20.5,49.7,0.413,5.9,16.3,0.362,10.9,15.3,0.709,9,29.5,11.6,3.37,2.5,12.1,14.4
9,Appalachian State,31,15,16,0.484,-7.88,-5.74,,10,8,,10,4,,4,11,,71.3,71.6,,41,25.1,57.5,0.436,6.48,18.1,0.359,14.7,21.4,0.689,11.4,31.8,11.5,6.84,3.84,13.5,18.5
10,Arizona ,35,27,8,0.771,17.31,7.48,,12,6,,14,2,,7,4,,73.4,63.6,,40.1,25.1,55.2,0.455,7.69,20.7,0.371,15.5,20.6,0.749,11.2,33.5,13.6,6.69,3.83,13.1,16.7
11,Arizona State,35,22,13,0.629,8.82,4.57,,9,9,,16,4,,4,7,,71.8,67.5,,40.7,25.8,56.1,0.459,7.14,20.6,0.346,13.1,20.2,0.649,9.66,33.4,14.2,6.34,6.03,12.7,15.8
12,Arkansas,32,19,13,0.594,9.83,4.99,,10,8,,17,1,,1,9,,73.7,68.8,,40.3,26.6,61.3,0.435,6,20,0.3,14.4,21.5,0.672,12.1,31.8,14.8,9.22,4.97,11.6,20.3
13,Arkansas State,31,19,12,0.613,0.79,-4.34,,12,8,,13,2,,5,9,,68.6,62.7,,41.1,22.7,56,0.406,6.35,20.4,0.311,16.8,24.6,0.682,12.6,33.5,10.5,8.26,3.06,13.2,17.5
14,Arkansas-Pine Bluff,30,16,14,0.533,-12.21,-8.28,,15,3,,9,0,,6,12,,62.7,66.6,,40.2,22.8,56.9,0.4,5.3,17.5,0.302,11.8,18.8,0.631,11.7,31.5,12.7,9.9,3.3,14.4,17.8
15,Army,31,16,15,0.516,-1.48,-4.51,,8,6,,9,4,,6,10,,72.4,68.1,,40.4,24.7,55.6,0.445,8.06,21.8,0.37,14.9,20.3,0.734,10.6,32.7,14.3,5.16,3.19,14.1,19.4
16,Auburn,32,9,23,0.281,0.23,4.2,,3,15,,7,10,,1,9,,64.8,68.8,,40.8,22.7,55.5,0.409,5.72,18.4,0.311,13.7,19.6,0.7,10.3,30.6,12.4,6.94,3.88,13.3,20.5
17,Austin Peay,31,8,23,0.258,-12.31,-4.28,,4,12,,5,8,,2,12,,71.5,76.5,,40.8,25.3,55.3,0.457,7.29,19,0.383,13.7,20.4,0.673,10.2,31,14.7,6.26,5.13,16.2,15.8
18,Ball State,30,15,15,0.5,-6.7,-3.14,,8,8,,8,8,,7,6,,65.2,68,,40,21.9,51.4,0.425,5.9,18.1,0.327,15.6,23.9,0.652,12.3,33,11.8,6.43,2.37,15.2,17.2
19,Baylor,37,23,14,0.622,15.07,7.12,,9,9,,15,5,,4,7,,76,66.4,,40.2,27.1,58.9,0.46,6.95,19.7,0.353,14.9,21.5,0.691,12,34.6,15.8,6.57,4.49,11.9,17.1
20,Belmont ,33,26,7,0.788,10.41,-0.92,,14,2,,13,0,,9,4,,76.8,64.5,,40.2,27.5,55.9,0.491,8.45,22.1,0.383,13.4,18.3,0.732,9.27,29.3,15.6,9.76,2.67,13.3,18.3
21,Bethune-Cookman,34,14,20,0.412,-9.51,-6.41,,7,9,,9,4,,2,14,,67.1,68.2,,40.3,24,57.6,0.416,5.59,18.2,0.306,13.6,21.8,0.624,12.5,31.4,12.9,7.24,3.68,12.4,20.5
22,Binghamton,30,3,27,0.1,-18.51,-3.68,,1,15,,2,12,,1,14,,55.9,69.4,,40,19.6,52.7,0.372,5.2,18.2,0.286,11.5,17.8,0.645,10.1,31.4,8.23,5.77,2.47,15.4,16.9
23,Boise State ,32,21,11,0.656,9.38,5.21,,9,7,,14,1,,5,8,,73.2,65.5,,40.2,25.8,55.9,0.46,7.78,19.9,0.391,13.9,18.7,0.747,10.1,30.9,13.2,6.63,1.69,12,18.7
24,Boston College,33,16,17,0.485,6.11,7.04,,7,11,,12,6,,3,7,,67.1,68.1,,40.2,22.7,51.5,0.441,7.09,20.1,0.353,14.6,20.5,0.712,8.76,28.8,12.2,5.58,2.61,11.4,15.7
25,Boston University,30,17,13,0.567,-0.58,-3.92,,11,5,,9,3,,7,9,,67.8,64.5,,40.3,24.6,54.9,0.449,8,21.6,0.37,10.6,14.5,0.727,8.47,28.7,13.6,7.43,1.77,12.5,16.8
26,Bowling Green State,32,13,19,0.406,-3.32,-1.75,,7,9,,11,5,,1,12,,62.8,63.5,,40.6,23.5,56.1,0.419,4.94,16.1,0.306,10.8,15.1,0.715,10.9,31.3,12,7.38,4.25,12.8,16.1
27,Bradley,35,18,17,0.514,1.25,1.96,,7,11,,14,4,,4,10,,67.7,68.5,,40.3,25,57.3,0.437,5.29,16.6,0.319,12.4,17.1,0.723,10.7,29.9,12.5,9.09,2.4,11.9,17.6
28,Brigham Young,36,24,12,0.667,10.63,3.72,,10,6,,15,3,,7,5,,77.1,69.5,,40,27.8,60.8,0.457,5.92,17.5,0.338,15.7,21.6,0.728,12,35.5,16,8.08,2.47,12,18.8
29,Brown,28,13,15,0.464,-6.32,-3.02,,7,7,,8,5,,5,10,,62.4,64.3,,40.9,21.8,53.2,0.409,7.32,21.2,0.345,11.5,18.3,0.631,10.9,33.1,12.5,6.61,3.68,14.1,16.8
30,Bryant,31,19,12,0.613,-2.07,-4.71,,12,6,,11,5,,8,7,,74,71.4,,40.2,26.2,54.6,0.48,7,19.7,0.356,14.6,20.2,0.722,9.77,30.4,15.2,5.1,1.13,12.9,16.5
31,Bucknell ,34,28,6,0.824,6.96,-1.95,,12,2,,14,1,,12,4,,67,57.8,,40,24.1,53.1,0.453,4.62,12.9,0.358,14.2,19.2,0.742,9.06,33.6,13.4,3.47,4.09,9.44,14.6
32,Buffalo,34,14,20,0.412,-1.94,-0.34,,7,9,,9,6,,4,10,,66.9,67.3,,40.3,23.4,52,0.449,6.32,18.2,0.347,13.9,19.7,0.703,11.4,32.5,15,5.53,4.59,15.4,18.6
33,Butler ,36,27,9,0.75,11.01,6.09,,11,5,,14,2,,7,4,,69.3,63.9,,40.1,24.1,53.6,0.45,6.64,19.1,0.347,14.4,20.7,0.696,11.6,33.7,12.9,5.72,2.61,13.2,17.9
34,Cal Poly,32,18,14,0.563,-0.77,-0.94,,12,6,,13,1,,4,12,,64.8,63.1,,40.3,22.5,53,0.424,7.09,18.9,0.375,12.8,17.6,0.725,10.5,28.5,13.8,5.75,1.72,9.44,17.2
35,Cal State Bakersfield,30,14,16,0.467,-6.49,-2.22,,,,,9,4,,3,11,,68,69,,40.7,23.7,56.6,0.418,6.63,19.7,0.337,14.1,20.1,0.7,11.4,30.3,12.7,7.37,1.87,14.1,20.3
36,Cal State Fullerton,32,14,18,0.438,-3.27,-3.33,,6,12,,6,7,,6,10,,76.6,74.4,,40,26.7,56.8,0.47,8.31,22,0.378,14.8,19.6,0.758,8.38,26.8,14.8,7.75,1.63,12.5,18.6
37,Cal State Northridge,31,14,17,0.452,-4.18,-2.22,,5,13,,6,7,,5,10,,75.3,74.5,,40,26.4,60.5,0.436,5.26,15.6,0.336,17.2,23.5,0.733,13.7,34,15.3,8.45,2.94,13.6,19.5
38,California ,33,21,12,0.636,10.59,7.71,,12,6,,11,5,,6,5,,67.2,64.3,,40.2,25.2,56.8,0.444,4.06,13.4,0.302,12.7,17.7,0.715,10.9,34.4,14.2,5.82,4.67,12.6,16.6
39,Campbell,33,13,20,0.394,-10.23,-5.53,,7,9,,8,8,,4,9,,69.2,72.6,,40.9,25.9,58.2,0.445,4.09,13.3,0.307,13.3,18.8,0.709,11.5,30.5,14,7.58,3.33,13.8,18.8
