,,Overall,,,,,,,Conf.,,,Home,,,Away,,,Points,,,Totals,,,,,,,,,,,,,,,,
40,Canisius,34,20,14,0.588,2.38,-0.98,,11,7,,12,4,,8,9,,73.5,70.1,,40.3,25.2,56.6,0.446,9.21,23.9,0.386,13.9,19.4,0.716,11.8,31.6,12.7,5.82,3.26,13.2,17
41,Central Arkansas,30,13,17,0.433,-10.89,-6.14,,7,11,,8,7,,5,8,,76.5,78.6,,41,28.5,65.6,0.435,7.13,20.3,0.352,12.3,19.4,0.632,13.9,34.9,14.1,7.87,4,14.4,20.9
42,Central Connecticut State,30,13,17,0.433,-8.23,-4.03,,9,9,,6,6,,7,10,,72.9,77.1,,40.7,26.2,61.1,0.428,7.07,20.1,0.352,13.5,18.4,0.732,10.4,30.2,12.6,7.5,4.33,12.6,16.1
43,Central Michigan,31,11,20,0.355,-6.15,-1.22,,4,12,,6,6,,2,13,,67.5,71.8,,40.3,21.9,53.7,0.409,8.06,24.3,0.332,15.5,21.3,0.731,10.6,28,13,6.71,2.1,13,16.6
44,Charleston Southern,32,19,13,0.594,-1.92,-5.48,,12,4,,11,3,,6,9,,73.8,67,,40.3,25.6,60.5,0.422,9.28,25.8,0.36,13.4,18.9,0.707,13.3,35,12.3,7.34,2.72,12.3,15.8
45,Charlotte,33,21,12,0.636,2.72,2.78,,8,8,,12,3,,5,7,,67.5,67.6,,40.3,24,54.7,0.44,3.45,12.9,0.268,16,24.5,0.654,12.8,34.3,11.7,7.45,3.12,15.3,19.7
46,Chattanooga,32,13,19,0.406,-10.43,-4.93,,8,10,,8,9,,4,9,,69.3,72.4,,40.3,23.8,56.9,0.418,5.22,17.5,0.298,16.5,24.8,0.665,13.1,34.3,11.9,6.88,2.03,14,17.8
47,Chicago State,33,11,22,0.333,-11.79,-4.92,,3,5,,8,5,,2,16,,65.2,69,,40.8,23.6,59.1,0.4,7,21,0.334,11,15.1,0.727,11.2,29.9,12.3,9.42,2.85,14.7,20.5
48,Cincinnati ,34,22,12,0.647,14.47,6.94,,9,9,,13,5,,4,5,,66.5,59,,40.4,23.3,57.7,0.403,6.76,21.4,0.316,13.2,20.5,0.647,14.4,35.9,12.2,7.06,6.12,12.7,17.8
49,Clemson,31,13,18,0.419,5.85,4.46,,5,13,,8,7,,3,9,,61.5,60.1,,40,22.5,53,0.424,5.06,16,0.317,11.5,17.5,0.654,10.6,30.5,10.8,6.71,4.77,11.5,16
50,Cleveland State,32,14,18,0.438,-7.33,-0.16,,5,11,,9,5,,3,13,,64.1,69.6,,40.2,22.9,54.2,0.423,6.44,18.8,0.343,11.8,16.7,0.708,10.6,27.8,12.2,7.28,2.97,14.1,19.6
51,Coastal Carolina,29,14,15,0.483,-5.56,-5.18,,9,7,,12,4,,2,11,,67,63.4,,40.2,24.6,56.1,0.439,4.48,14.4,0.31,13.3,20.2,0.656,13.8,33.7,10.6,8.62,2.1,14.1,18.6
52,Colgate,32,11,21,0.344,-8.72,-2.57,,5,9,,7,5,,3,16,,63.5,69.7,,40.1,23,55,0.418,6.88,20.1,0.342,10.7,15.2,0.707,9.06,32.2,12.9,4.63,2.84,13.2,17.5
53,College of Charleston,35,24,11,0.686,0.2,-3.83,,14,4,,10,7,,11,2,,65.6,62.2,,40,22.9,52,0.441,5.97,17.2,0.347,13.8,20.1,0.686,11.2,34.1,11.2,4.26,4.29,13.3,14.3
54,Colorado ,33,21,12,0.636,11.91,7.91,,10,8,,12,3,,5,7,,67.6,63.6,,40.6,23.5,54.2,0.433,5.39,15.7,0.344,15.2,22.2,0.686,11.5,34.2,9.94,6.97,3.18,13.3,15.9
55,Colorado State ,35,26,9,0.743,13.6,5.84,,11,5,,16,1,,6,6,,72.9,63.7,,40.1,25.2,56,0.449,5.14,15.2,0.338,17.5,24.4,0.715,14.1,37.1,12.7,4.63,2.11,11.1,17.1
56,Columbia,28,12,16,0.429,-3.24,-3.47,,4,10,,6,7,,5,9,,62.4,60.5,,40,21.6,51.3,0.421,6.46,18.6,0.347,12.8,17.1,0.745,9.29,28.6,12,6.14,2.57,10.9,18.6
57,Connecticut,30,20,10,0.667,11.89,7.42,,10,8,,13,3,,4,5,,69.9,65.4,,41.5,24.2,54.8,0.442,6.37,18.7,0.34,15,20.2,0.743,9.2,29.2,13.7,7.47,4.53,12.2,16.2
58,Coppin State,32,8,24,0.25,-12.64,-4.19,,5,11,,4,7,,4,15,,63.6,71.2,,40.6,21.5,58.7,0.366,7.59,24,0.316,13.1,18.8,0.696,11.6,29.3,10.3,7.81,1.78,14.8,18
59,Cornell,31,13,18,0.419,-7.25,-2.35,,5,9,,4,10,,7,8,,65.8,69.9,,40,23.6,55.7,0.424,6.71,19.6,0.342,11.9,16.9,0.704,9.94,29.8,11.7,6.77,3.58,13.3,17.7
60,Creighton ,36,28,8,0.778,16.43,5.15,,13,5,,15,2,,7,5,,74.4,63.2,,40,26.2,52.3,0.501,8.53,20.6,0.414,13.6,17.9,0.759,8.33,32.6,16.9,4.83,2.56,12.3,16.3
61,Dartmouth,28,9,19,0.321,-9.2,-3.16,,5,9,,6,7,,3,12,,61.4,65.9,,40.2,21.4,52.4,0.408,5.68,16.9,0.337,13,17.8,0.729,9.79,29.2,10.6,6.96,2.54,13.5,18.9
62,Davidson ,34,26,8,0.765,7.3,-3.43,,17,1,,12,1,,9,4,,73.2,62.1,,40.1,24.6,53.3,0.462,7.53,20.4,0.369,16.5,20.7,0.795,9,30.8,13.9,5.56,2.97,10.9,17.7
63,Dayton,31,17,14,0.548,9.37,4.28,,7,9,,13,4,,2,8,,71.8,66.7,,40.3,25.4,53.4,0.475,5.87,15.3,0.384,15.2,21.2,0.717,11,31.4,14,5.58,2.58,14.5,19.8
64,Delaware,33,19,14,0.576,-0.76,-0.79,,13,5,,9,4,,8,7,,69,68.9,,40.6,23.5,55.5,0.423,4.36,14.1,0.309,17.6,23.3,0.754,11.5,35.4,9.67,5.39,4.55,12.7,16.8
65,Delaware State,33,15,18,0.455,-11.18,-5.89,,8,8,,8,3,,5,12,,60.5,63.5,,40.8,21.5,52.5,0.41,5.55,18.8,0.295,12,17.4,0.69,11.1,28.7,9.88,6.91,5.61,13.7,15.6
66,Denver,32,22,10,0.688,9.18,0.24,,16,2,,14,2,,8,7,,64.9,55.9,,40.2,23.1,48.1,0.48,7.88,21,0.375,10.8,15,0.719,6.25,22.7,16.1,9,4.53,11.2,17.4
67,DePaul,32,11,21,0.344,1.71,5.61,,2,16,,7,10,,4,8,,71.4,75.3,,40.5,26.5,61,0.434,4.84,16.2,0.299,13.6,19.3,0.704,12,30.4,13.8,8.28,4.16,14.3,19.1
68,Detroit Mercy,33,20,13,0.606,6.72,1.62,,12,4,,13,2,,7,10,,77.8,70.9,,40,27.5,60.3,0.456,7.09,20.8,0.342,15.7,21.5,0.729,11.3,30.2,14.6,8.27,3.39,10.9,17.8
69,Drake,32,15,17,0.469,3.42,5.13,,7,11,,9,6,,4,7,,71.8,72.5,,40.5,24.2,54.1,0.447,8.72,22.5,0.388,14.6,20.3,0.717,8.03,28.9,13.5,5.72,2.19,13.8,19.5
70,Drexel,31,13,18,0.419,-1.06,-0.96,,9,9,,5,9,,7,6,,63,63.1,,40.8,21.9,53.3,0.412,5.84,17.4,0.335,13.3,17.8,0.745,11.2,31.1,11.7,5.1,1.87,11.8,18.7
71,Duke ,36,30,6,0.833,21.46,9.57,,14,4,,16,0,,5,4,,77.2,65.3,,40,26.7,56.5,0.472,7.5,18.8,0.399,16.3,22.1,0.739,9.36,31.1,14.3,6.44,3.75,10.6,17.9
72,Duquesne,30,8,22,0.267,-4.52,3.51,,1,15,,6,9,,2,12,,67.6,75.6,,40.3,23.8,58.2,0.409,8.13,24.1,0.338,11.9,18.4,0.644,11.6,32.2,12.8,5.2,3.57,14.6,17.4
73,East Carolina,35,23,12,0.657,2.57,0.82,,9,7,,17,4,,6,7,,76.5,71,,40.4,26.3,58.3,0.452,7.83,22.4,0.349,16,22.4,0.716,10.7,33.1,17.2,7.97,4.46,12.7,17.7
74,East Tennessee State,32,10,22,0.313,-11.53,-2.11,,8,10,,5,8,,5,11,,62.3,71.4,,40.2,22.1,54.7,0.404,6.5,19.9,0.327,11.6,17.3,0.668,9.75,28,10.1,6.34,2.22,13.2,16
75,Eastern Illinois,32,11,21,0.344,-8.92,-5.08,,6,10,,5,9,,4,11,,60.4,64.2,,40.2,21.6,49.4,0.437,6,17.1,0.35,11.2,16.9,0.664,9.44,26.8,13.1,6.47,2.09,12.9,16.5
76,Eastern Kentucky,35,25,10,0.714,1.7,-3.88,,12,4,,15,1,,9,8,,73.9,65.8,,40.3,25.4,54.4,0.467,8.77,24.7,0.355,14.4,18.4,0.781,8.8,25.1,14.9,8.86,2.17,11.8,19.4
77,Eastern Michigan,34,16,18,0.471,-6.25,-1.25,,7,9,,13,5,,2,12,,56.6,59.1,,40.1,20.6,51.5,0.401,4.85,14.7,0.33,10.5,15.7,0.67,11.8,29.8,10.7,7.91,4.97,13.9,16.8
78,Eastern Washington,31,10,21,0.323,-10.87,-5.58,,7,13,,7,7,,2,13,,69.2,74.5,,40.6,24.2,58.4,0.415,8.52,25,0.341,12.3,18.7,0.655,11,33,13.4,5.29,5.68,13.4,18.4
79,Elon,33,21,12,0.636,-3.55,-5.16,,13,5,,12,3,,8,8,,68.9,65,,40.5,24.7,57.1,0.432,7.82,22.7,0.344,11.7,16.5,0.713,9.18,31.4,13.5,6.61,3.42,11.7,16.9
80,Evansville,36,21,15,0.583,5.26,2.91,,10,8,,15,3,,5,11,,69.2,65.9,,40.4,25,57.1,0.438,5.75,15.7,0.366,13.4,18.1,0.741,10.5,30.3,15.9,5.92,2.94,11.3,17.6
81,Fairfield,35,19,16,0.543,-0.53,-1.99,,9,9,,6,5,,8,10,,60.6,59.2,,40.3,22.3,52.7,0.423,5.69,18,0.316,10.4,15.2,0.685,11.1,30.2,12.7,7.09,3.83,13.5,19.7
82,FDU,31,7,24,0.226,-17.99,-4.64,,2,16,,2,10,,3,14,,65.6,79,,40.3,23.4,54,0.432,6.13,17.5,0.35,12.8,19,0.671,8.84,27.1,13,5.77,3.26,15.7,18.4
83,Florida ,37,29,8,0.784,23.88,6.85,,14,4,,15,0,,7,5,,71.4,54.4,,40,25.9,54.3,0.478,8.11,21.5,0.378,11.4,16.8,0.677,10.3,31.9,14.6,7.16,3.24,10.8,14
84,Florida A&M,31,8,23,0.258,-16.11,-6.17,,5,11,,6,4,,1,17,,65,72.1,,40.6,23.6,59.6,0.396,5.52,18.1,0.305,12.3,19.5,0.627,12.7,30.5,11,8.26,3.32,15.6,19.6
85,Florida Atlantic,32,14,18,0.438,-5.84,-2.45,,9,11,,11,4,,3,13,,65.4,67.6,,40.6,22.9,54.2,0.422,6.09,16.9,0.36,13.5,19.3,0.701,11.3,33.2,10.1,5.22,5.16,15.3,18.1
86,Florida Gulf Coast ,37,26,11,0.703,3.01,-1.82,,13,5,,15,1,,6,9,,72.9,66.7,,40.4,26.4,57.1,0.462,6.68,19.5,0.342,13.4,19.9,0.675,11.1,33.1,14.1,8.95,3.76,14.7,17.5
87,Florida International,32,18,14,0.563,-2.05,-2.08,,11,9,,10,3,,6,10,,69.1,69,,40,23.9,56.1,0.427,7,21,0.333,14.2,20.1,0.707,11,29.4,11.5,9.34,2.72,15.1,18.8
88,Florida State,34,18,16,0.529,5.71,7.26,,9,9,,10,8,,3,7,,67,68.6,,40,22.9,51.7,0.444,5.76,16.6,0.348,15.4,20.9,0.735,9.47,28.1,11.3,6.18,5.06,14.6,17.7
89,Fordham,31,7,24,0.226,-6.88,4.6,,3,13,,4,7,,1,15,,64.4,75.9,,40,23.2,57.6,0.402,5.42,17.4,0.311,12.7,18.8,0.674,13.4,34.5,12.2,4.94,4.1,15.7,20.3
90,Fresno State,30,11,19,0.367,3.19,6.44,,5,11,,6,8,,5,10,,59.9,61,,40.3,20.3,52.2,0.39,6.07,17.4,0.348,13.2,19.8,0.668,10.6,28.9,9.17,7.2,3.47,11.6,19.4
91,Furman,31,7,24,0.226,-17.42,-5.25,,3,15,,5,9,,1,14,,60.3,70.3,,40,20.8,51,0.408,6.1,18.2,0.335,12.6,18.3,0.69,9.48,28.5,11,5.29,3.74,14.5,15.6
92,Gardner-Webb,34,21,13,0.618,-3.17,-5.88,,11,5,,12,3,,6,9,,65.8,60.8,,40.7,23.3,55,0.423,5.59,17.1,0.326,13.6,19.1,0.715,12.4,32.1,12.9,7.85,2.65,13.5,17.2
93,George Mason,38,22,16,0.579,2.03,-0.15,,10,8,,10,7,,8,6,,68.1,65.9,,40.4,24.3,55.6,0.437,5.34,15.4,0.346,14.2,19.6,0.725,11.8,31.2,12.4,7.37,2.71,13.6,20.3
94,George Washington,30,13,17,0.433,4.24,3.51,,7,9,,7,7,,5,9,,66.3,65.5,,40.2,24.4,55.3,0.441,2.8,10,0.279,14.7,22.3,0.657,13.4,34.2,13.4,7.77,4.9,16,17.6
95,Georgetown ,32,25,7,0.781,15.86,7.61,,14,4,,16,1,,6,3,,64.7,56.4,,40.6,23,50.8,0.453,5.91,16.8,0.353,12.7,18.7,0.679,9.28,30,14.8,7.5,3.84,12.7,17.4
96,Georgia,32,15,17,0.469,5.39,6.17,,9,9,,12,6,,3,8,,60.8,61.6,,40.6,19.9,48.7,0.408,5.88,16.4,0.357,15.2,21.9,0.694,10.4,32.6,11.6,5.63,4.16,14.6,16.9
97,Georgia Southern,33,14,19,0.424,-9.62,-4.98,,7,11,,7,6,,5,11,,62.1,65.1,,40.5,21.8,52.2,0.419,5.61,16.4,0.341,12.8,18.6,0.688,10.3,29.3,9.64,6.88,2.21,13.2,18.2
98,Georgia State,31,15,16,0.484,-2.01,-2.38,,10,8,,9,7,,6,9,,68.2,66.9,,40.5,23.8,54.4,0.439,7.06,19.7,0.358,13.5,18.9,0.712,9.74,28.9,11.7,7.74,4.1,11.5,17.2
99,Georgia Tech,31,16,15,0.516,6.62,4.69,,6,12,,11,6,,3,7,,64.3,62.4,,40.2,24.2,57.8,0.419,5.58,17.5,0.318,10.3,16.2,0.635,11.8,34.6,12.7,5.87,4.16,12.9,16.7
100,Gonzaga ,35,32,3,0.914,20.44,4.14,,16,0,,15,1,,10,1,,77,59.9,,40,27.5,55.3,0.497,6.46,17.4,0.371,15.7,22.2,0.705,11.7,34.1,15.1,7.91,2.74,11.2,15.7
101,Grambling,28,0,28,0,-35.87,-9.19,,0,18,,0,9,,0,18,,49.7,76.4,,40,18.5,51.3,0.361,5.11,16.4,0.312,7.5,12.8,0.587,9.82,25.1,10.4,4.39,2.29,17.5,17.6
102,Green Bay,34,18,16,0.529,1.66,-0.28,,10,6,,12,3,,4,12,,66.1,63,,40.3,22.9,52.1,0.438,4.82,14.3,0.337,15.6,20.7,0.75,10.4,32.1,13.4,5.91,4.76,13.4,17.3
103,Hampton,31,14,17,0.452,-9.32,-7.8,,11,5,,7,7,,7,8,,62.5,64,,40.6,21.9,55.8,0.392,4.35,16.5,0.263,14.4,21.5,0.666,12.7,35.6,11.4,7.45,4.77,17,20.5
104,Hartford,31,17,14,0.548,-5.83,-4.7,,10,6,,10,5,,7,8,,60.1,61.2,,40,20.8,50.9,0.409,7.58,22.7,0.334,10.9,15.6,0.697,8.52,26.3,12.3,8.16,1.97,14.3,18.9
105,Harvard ,30,20,10,0.667,3.96,0.17,,11,3,,13,1,,6,8,,68.3,64.1,,40.5,22.6,47.5,0.475,6.37,16,0.398,16.8,23.2,0.723,7.3,26.5,13.1,7.27,4.2,13.3,15.2
106,Hawaii,32,17,15,0.531,-3.37,-2.54,,10,8,,13,7,,4,7,,73,72,,40.2,26.1,57.8,0.452,6.09,17.8,0.343,14.7,21.3,0.687,12.5,35.1,13.9,5.31,3.44,14.4,16.6
107,High Point,31,17,14,0.548,-4.64,-7.23,,12,4,,10,5,,6,8,,71.6,66.2,,40.3,26.5,59.4,0.447,4.45,14.3,0.312,14.1,19.6,0.718,12.8,34.1,14.7,7.32,4.32,12.1,18.6
108,Hofstra,32,7,25,0.219,-10.74,-1.9,,4,14,,6,9,,1,14,,58.5,66.6,,40.3,20.6,53.7,0.383,4.41,15.2,0.29,13,20.8,0.627,12.8,31.8,9.75,6.34,3.44,14.5,16.8
109,Holy Cross,30,12,18,0.4,-6.12,-2.96,,4,10,,7,5,,4,12,,61.1,64.3,,40.2,21.5,51.8,0.414,6.5,19,0.342,11.7,15.5,0.753,9.07,30,12.2,3.87,3.5,12.4,17.1
110,Houston,33,20,13,0.606,-0.3,-3.77,,7,9,,14,4,,5,8,,78.1,73.3,,41.1,27.6,59.5,0.464,6.03,16.7,0.361,16.8,23.7,0.71,12.1,35.7,15.2,6.7,3.85,13.1,18.2
111,Houston Christian,31,14,17,0.452,-15.25,-8.1,,3,5,,7,5,,3,12,,63.9,67.1,,40.6,23,55.5,0.414,4.55,14.2,0.32,13.5,20.3,0.664,11.9,32.1,11.3,6.94,2.77,17.2,19.8
112,Howard,31,7,24,0.226,-14.41,-5.34,,4,12,,5,7,,2,13,,52.1,60.3,,40,18.5,50.5,0.365,3.26,13.2,0.248,11.9,18,0.663,12.3,30.3,8.87,6.32,3.29,14.9,17.4
113,Idaho,30,12,18,0.4,-2.23,0.29,,7,11,,6,8,,6,8,,68.3,69.3,,40.3,23.8,51.1,0.467,6.4,17.4,0.368,14.3,19.2,0.743,9.8,31.4,13.1,4.1,2.83,13.5,16.6
114,Idaho State,30,6,24,0.2,-13.08,-4.94,,5,15,,5,7,,1,14,,57,64.3,,40.3,19.6,48.1,0.407,5.43,17.2,0.317,12.4,18.3,0.681,7.9,25.5,10.2,6.97,3.33,12,15.8
115,Illinois ,36,23,13,0.639,13.18,10.04,,8,10,,12,4,,6,6,,68.5,64.8,,40.1,23.8,57.9,0.412,7.78,24.3,0.321,13,17.9,0.726,11.9,30.5,10.1,6.81,3.94,11.4,18
116,Illinois State,33,18,15,0.545,9.61,3.7,,8,10,,11,5,,5,8,,74.5,68.6,,40.3,26.4,58,0.455,7.33,21.1,0.347,14.4,19.9,0.723,10.4,32.5,14.8,7.24,4.36,13.1,18.2
