,,Overall,,,,,,,Conf.,,,Home,,,Away,,,Points,,,Totals,,,,,,,,,,,,,,,,
10,Appalachian State,33,15,18,0.455,-4.83,-2.67,,9,9,,9,4,,4,11,,76.4,74.2,,40.6,26.2,60.1,0.436,8.85,26,0.34,15.2,22.7,0.668,11.8,39.2,12.5,6,3.55,13.8,19
11,Arizona ,35,27,8,0.771,15.67,6.84,,14,4,,15,1,,8,3,,80.5,71.7,,40.6,28.8,57.2,0.504,6.77,18.3,0.369,16.1,21.2,0.76,10.1,36.5,15.2,4.94,4.51,12.2,17.2
12,Arizona State ,32,20,12,0.625,14.37,6.55,,8,10,,13,4,,4,6,,82.7,74.8,,40.3,27.8,60,0.463,9,24.8,0.363,18.2,24.8,0.733,9.84,35.2,14.3,6.53,3.56,10.7,18.9
13,Arkansas ,35,23,12,0.657,14.76,9.85,,10,8,,15,2,,3,7,,80.5,75.6,,40.4,28.7,60.5,0.474,7.69,19.5,0.395,15.4,22.7,0.681,10,34.5,14.3,6.23,4.66,10.9,20
14,Arkansas State,32,11,21,0.344,-9.65,-3.02,,6,12,,7,7,,4,13,,74,78.8,,40.3,26.3,59.7,0.44,7.38,21.7,0.34,14.1,19.6,0.718,11.2,33.5,10.8,6.72,2.97,13.1,18.4
15,Arkansas-Pine Bluff,35,14,21,0.4,-14.84,-9.36,,12,6,,7,3,,6,13,,65.9,71.4,,40.3,23.3,53.2,0.437,6.2,18.9,0.329,13.1,19.5,0.675,7.97,29.3,12.2,7.86,4.11,14.3,19.5
16,Army,30,13,17,0.433,-8.62,-7.17,,6,12,,6,5,,4,12,,74.3,74.1,,40.2,27.3,61.5,0.444,9.83,25.7,0.383,9.83,14.9,0.658,10.1,35.8,16.7,5.67,2.77,13.4,19.8
17,Auburn ,34,26,8,0.765,15.97,7.29,,13,5,,15,1,,7,4,,81.9,73.2,,40,26.6,61.8,0.431,9.53,26.7,0.357,19,24.6,0.774,12,37.9,14.1,7.41,5.29,12.1,19.8
18,Austin Peay,34,19,15,0.559,-3.28,-2.5,,12,6,,13,5,,5,9,,73.9,71.9,,40.3,26.9,59.2,0.455,5.94,17.4,0.341,14.1,21.7,0.651,13.1,35.6,13.3,6.62,3.03,14.1,19.7
19,Ball State,32,19,13,0.594,-1.22,-2,,10,8,,14,2,,5,10,,75.3,73.8,,40.5,26.8,59.2,0.452,7.66,22.7,0.337,14.2,20.1,0.705,10,37.8,14.2,5.31,3.5,13.2,17.1
20,Baylor,34,19,15,0.559,14.6,9.17,,8,10,,15,5,,2,9,,75.6,69.7,,40.4,27.7,59,0.469,6.38,17.9,0.357,13.8,18.8,0.734,11.8,38,15.2,5.44,4.47,13.6,17.9
21,Belmont,33,24,9,0.727,5.54,-2.88,,15,3,,14,2,,9,6,,77.6,69.2,,40,27.3,56.2,0.486,11.5,30.5,0.376,11.6,15.7,0.739,7.82,34.3,16,4.88,2.48,12.4,16.1
22,Bethune-Cookman,32,18,14,0.563,-12.19,-12.46,,12,4,,10,3,,8,10,,81.9,79.5,,40.3,28.2,63.7,0.443,7.53,23.7,0.318,18,25.6,0.701,13.3,42.1,15.7,6.31,3.84,15.8,20.9
23,Binghamton,31,11,20,0.355,-10.27,-6.34,,2,14,,7,7,,3,12,,69.3,70.4,,40.2,25.4,57.3,0.443,7.58,21.6,0.35,10.9,17,0.64,9.13,34.4,12.1,5.48,4.23,12.3,16.8
24,Boise State,32,23,9,0.719,11.21,3.05,,13,5,,15,1,,6,6,,78.2,69.1,,40.6,27.4,59.5,0.461,9.59,25.3,0.379,13.7,18.6,0.738,10,38.5,13.3,5.72,2.19,13.5,17.9
25,Boston College,35,19,16,0.543,9,7.2,,7,11,,14,3,,2,11,,76.4,74.6,,40.4,27.1,60.1,0.45,8.51,23.7,0.359,13.7,18.5,0.741,10.5,36.9,14.1,5,3.14,12.6,16.3
26,Boston University,31,15,16,0.484,-8.33,-5.83,,10,8,,6,7,,9,9,,70.5,71.8,,40,25.8,55.8,0.462,7.39,19.8,0.373,11.5,18,0.639,9.71,33.7,13.5,7.39,3.32,13.8,17.1
27,Bowling Green State,32,16,16,0.5,-6.38,-2.88,,7,11,,9,6,,6,9,,75.9,77.8,,40.8,25.8,61.3,0.421,7.53,21.6,0.349,16.7,22.8,0.732,11.6,38.3,13.3,5.91,2.56,12.8,17.8
28,Bradley,33,20,13,0.606,2.07,0.35,,9,9,,13,2,,4,9,,67.4,64.7,,40,23.3,54.2,0.43,6.58,18.6,0.354,14.2,20.2,0.707,10.9,35.7,13.5,6.48,4.03,13.4,19
29,Brigham Young,35,24,11,0.686,8.05,1.53,,11,7,,13,3,,7,6,,74.3,67.8,,40.4,26.3,54.4,0.482,6.43,18.5,0.347,15.3,20.5,0.75,6.91,32.7,15.2,6.4,3.8,11.5,17
30,Brown,27,11,16,0.407,-7.78,-4.67,,4,10,,8,5,,3,11,,77,79,,40.7,25.7,60.4,0.426,6.89,21.8,0.316,18.7,24.7,0.756,11.5,36.6,12.5,6.44,3,13.5,20.9
31,Bryant,31,3,28,0.097,-18.75,-5.42,,2,16,,1,11,,2,17,,70,83.3,,40.2,24.9,60.7,0.41,8.35,24.4,0.343,11.9,16.8,0.705,10.1,32.3,13.5,6.13,1.39,12.9,19.4
32,Bucknell ,35,25,10,0.714,4.49,-3.46,,16,2,,15,1,,10,8,,81.1,73.1,,40.6,27.6,58.6,0.471,8,23,0.348,17.9,24.9,0.719,9.29,36.6,14.4,5.54,4.34,12.5,18.7
33,Buffalo ,36,27,9,0.75,7.99,0.25,,15,3,,14,1,,8,5,,84.6,76.2,,40.4,30.7,64.8,0.473,9.75,26.3,0.37,13.5,19.3,0.699,11.9,38.6,16.6,6.25,4.06,12.4,21
34,Butler ,35,21,14,0.6,16.92,10.55,,9,9,,14,3,,3,7,,78.9,72.6,,40.9,29.1,61.6,0.473,8.2,23,0.357,12.5,16.1,0.776,9.26,34.2,14,6.63,2.86,11.2,18.3
35,Cal Poly,31,9,22,0.29,-11.56,-1.83,,4,12,,7,6,,1,13,,67.2,74.3,,41,23.3,58.6,0.397,8.61,24.1,0.358,12,15.4,0.78,9.39,33.4,12,4.97,3.94,11.8,18.2
36,Cal State Bakersfield,30,12,18,0.4,-6.58,-0.73,,5,9,,8,4,,3,12,,66,68.9,,40,23.2,55.7,0.417,6.17,20.4,0.302,13.4,19.3,0.696,11.4,35.6,12.9,6.07,2.9,13.9,19.9
37,Cal State Fullerton ,32,20,12,0.625,-0.93,-1.03,,10,6,,9,4,,7,7,,72.4,70.2,,40.3,25.1,53.8,0.467,5.22,15.6,0.334,17,23.3,0.729,8.75,35.1,12.6,6.28,3.31,14.2,18.1
38,Cal State Northridge,30,6,24,0.2,-13.5,-3.53,,3,13,,4,9,,2,13,,66.1,73.5,,40.5,24.4,56.3,0.433,6.2,17.1,0.362,11.2,15.8,0.708,8.23,31.3,12.2,4.97,2.47,12.2,17.8
39,California,32,8,24,0.25,-3.4,6.05,,2,16,,5,12,,3,8,,67.7,77.6,,40.2,24,59,0.406,4.63,16.2,0.286,15.1,22.4,0.675,13.3,35.6,9.78,6.88,4.81,14.7,20.3
40,Campbell,34,18,16,0.529,-5.68,-6.68,,10,8,,14,4,,4,11,,75.9,70.9,,40.3,26.2,54.9,0.477,9.21,23.7,0.388,14.3,19.1,0.75,6.79,31.9,14.2,6.71,4.03,11.9,17
41,Canisius,33,21,12,0.636,0.44,-4.8,,15,3,,11,3,,8,8,,76.3,71.1,,40.2,27.3,58.8,0.464,9.21,26.5,0.348,12.5,17.6,0.711,10.2,33.4,16.8,7.03,2.88,13,18.9
42,Central Arkansas,35,18,17,0.514,-5.83,-5.97,,10,8,,9,5,,8,11,,80.5,79,,40.7,28,61.8,0.453,8.17,23,0.356,16.4,22.3,0.735,10.3,36.3,16.2,6.66,5.14,13.7,19.7
43,Central Connecticut State,32,14,18,0.438,-11.62,-7.59,,7,11,,8,4,,6,14,,67.8,71.9,,40.8,24.6,54.4,0.453,6.19,18.8,0.329,12.4,17.8,0.699,10,35.3,12.4,5.03,3.34,14.8,17.2
44,Central Michigan,36,21,15,0.583,-1.39,-3.24,,7,11,,12,5,,6,9,,78.8,73.9,,40.7,26.5,60.8,0.436,9.89,28.8,0.343,15.9,19.8,0.806,11.3,36.3,13.7,6.33,3.31,11.6,15.9
45,Charleston Southern,31,15,16,0.484,-8.16,-6.16,,9,9,,9,6,,6,10,,72,68.8,,40.6,25.9,57.8,0.447,6.71,20.4,0.33,13.5,18.7,0.723,11.1,34.5,11.9,7.23,3.42,13.2,16.7
46,Charlotte,29,6,23,0.207,-10.13,0.27,,2,16,,4,11,,2,12,,71.2,79.9,,40.2,24.3,56.3,0.432,6.83,19.4,0.352,15.7,22,0.716,9.31,34.1,11,5.69,2.24,14.8,18.1
47,Chattanooga,33,10,23,0.303,-11.09,-4.05,,3,15,,8,8,,1,14,,69.4,73.5,,40.8,23.8,54.7,0.435,8.36,23.5,0.356,13.5,19,0.711,9.3,32.5,12.8,5.03,2.09,13.9,15.4
48,Chicago State,32,3,29,0.094,-21.53,1.17,,1,13,,3,8,,0,19,,67.8,86.1,,40,24.2,59.3,0.408,5.28,17.2,0.308,14.2,19.6,0.724,10.1,32.6,11.5,7.25,2.53,15.1,21.8
49,Cincinnati ,36,31,5,0.861,20.25,3.53,,16,2,,15,1,,9,2,,74.3,57.5,,40,26.2,58.3,0.45,7.28,20.6,0.353,14.5,21,0.692,13.3,39.3,15.8,7.11,5.39,11.2,15.6
50,Clemson ,35,25,10,0.714,17.16,9.25,,11,7,,15,1,,4,6,,73.8,65.9,,40.3,25.7,56.3,0.456,8.23,22.5,0.366,14.2,18.9,0.755,8.94,35.9,13.2,5.66,4.83,11.8,16.1
51,Cleveland State,35,12,23,0.343,-10.82,-3.64,,6,12,,7,7,,2,15,,68.6,74.7,,40.3,24.4,56.1,0.434,8.4,24.7,0.341,11.5,16.3,0.703,7.71,30.4,13,6.6,2.57,13.1,17
52,Coastal Carolina,32,14,18,0.438,-3.94,-2.42,,8,10,,7,9,,5,7,,71.8,70,,40.3,24.6,56.7,0.434,6.81,20.6,0.33,15.8,21.9,0.721,12.1,38.9,13.1,5.34,3.63,15,19
53,Colgate,33,19,14,0.576,-4.85,-5.72,,12,6,,13,3,,6,11,,72.5,70.2,,40,25.1,57.5,0.437,9.36,25.9,0.361,12.9,16.7,0.774,9.06,32.8,12.9,6.09,3.33,11,16.4
54,College of Charleston ,34,26,8,0.765,1.83,-3.29,,14,4,,14,0,,7,6,,74.6,68.6,,40.7,25.7,56,0.459,7.62,21.2,0.36,15.5,20.6,0.754,8.41,33.2,11.4,5.21,3.5,9.97,16.6
55,Colorado,32,17,15,0.531,6.06,7,,8,10,,12,3,,1,10,,72.1,73,,40.5,25.3,57.5,0.44,7.53,21,0.359,13.9,19.1,0.729,10.1,37.5,12.8,4.38,3.81,14.1,19.3
56,Colorado State,32,11,21,0.344,-3.86,3.79,,4,14,,8,8,,3,10,,72.3,79.3,,40.5,25.3,60.7,0.418,7.03,21.4,0.329,14.6,20.3,0.717,11.7,37.5,12.8,5.94,3.19,13.3,19.5
57,Columbia,27,8,19,0.296,-5.63,-3.02,,5,9,,7,5,,1,14,,76.4,77.2,,40.4,27.6,62.4,0.442,9.96,27.1,0.367,11.1,15.1,0.74,10.3,35.6,14.2,6.56,3.44,12.5,18.7
58,Connecticut,32,14,18,0.438,1.08,6.05,,7,11,,11,5,,2,9,,68.2,73.1,,40.6,23.8,57.3,0.416,6.72,20.6,0.326,13.8,18.5,0.745,10.5,34.3,10.4,5.94,3.72,12.6,18.5
59,Coppin State,32,5,27,0.156,-20.96,-7.24,,5,11,,4,6,,1,20,,60.8,74.5,,40.8,20.5,57,0.36,8.28,27.2,0.305,11.4,15.5,0.736,8.53,33.8,10.6,5.38,2.56,14.4,20.3
60,Cornell,28,12,16,0.429,-8.8,-3.24,,6,8,,8,4,,4,11,,75.9,80.4,,41.1,26.6,57.6,0.461,7.75,22.8,0.34,15,20.5,0.73,8.29,34.3,16,5.14,3.5,13.4,17.8
61,Creighton ,33,21,12,0.636,16.35,8.1,,10,8,,16,2,,4,7,,83.5,74.1,,40.3,30.5,62.1,0.492,10.4,28,0.372,12,16.1,0.748,7.55,36.5,17.8,5.67,2.67,11.2,15.2
62,Dartmouth,27,7,20,0.259,-10.31,-4,,3,11,,6,6,,1,14,,68.2,73,,40.2,24.1,53.9,0.448,7.41,20.6,0.359,12.6,17.6,0.714,7.7,31.4,13.3,5.63,3.19,13.5,15.6
63,Davidson ,33,21,12,0.636,11.02,2.57,,13,5,,11,1,,6,8,,76.3,67.9,,40.5,27.2,56.8,0.48,10.7,27.5,0.389,11.2,14,0.798,6.94,32.7,16.7,4.7,1.97,9.55,15.2
64,Dayton,31,14,17,0.452,1.64,2.71,,8,10,,12,4,,1,10,,72.4,73.5,,40.6,25.9,53.9,0.481,8,23.7,0.337,12.5,17.1,0.731,7.74,31.2,15.7,5.23,2.52,13.7,16.5
65,Delaware,33,14,19,0.424,-6.93,-2.96,,6,12,,7,8,,4,10,,70.8,73.6,,40.3,26,57,0.457,5.82,17.7,0.329,13,19.9,0.651,9.52,34.8,11.7,4.97,2.27,10.7,16.8
66,Delaware State,32,4,28,0.125,-24.57,-9.3,,2,14,,4,9,,0,18,,63.6,76.8,,40.6,23.2,55.7,0.417,6,18.5,0.325,11.2,16.1,0.694,10.6,33.3,10.9,5.91,2.59,15.3,17.5
67,Denver,30,15,15,0.5,-5.21,-2.53,,8,6,,10,4,,3,9,,73.1,73,,40.7,26.8,56.6,0.473,7.03,17.6,0.4,12.5,18,0.694,10.4,36.9,15.1,4.3,2.4,15,18.7
68,DePaul,31,11,20,0.355,6.55,8.45,,4,14,,6,10,,4,7,,71.9,73.8,,40.2,26.4,61.7,0.428,6.26,20.2,0.31,12.8,18.1,0.708,12.4,37.4,15,6.45,3.03,13.9,17.8
69,Detroit Mercy,32,8,24,0.25,-12.47,-2.07,,4,14,,5,11,,2,11,,78.6,85.7,,40.2,27.6,63.5,0.435,8.78,25.5,0.345,14.7,19.4,0.755,10.5,34.8,13.7,6.63,2.75,13.6,20.3
70,Drake,34,17,17,0.5,-0.51,0.58,,10,8,,11,3,,4,11,,73.7,73.4,,40.9,25.4,58,0.437,8.5,23.4,0.364,14.5,18.8,0.77,8.21,34.1,14.8,6,2.53,12.1,15.6
71,Drexel,33,13,20,0.394,-7.2,-2.48,,6,12,,9,5,,2,11,,74.4,78.5,,40.6,26.7,60.4,0.441,6.88,21.2,0.325,14.2,19.6,0.723,11.2,36.3,11.5,5.33,4.18,12.4,17.7
72,Duke ,37,29,8,0.784,24.43,9.7,,13,5,,15,1,,6,5,,84.4,69.6,,40.3,30.4,61.8,0.492,8.35,22.5,0.372,15.2,21.4,0.71,13.4,41.1,17.5,7.43,5,12.4,15.5
73,Duquesne,32,16,16,0.5,-1.08,-3.33,,7,11,,13,6,,2,7,,72.4,70.2,,40.9,25,58.6,0.427,8.16,23.3,0.35,14.2,20.7,0.685,12.1,35.9,11.9,5.81,4.38,12,18.7
74,East Carolina,30,10,20,0.333,-8.72,-0.22,,4,14,,8,11,,2,8,,66.4,74.9,,40.5,24.7,57.4,0.43,6.07,19.9,0.305,11,16.5,0.666,9.73,34,12.9,4.93,3.1,14.4,17.7
75,East Tennessee State,34,25,9,0.735,3.72,-4.09,,14,4,,12,4,,11,4,,75.2,65.9,,40,27.2,57.6,0.473,7.18,20.9,0.343,13.5,19.1,0.71,10.4,37.2,14.7,7.79,4.29,13.4,18
76,Eastern Illinois,31,12,19,0.387,-8.33,-3.4,,7,11,,7,6,,4,12,,66.6,68.4,,40.2,23.6,55.7,0.424,7.23,20.2,0.357,12.2,17.8,0.684,10.7,34.3,12.6,5.87,4.45,13.5,16.4
77,Eastern Kentucky,31,11,20,0.355,-10.57,-3.68,,5,13,,6,7,,5,12,,71.9,76.5,,40.2,25.1,57.4,0.437,7.29,20.6,0.354,14.5,19.4,0.747,9.58,33,13.1,6.23,3.65,12.9,17.5
78,Eastern Michigan,35,22,13,0.629,-0.23,-2.81,,11,7,,14,3,,7,9,,71.7,66.8,,40.4,26.7,57.4,0.464,6.69,19.9,0.335,11.7,17.1,0.683,10.2,35.1,12.9,8.66,6.49,12.8,16
79,Eastern Washington,35,20,15,0.571,-0.03,-1.54,,13,5,,11,1,,6,12,,74.8,72,,40.3,26.7,57.6,0.464,8.86,23.7,0.374,12.5,16.3,0.764,7.37,33.2,12.6,5.29,3.03,11.5,19.1
80,Elon,32,14,18,0.438,-6.89,-1.69,,6,12,,8,5,,4,12,,73.3,76.2,,41.3,26.3,59.9,0.439,10.5,30.2,0.349,10.2,14.3,0.711,8.06,35.6,15.8,4.38,2.06,11.7,15.4
81,Evansville,32,17,15,0.531,0.68,1.35,,7,11,,15,3,,2,10,,65.4,63.9,,40.2,22.8,51.6,0.442,5.75,14,0.411,14,18.1,0.775,7.72,33.1,13,5.94,2.88,13.5,17.8
82,Fairfield,33,17,16,0.515,-4.98,-3.68,,9,9,,10,3,,3,10,,75.9,77.2,,40.8,26.7,60.9,0.439,9.18,27.1,0.339,13.4,18.8,0.71,9.06,35.1,14.8,6.39,2.88,12.8,20.1
83,FDU,31,13,18,0.419,-10.41,-5.66,,9,9,,8,5,,5,13,,74.6,75.8,,40,27.2,60.3,0.451,6.87,20.1,0.342,13.4,18.5,0.726,10.9,34.4,13.4,7.1,3.23,13.7,18.1
84,Florida ,34,21,13,0.618,16.66,10.08,,11,7,,12,5,,5,4,,75.8,69.2,,40.4,26.3,60.7,0.432,9.06,24.5,0.37,14.2,19.8,0.718,10.8,35.2,13.1,6.97,4.82,9.85,17.4
85,Florida A&M,34,9,25,0.265,-19.21,-8.33,,7,9,,6,4,,2,20,,68.9,78.9,,40.7,24.4,58.3,0.419,6.38,18.1,0.352,13.6,18.9,0.724,10.2,32.2,10.9,5.71,3.06,13.9,18
86,Florida Atlantic,31,12,19,0.387,-5.35,-0.14,,6,12,,7,7,,4,10,,69.5,70.1,,40.2,25.5,62.2,0.41,5.77,17.8,0.325,12.8,17.3,0.739,11.5,38.5,12.1,5.87,4,12.7,18
87,Florida Gulf Coast,35,23,12,0.657,1.94,-5.44,,12,2,,14,6,,9,6,,81.3,71.9,,40,29.9,60.5,0.494,7.26,20,0.363,14.4,19.4,0.74,10.5,38.2,15.3,7.31,2.77,14.1,18.7
88,Florida International,32,14,18,0.438,-4.3,-1.99,,8,10,,11,7,,3,9,,70.7,71.2,,40.9,25.5,59.8,0.426,6.34,19.8,0.321,13.4,22,0.609,9.97,35.9,11.8,7.56,3.19,11.1,18.3
89,Florida State ,35,23,12,0.657,15.78,8.5,,9,9,,13,2,,4,7,,80.2,72.9,,40.6,28.4,60.7,0.468,7.8,22.3,0.35,15.5,22.5,0.691,11.4,37.8,14.9,6.89,5.31,13,18.6
90,Fordham,31,9,22,0.29,-6.74,1.26,,4,14,,8,9,,1,10,,62.3,70.3,,40.3,22.3,54.2,0.412,7.32,25.4,0.288,10.3,14.6,0.708,6.42,28.5,13.5,9.13,2.39,12.5,15.8
91,Fresno State,32,21,11,0.656,8.17,1.84,,11,7,,12,5,,8,5,,76.8,68.8,,40.5,27.7,56.4,0.49,6.75,17.1,0.394,14.8,21.3,0.694,9.16,33.8,13,6.78,3.25,12,19.6
92,Furman,33,23,10,0.697,4.43,-3.64,,13,5,,13,3,,7,6,,79.4,68.5,,40.2,28.5,60.8,0.47,10.2,28.8,0.356,12,16.9,0.713,9.61,35.1,15.9,8.03,2.18,11.6,16.1
93,Gardner-Webb,32,14,18,0.438,-9.7,-3.81,,9,9,,11,2,,3,13,,70.6,72.1,,40.6,25.7,57.8,0.444,7.38,21.1,0.349,11.8,16.4,0.719,9.38,35.7,13,6.09,2.88,13.7,17.8
94,George Mason,33,16,17,0.485,-2.97,0.85,,9,9,,10,7,,5,7,,71.8,75.7,,40.8,25.5,59.1,0.432,6.97,21.4,0.326,13.9,18.8,0.742,9.97,36.8,11.5,6.06,2.91,12.9,16.4
95,George Washington,33,15,18,0.455,-0.72,2.13,,7,11,,13,5,,1,10,,67.4,70.3,,40,25.2,56.4,0.447,5.45,17,0.321,11.5,16.3,0.709,10.6,33.9,13.3,5.73,4.94,12.7,14.7
96,Georgetown,30,15,15,0.5,7.16,5.29,,5,13,,11,8,,4,6,,78.3,76.5,,41.2,26.7,58.8,0.454,7.53,20.6,0.366,17.5,22.5,0.775,10.9,38.4,17.4,5.47,3.67,15.3,17.7
97,Georgia,33,18,15,0.545,10.24,8.87,,7,11,,11,4,,4,9,,68.1,66.7,,40.6,23.2,55.3,0.42,6.09,19.2,0.318,15.5,22.2,0.699,12.3,39.4,12.2,3.82,4.73,12.7,16.2
98,Georgia Southern,33,21,12,0.636,-0.54,-3.28,,11,7,,10,3,,8,7,,75.9,70.2,,40.2,26,60.4,0.43,8.09,23.8,0.341,15.8,23.9,0.663,12.2,37.8,10.1,6.88,3.64,11.3,19.2
99,Georgia State ,35,24,11,0.686,3.22,-2.78,,12,6,,11,3,,9,6,,74.7,67.3,,40.4,26.8,58.1,0.461,9.23,24,0.385,11.9,17.6,0.678,8.83,33.8,13,7.31,4.57,11.3,18.3
100,Georgia Tech,32,13,19,0.406,5.25,7.46,,6,12,,12,7,,1,10,,65.7,67.9,,40.2,23.5,55.3,0.425,4.88,15.3,0.318,13.7,19.3,0.713,10.4,33.9,12.8,6.91,5.34,12.8,16.7
101,Gonzaga ,37,32,5,0.865,18.44,2.6,,17,1,,15,1,,10,1,,83.5,67.7,,40.5,30.4,61.1,0.498,8.86,24.1,0.368,13.9,19.6,0.708,11.2,39.9,15.2,6.32,3.62,11.4,17.1
102,Grambling,31,17,14,0.548,-12.97,-10.3,,13,5,,6,4,,11,10,,72.8,74.9,,40.3,25.1,59.7,0.42,4.97,15.2,0.328,17.6,24.8,0.711,12.2,38.5,11,7.71,3.65,15.4,21.7
103,Grand Canyon,34,22,12,0.647,3.78,-4.8,,9,5,,16,3,,3,7,,73.9,65.1,,40.3,25.1,58.6,0.429,7.38,22.9,0.322,16.2,23.1,0.702,11.9,38.5,15.9,6.21,3.94,13.2,20.1
104,Green Bay,33,13,20,0.394,-8.51,-4.08,,7,11,,10,6,,2,13,,76.3,75.7,,40.3,26,61.4,0.424,8.94,24.6,0.363,15.3,20.3,0.752,10.1,37.6,13.9,6.85,3.03,13.7,19.2
105,Hampton,34,18,16,0.529,-9.37,-9.56,,11,4,,11,3,,5,11,,79.5,76.6,,40.3,28.5,63.9,0.446,5.82,18.4,0.316,16.6,21.4,0.777,11.3,40.4,15.2,5.38,3.62,12.9,19.8
106,Hartford,33,19,14,0.576,-5.54,-5.26,,11,5,,9,7,,9,6,,70.5,70.2,,40.2,25.3,55.8,0.454,8.18,23.7,0.345,11.7,17.2,0.678,8.42,33.3,13.1,6.06,3.73,12.2,18.2
107,Harvard,32,18,14,0.563,-0.28,-1.7,,12,2,,10,2,,6,11,,68.2,66.5,,40.8,23.9,55.5,0.43,8.03,22.8,0.353,12.4,16,0.775,8.88,34.8,12.7,5.41,3.69,13.9,18
108,Hawaii,30,17,13,0.567,-2.33,-2.51,,8,8,,13,7,,4,5,,70.1,69,,40.5,24,54.3,0.442,6.73,20.4,0.33,15.3,22.3,0.687,8.87,33.2,14.3,5.63,1.97,13.4,19.5
109,High Point,30,14,16,0.467,-6.75,-6.38,,9,9,,11,4,,3,11,,70.9,66.4,,40.2,25.8,56.4,0.458,5.43,15.2,0.357,13.8,19.6,0.702,10.8,34.6,11.8,7.4,2.73,12.5,18.2
110,Hofstra,31,19,12,0.613,-0.53,-1.6,,12,6,,9,4,,9,4,,79.5,77.3,,40.2,28,60.3,0.465,8.39,22.4,0.375,15.1,22.1,0.682,11,35.6,13.3,5.03,2.68,10.8,18.6
111,Holy Cross,31,12,19,0.387,-9.92,-5.82,,8,10,,6,7,,6,10,,63.6,67.7,,40.3,23.4,50.6,0.461,6.55,20.1,0.326,10.4,15,0.69,5.74,28.4,13.6,6.23,3.39,12.3,17.3
112,Houston ,35,27,8,0.771,15.99,4.16,,14,4,,15,0,,6,5,,76.7,64.9,,40,27.2,59,0.461,8.49,21.9,0.387,13.8,19.3,0.718,11.7,38.6,14.4,6.23,3.03,11.9,21.1
113,Houston Christian,31,6,25,0.194,-16.14,-3.97,,2,16,,5,8,,1,16,,76.8,84.4,,40.3,27.7,66.4,0.418,7.06,21.8,0.323,14.3,22.9,0.624,15.4,39.3,13.9,6.65,2.9,14.1,19.5
114,Howard,33,10,23,0.303,-17.26,-9.74,,7,9,,7,4,,2,18,,74.2,80.4,,40.8,25.7,60.5,0.424,8.12,23.4,0.347,14.8,20.8,0.708,11.3,34.9,12.3,5.39,2.82,13.4,20.5
115,Idaho,31,22,9,0.71,0.82,-3.94,,14,4,,11,2,,9,4,,75.2,68.8,,40.2,26.4,56.4,0.468,8.94,21.9,0.408,13.4,18.2,0.735,9.97,36.7,14.8,4.35,2.58,13.3,17.8
116,Idaho State,30,14,16,0.467,-5.76,-3.69,,9,9,,9,5,,5,10,,73.7,74.4,,40,25.9,54.6,0.475,8.4,21.2,0.396,13.4,19.8,0.678,6.8,32.1,11.8,5.63,2.4,13.6,17.5
