,,Overall,,,,,,,Conf.,,,Home,,,Away,,,Points,,,Totals,,,,,,,,,,,,,,,,
Rk,School,G,W,L,W-L%,SRS,SOS,,W,L,,W,L,,W,L,,Tm.,Opp.,,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF
1,Abilene Christian,32,16,16,0.5,-9.14,-6.82,,8,10,,9,6,,6,9,,73.7,71.2,,40.3,27.2,58.6,0.464,6.66,20.5,0.325,12.7,18.1,0.701,9.66,34.2,15.1,8.13,4,14.4,21
2,Air Force,31,12,19,0.387,-4.31,1.72,,6,12,,9,7,,3,10,,68.5,72.4,,40.2,23.6,56.5,0.419,8.06,24.4,0.331,13.2,17.9,0.734,9.74,32.7,14.4,6.48,2.52,12.6,18
3,Akron,32,14,18,0.438,-6.82,-1.92,,6,12,,12,4,,2,10,,71.8,75.3,,40.5,24.8,57,0.435,9.53,26.6,0.358,12.7,18.2,0.696,9.56,33.5,13.1,5.91,2.53,13.8,19.9
4,Alabama ,36,20,16,0.556,12.34,10.64,,8,10,,12,4,,2,8,,72.3,70.6,,40,25.3,54.9,0.461,6.36,19.5,0.326,15.4,23,0.67,10,35.8,12.7,6.33,5.33,14.3,18.8
5,Alabama A&M,31,3,28,0.097,-23.97,-8.04,,3,15,,2,9,,1,18,,60.4,76.4,,40.2,21.7,54.7,0.397,5.87,19.4,0.303,11.1,17.2,0.647,10.8,33.7,11,3.97,1.58,16.6,16.3
6,Alabama State,31,8,23,0.258,-18.56,-8.62,,8,10,,4,8,,4,13,,68.7,78.6,,40.2,24.2,59.3,0.408,6.74,20.6,0.328,13.5,20.9,0.646,12.7,36.5,10.1,5.45,4.19,14.1,20.9
7,Albany (NY),32,22,10,0.688,0.02,-5.4,,10,6,,14,3,,8,7,,74.2,68.2,,40,26.2,57.4,0.457,5.75,15.7,0.367,16,21.3,0.754,11.8,37.2,12.7,4.69,2.84,11.6,16.5
8,Alcorn State,32,11,21,0.344,-18.07,-8.6,,7,11,,9,5,,2,16,,70.1,74.6,,40.2,24.7,57,0.434,7.47,21.8,0.343,13.2,18.7,0.707,9.53,34.5,13.1,6.25,2.66,14.3,19.2
9,American,30,6,24,0.2,-14.63,-6.16,,3,15,,4,8,,2,16,,65.4,73.8,,40.2,23.3,53.8,0.432,7.97,23.6,0.337,10.9,16.4,0.664,8.07,29,12.2,7.23,3.27,13.8,18.3
